XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,1.072888
651.363004,1.073284
652.294854,1.071422
653.226704,1.071198
654.158554,1.072052
655.090403,1.072742
656.022253,1.071583
656.954103,1.071196
657.885953,1.070276
658.817803,1.070538
659.749652,1.072002
660.681502,1.074423
661.613352,1.074513
662.545202,1.075685
663.477051,1.075194
664.408901,1.075092
665.340751,1.075548
666.272601,1.074861
667.204451,1.074990
668.136300,1.082918
669.068150,1.081532
670.000000,1.071943
670.931850,1.070686
671.863700,1.072736
672.795549,1.073421
673.727399,1.073606
674.659249,1.073494
675.591099,1.075490
676.522949,1.077239
677.454798,1.077585
678.386648,1.076597
679.318498,1.076062
680.250348,1.075538
681.182197,1.076060
682.114047,1.076717
683.045897,1.078485
683.977747,1.079014
684.909597,1.078639
685.841446,1.076180
686.773296,1.075400
687.705146,1.076791
688.636996,1.078855
689.568846,1.078303
690.500695,1.078334
691.432545,1.077616
692.364395,1.077415
693.296245,1.078557
694.228095,1.080263
695.159944,1.080777
696.091794,1.080564
697.023644,1.078759
697.955494,1.077840
698.887344,1.078876
699.819193,1.081148
700.751043,1.080732
701.682893,1.080362
702.614743,1.082193
703.546592,1.083380
704.478442,1.081055
705.410292,1.079883
706.342142,1.080120
707.273992,1.081157
708.205841,1.080410
709.137691,1.079999
710.069541,1.079532
711.001391,1.079932
711.933241,1.079788
712.865090,1.080979
713.796940,1.082846
714.728790,1.083554
715.660640,1.082700
716.592490,1.082809
717.524339,1.082546
718.456189,1.081093
719.388039,1.081103
720.319889,1.082710
721.251739,1.083130
722.183588,1.084204
723.115438,1.083336
724.047288,1.082345
724.979138,1.082860
725.910987,1.083916
726.842837,1.083763
727.774687,1.084258
728.706537,1.083540
729.638387,1.083427
730.570236,1.083041
731.502086,1.082010
732.433936,1.081919
733.365786,1.083719
734.297636,1.084431
735.229485,1.083595
736.161335,1.083156
737.093185,1.083852
738.025035,1.083328
738.956885,1.084212
739.888734,1.085285
740.820584,1.085262
741.752434,1.084528
742.684284,1.084646
743.616134,1.085246
744.547983,1.085668
745.479833,1.085500
746.411683,1.084998
747.343533,1.084338
748.275382,1.084742
749.207232,1.084657
750.139082,1.085511
751.070932,1.086076
752.002782,1.085204
752.934631,1.083567
753.866481,1.085485
754.798331,1.087604
755.730181,1.087026
756.662031,1.085496
757.593880,1.085373
758.525730,1.086242
759.457580,1.086173
760.389430,1.085323
761.321280,1.087020
762.253129,1.088121
763.184979,1.088154
764.116829,1.088162
765.048679,1.088259
765.980529,1.087312
766.912378,1.087750
767.844228,1.088137
768.776078,1.087779
769.707928,1.087337
770.639777,1.086708
771.571627,1.087445
772.503477,1.090092
773.435327,1.089670
774.367177,1.089898
775.299026,1.089936
776.230876,1.090019
777.162726,1.090609
778.094576,1.091527
779.026426,1.092650
779.958275,1.093713
780.890125,1.092988
781.821975,1.092809
782.753825,1.093865
783.685675,1.095595
784.617524,1.097027
785.549374,1.097846
786.481224,1.096769
787.413074,1.097389
788.344924,1.097473
789.276773,1.097094
790.208623,1.097248
791.140473,1.097929
792.072323,1.098136
793.004172,1.098543
793.936022,1.098296
794.867872,1.098244
795.799722,1.097272
796.731572,1.097451
797.663421,1.099178
798.595271,1.099189
799.527121,1.098316
800.458971,1.097957
801.390821,1.098009
802.322670,1.099085
803.254520,1.098849
804.186370,1.098634
805.118220,1.099474
806.050070,1.099651
806.981919,1.099071
807.913769,1.099266
808.845619,1.098793
809.777469,1.097050
810.709318,1.096269
811.641168,1.097099
812.573018,1.096926
813.504868,1.097391
814.436718,1.097650
815.368567,1.097771
816.300417,1.097426
817.232267,1.097077
818.164117,1.097570
819.095967,1.097925
820.027816,1.096969
820.959666,1.096129
821.891516,1.095603
822.823366,1.096500
823.755216,1.096477
824.687065,1.095214
825.618915,1.095056
826.550765,1.095712
827.482615,1.095958
828.414465,1.094471
829.346314,1.092383
830.278164,1.093869
831.210014,1.095647
832.141864,1.094893
833.073713,1.093227
834.005563,1.093197
834.937413,1.093292
835.869263,1.093127
836.801113,1.093248
837.732962,1.093694
838.664812,1.093918
839.596662,1.094134
840.528512,1.094104
841.460362,1.094265
842.392211,1.094818
843.324061,1.095408
844.255911,1.095529
845.187761,1.095190
846.119611,1.093853
847.051460,1.093049
847.983310,1.093431
848.915160,1.093469
849.847010,1.092629
850.778860,1.093571
851.710709,1.094667
852.642559,1.094292
853.574409,1.094254
854.506259,1.095087
855.438108,1.094766
856.369958,1.094440
857.301808,1.095309
858.233658,1.095220
859.165508,1.094323
860.097357,1.094756
861.029207,1.095114
861.961057,1.095809
862.892907,1.095455
863.824757,1.094457
864.756606,1.095855
865.688456,1.097932
866.620306,1.098191
867.552156,1.097766
868.484006,1.096797
869.415855,1.096779
870.347705,1.097460
871.279555,1.097840
872.211405,1.097456
873.143255,1.097614
874.075104,1.098931
875.006954,1.098293
875.938804,1.096755
876.870654,1.097230
877.802503,1.097760
878.734353,1.098113
879.666203,1.098272
880.598053,1.098310
881.529903,1.098323
882.461752,1.097819
883.393602,1.097470
884.325452,1.098037
885.257302,1.098624
886.189152,1.099574
887.121001,1.099742
888.052851,1.098710
888.984701,1.098806
889.916551,1.099536
890.848401,1.099539
891.780250,1.099658
892.712100,1.099567
893.643950,1.099472
894.575800,1.099426
895.507650,1.099387
896.439499,1.098067
897.371349,1.098753
898.303199,1.100056
899.235049,1.100305
900.166898,1.099808
901.098748,1.098633
902.030598,1.097308
902.962448,1.097330
903.894298,1.098498
904.826147,1.099989
905.757997,1.101040
906.689847,1.101832
907.621697,1.101331
908.553547,1.100463
909.485396,1.099724
910.417246,1.100211
911.349096,1.101199
912.280946,1.101269
913.212796,1.101491
914.144645,1.102559
915.076495,1.101177
916.008345,1.100064
916.940195,1.101105
917.872045,1.101843
918.803894,1.102047
919.735744,1.101593
920.667594,1.100241
921.599444,1.100140
922.531293,1.101101
923.463143,1.101843
924.394993,1.101931
925.326843,1.101903
926.258693,1.101523
927.190542,1.101902
928.122392,1.102181
929.054242,1.101894
929.986092,1.101642
930.917942,1.101812
931.849791,1.101905
932.781641,1.102098
933.713491,1.101500
934.645341,1.102410
935.577191,1.103740
936.509040,1.103804
937.440890,1.104188
938.372740,1.104280
939.304590,1.103972
940.236439,1.103868
941.168289,1.103759
942.100139,1.103759
943.031989,1.103675
943.963839,1.104848
944.895688,1.105815
945.827538,1.105343
946.759388,1.104768
947.691238,1.105174
948.623088,1.104999
949.554937,1.104931
950.486787,1.105133
951.418637,1.105128
952.350487,1.104523
953.282337,1.104290
954.214186,1.104239
955.146036,1.104360
956.077886,1.104703
957.009736,1.105854
957.941586,1.106048
958.873435,1.105690
959.805285,1.105666
960.737135,1.105986
961.668985,1.106362
962.600834,1.107084
963.532684,1.106941
964.464534,1.107089
965.396384,1.106957
966.328234,1.106763
967.260083,1.106782
968.191933,1.107063
969.123783,1.107340
970.055633,1.107841
970.987483,1.108408
971.919332,1.108162
972.851182,1.107523
973.783032,1.107440
974.714882,1.107455
975.646732,1.108154
976.578581,1.108913
977.510431,1.108128
978.442281,1.107212
979.374131,1.107222
980.305981,1.107763
981.237830,1.108273
982.169680,1.108751
983.101530,1.109356
984.033380,1.110889
984.965229,1.112683
985.897079,1.111815
986.828929,1.109755
987.760779,1.109097
988.692629,1.110174
989.624478,1.111777
990.556328,1.111862
991.488178,1.111526
992.420028,1.111738
993.351878,1.112027
994.283727,1.112363
995.215577,1.112917
996.147427,1.113302
997.079277,1.112960
998.011127,1.112385
998.942976,1.112516
999.874826,1.113077
1000.806676,1.113359
1001.738526,1.113706
1002.670376,1.114919
1003.602225,1.116845
1004.534075,1.117458
1005.465925,1.116733
1006.397775,1.116446
1007.329624,1.117380
1008.261474,1.117811
1009.193324,1.117510
1010.125174,1.117517
1011.057024,1.118390
1011.988873,1.118715
1012.920723,1.118105
1013.852573,1.119530
1014.784423,1.121086
1015.716273,1.120764
1016.648122,1.120699
1017.579972,1.120838
1018.511822,1.120806
1019.443672,1.121019
1020.375522,1.120886
1021.307371,1.121211
1022.239221,1.122308
1023.171071,1.123197
1024.102921,1.123082
1025.034771,1.122071
1025.966620,1.121404
1026.898470,1.121605
1027.830320,1.121903
1028.762170,1.121594
1029.694019,1.120996
1030.625869,1.120843
1031.557719,1.121014
1032.489569,1.120828
1033.421419,1.120871
1034.353268,1.120919
1035.285118,1.120976
1036.216968,1.120949
1037.148818,1.120383
1038.080668,1.120103
1039.012517,1.120124
1039.944367,1.119299
1040.876217,1.119360
1041.808067,1.120006
1042.739917,1.120279
1043.671766,1.121001
1044.603616,1.120981
1045.535466,1.120023
1046.467316,1.119655
1047.399166,1.119887
1048.331015,1.119598
1049.262865,1.119350
1050.194715,1.119209
1051.126565,1.119498
1052.058414,1.120493
1052.990264,1.120006
1053.922114,1.118565
1054.853964,1.118436
1055.785814,1.119920
1056.717663,1.121089
1057.649513,1.120779
1058.581363,1.119752
1059.513213,1.119189
1060.445063,1.119295
1061.376912,1.119447
1062.308762,1.119710
1063.240612,1.119888
1064.172462,1.119944
1065.104312,1.119290
1066.036161,1.119878
1066.968011,1.121119
1067.899861,1.121397
1068.831711,1.121332
1069.763561,1.121158
1070.695410,1.121007
1071.627260,1.120475
1072.559110,1.120349
1073.490960,1.120674
1074.422809,1.120599
1075.354659,1.120888
1076.286509,1.121996
1077.218359,1.122273
1078.150209,1.121609
1079.082058,1.121150
1080.013908,1.121642
1080.945758,1.123468
1081.877608,1.124266
1082.809458,1.123659
1083.741307,1.123419
1084.673157,1.122932
1085.605007,1.122732
1086.536857,1.123034
1087.468707,1.123621
1088.400556,1.124399
1089.332406,1.124282
1090.264256,1.123916
1091.196106,1.124461
1092.127955,1.125074
1093.059805,1.125263
1093.991655,1.125121
1094.923505,1.126097
1095.855355,1.127130
1096.787204,1.126227
1097.719054,1.125575
1098.650904,1.126435
1099.582754,1.126199
1100.514604,1.125950
1101.446453,1.126434
1102.378303,1.126308
1103.310153,1.126759
1104.242003,1.127751
1105.173853,1.127623
1106.105702,1.127509
1107.037552,1.127994
1107.969402,1.128199
1108.901252,1.128785
1109.833102,1.129208
1110.764951,1.128176
1111.696801,1.127056
1112.628651,1.127453
1113.560501,1.128222
1114.492350,1.128387
1115.424200,1.128365
1116.356050,1.128264
1117.287900,1.128157
1118.219750,1.128712
1119.151599,1.128844
1120.083449,1.128601
1121.015299,1.129546
1121.947149,1.130285
1122.878999,1.130448
1123.810848,1.130037
1124.742698,1.130073
1125.674548,1.130792
1126.606398,1.131174
1127.538248,1.131727
1128.470097,1.132280
1129.401947,1.132485
1130.333797,1.132914
1131.265647,1.133168
1132.197497,1.133874
1133.129346,1.134018
1134.061196,1.133847
1134.993046,1.134863
1135.924896,1.134931
1136.856745,1.134207
1137.788595,1.133060
1138.720445,1.132273
1139.652295,1.133215
1140.584145,1.134321
1141.515994,1.134256
1142.447844,1.133550
1143.379694,1.133891
1144.311544,1.134344
1145.243394,1.134672
1146.175243,1.136038
1147.107093,1.137176
1148.038943,1.137111
1148.970793,1.137226
1149.902643,1.137852
1150.834492,1.138048
1151.766342,1.137884
1152.698192,1.138602
1153.630042,1.139026
1154.561892,1.138688
1155.493741,1.138748
1156.425591,1.139369
1157.357441,1.139777
1158.289291,1.139034
1159.221140,1.138129
1160.152990,1.137642
1161.084840,1.136910
1162.016690,1.136264
1162.948540,1.135855
1163.880389,1.134655
1164.812239,1.133988
1165.744089,1.133878
1166.675939,1.133071
1167.607789,1.132567
1168.539638,1.132352
1169.471488,1.132231
1170.403338,1.131525
1171.335188,1.130859
1172.267038,1.130466
1173.198887,1.129921
1174.130737,1.129992
1175.062587,1.130269
1175.994437,1.130226
1176.926287,1.129725
1177.858136,1.129156
1178.789986,1.129258
1179.721836,1.129590
1180.653686,1.129676
1181.585535,1.129601
1182.517385,1.129047
1183.449235,1.128714
1184.381085,1.128549
1185.312935,1.128588
1186.244784,1.128821
1187.176634,1.128244
1188.108484,1.127560
1189.040334,1.127908
1189.972184,1.128382
1190.904033,1.127834
1191.835883,1.126939
1192.767733,1.126952
1193.699583,1.127541
1194.631433,1.128126
1195.563282,1.128479
1196.495132,1.128274
1197.426982,1.127535
1198.358832,1.127031
1199.290682,1.127178
1200.222531,1.127727
1201.154381,1.127511
1202.086231,1.126780
1203.018081,1.127352
1203.949930,1.127588
1204.881780,1.127256
1205.813630,1.127840
1206.745480,1.128286
1207.677330,1.127903
1208.609179,1.127724
1209.541029,1.128185
1210.472879,1.128450
1211.404729,1.128420
1212.336579,1.128450
1213.268428,1.128000
1214.200278,1.127352
1215.132128,1.128243
1216.063978,1.129197
1216.995828,1.128319
1217.927677,1.127926
1218.859527,1.128938
1219.791377,1.129203
1220.723227,1.128819
1221.655076,1.128686
1222.586926,1.128176
1223.518776,1.128572
1224.450626,1.128870
1225.382476,1.128187
1226.314325,1.127868
1227.246175,1.128173
1228.178025,1.129744
1229.109875,1.130329
1230.041725,1.129568
1230.973574,1.129870
1231.905424,1.130157
1232.837274,1.129384
1233.769124,1.128978
1234.700974,1.129586
1235.632823,1.129962
1236.564673,1.129625
1237.496523,1.129086
1238.428373,1.129009
1239.360223,1.130049
1240.292072,1.131193
1241.223922,1.131188
1242.155772,1.130533
1243.087622,1.130189
1244.019471,1.130826
1244.951321,1.131039
1245.883171,1.131461
1246.815021,1.132307
1247.746871,1.132750
1248.678720,1.133113
1249.610570,1.133641
1250.542420,1.133866
1251.474270,1.134090
1252.406120,1.134698
1253.337969,1.134765
1254.269819,1.135305
1255.201669,1.136291
1256.133519,1.136226
1257.065369,1.136508
1257.997218,1.137892
1258.929068,1.139295
1259.860918,1.140848
1260.792768,1.142648
1261.724618,1.143238
1262.656467,1.142762
1263.588317,1.142130
1264.520167,1.141647
1265.452017,1.140426
1266.383866,1.139358
1267.315716,1.138961
1268.247566,1.139161
1269.179416,1.139274
1270.111266,1.138668
1271.043115,1.137856
1271.974965,1.137005
1272.906815,1.136265
1273.838665,1.136009
1274.770515,1.135601
1275.702364,1.134888
1276.634214,1.133800
1277.566064,1.133234
1278.497914,1.134042
1279.429764,1.134871
1280.361613,1.134432
1281.293463,1.133153
1282.225313,1.132677
1283.157163,1.132750
1284.089013,1.132256
1285.020862,1.131932
1285.952712,1.132685
1286.884562,1.133933
1287.816412,1.134158
1288.748261,1.133508
1289.680111,1.132269
1290.611961,1.131544
1291.543811,1.132105
1292.475661,1.133406
1293.407510,1.133909
1294.339360,1.133409
1295.271210,1.133207
1296.203060,1.133147
1297.134910,1.133079
1298.066759,1.133086
1298.998609,1.133016
1299.930459,1.133655
1300.862309,1.134010
1301.794159,1.133601
1302.726008,1.133108
1303.657858,1.132872
1304.589708,1.133099
1305.521558,1.133704
1306.453408,1.133754
1307.385257,1.133379
1308.317107,1.133700
1309.248957,1.133330
1310.180807,1.132604
1311.112656,1.132992
1312.044506,1.133975
1312.976356,1.134746
1313.908206,1.134649
1314.840056,1.134426
1315.771905,1.133846
1316.703755,1.133850
1317.635605,1.135515
1318.567455,1.137364
1319.499305,1.138065
1320.431154,1.137695
1321.363004,1.137117
1322.294854,1.135845
1323.226704,1.134557
1324.158554,1.135301
1325.090403,1.136525
1326.022253,1.136372
1326.954103,1.135989
1327.885953,1.135247
1328.817803,1.134486
1329.749652,1.135375
1330.681502,1.136852
1331.613352,1.137439
1332.545202,1.137540
1333.477051,1.137161
1334.408901,1.136326
1335.340751,1.135590
1336.272601,1.136544
1337.204451,1.138197
1338.136300,1.139350
1339.068150,1.141147
1340.000000,1.142901
1340.931850,1.142041
1341.863700,1.138839
1342.795549,1.138346
1343.727399,1.139582
1344.659249,1.140360
1345.591099,1.140930
1346.522949,1.141175
1347.454798,1.141432
1348.386648,1.142088
1349.318498,1.142966
1350.250348,1.143628
1351.182197,1.143991
1352.114047,1.144167
1353.045897,1.144028
1353.977747,1.144268
1354.909597,1.144508
1355.841446,1.144765
1356.773296,1.144651
1357.705146,1.143315
1358.636996,1.141718
1359.568846,1.141012
1360.500695,1.140817
1361.432545,1.142217
1362.364395,1.144011
1363.296245,1.145466
1364.228095,1.144231
1365.159944,1.139250
1366.091794,1.136486
1367.023644,1.137167
1367.955494,1.138968
1368.887344,1.139754
1369.819193,1.138212
1370.751043,1.135609
1371.682893,1.136028
1372.614743,1.138538
1373.546592,1.141848
1374.478442,1.144441
1375.410292,1.143103
1376.342142,1.139300
1377.273992,1.138213
1378.205841,1.139247
1379.137691,1.139617
1380.069541,1.140136
1381.001391,1.141484
1381.933241,1.142713
1382.865090,1.144712
1383.796940,1.146717
1384.728790,1.148629
1385.660640,1.150772
1386.592490,1.152837
1387.524339,1.154177
1388.456189,1.150032
1389.388039,1.141965
1390.319889,1.138468
1391.251739,1.138015
1392.183588,1.138295
1393.115438,1.139878
1394.047288,1.144957
1394.979138,1.149584
1395.910987,1.147481
