XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.573452
651.363004,0.567780
652.294854,0.562072
653.226704,0.557610
654.158554,0.551402
655.090403,0.545641
656.022253,0.540572
656.954103,0.535055
657.885953,0.529303
658.817803,0.525067
659.749652,0.519960
660.681502,0.514048
661.613352,0.508011
662.545202,0.502740
663.477051,0.496780
664.408901,0.491402
665.340751,0.486315
666.272601,0.478942
667.204451,0.475350
668.136300,0.475665
669.068150,0.469285
670.000000,0.456635
670.931850,0.452438
671.863700,0.450165
672.795549,0.444604
673.727399,0.439208
674.659249,0.432977
675.591099,0.429549
676.522949,0.425445
677.454798,0.420466
678.386648,0.415087
679.318498,0.410986
680.250348,0.405813
681.182197,0.401544
682.114047,0.397100
683.045897,0.392405
683.977747,0.387725
684.909597,0.384423
685.841446,0.380842
686.773296,0.376548
687.705146,0.372415
688.636996,0.370442
689.568846,0.366439
690.500695,0.362106
691.432545,0.359040
692.364395,0.356311
693.296245,0.352771
694.228095,0.350244
695.159944,0.346680
696.091794,0.342714
697.023644,0.339277
697.955494,0.337669
698.887344,0.334414
699.819193,0.331280
700.751043,0.328836
701.682893,0.326626
702.614743,0.323534
703.546592,0.320991
704.478442,0.318577
705.410292,0.316561
706.342142,0.314041
707.273992,0.311987
708.205841,0.310018
709.137691,0.307662
710.069541,0.305466
711.001391,0.303501
711.933241,0.301321
712.865090,0.299458
713.796940,0.297415
714.728790,0.295739
715.660640,0.293803
716.592490,0.292114
717.524339,0.290400
718.456189,0.288932
719.388039,0.287207
720.319889,0.286170
721.251739,0.285341
722.183588,0.284466
723.115438,0.282779
724.047288,0.281990
724.979138,0.280545
725.910987,0.278664
726.842837,0.277312
727.774687,0.276849
728.706537,0.275020
729.638387,0.273563
730.570236,0.272371
731.502086,0.271529
732.433936,0.269940
733.365786,0.269054
734.297636,0.268122
735.229485,0.266610
736.161335,0.265626
737.093185,0.265083
738.025035,0.264705
738.956885,0.263709
739.888734,0.262604
740.820584,0.261577
741.752434,0.260508
742.684284,0.259080
743.616134,0.257284
744.547983,0.255690
745.479833,0.254647
746.411683,0.253238
747.343533,0.251766
748.275382,0.251144
749.207232,0.250000
750.139082,0.247870
751.070932,0.246027
752.002782,0.244960
752.934631,0.242968
753.866481,0.240554
754.798331,0.239133
755.730181,0.237198
756.662031,0.234670
757.593880,0.232669
758.525730,0.230546
759.457580,0.228042
760.389430,0.226599
761.321280,0.225273
762.253129,0.223761
763.184979,0.221625
764.116829,0.219740
765.048679,0.218610
765.980529,0.217025
766.912378,0.215029
767.844228,0.213790
768.776078,0.211737
769.707928,0.209979
770.639777,0.208530
771.571627,0.207314
772.503477,0.205536
773.435327,0.204603
774.367177,0.203590
775.299026,0.202075
776.230876,0.200520
777.162726,0.199630
778.094576,0.199038
779.026426,0.198364
779.958275,0.198097
780.890125,0.198337
781.821975,0.199232
782.753825,0.200693
783.685675,0.202088
784.617524,0.203252
785.549374,0.204761
786.481224,0.207792
787.413074,0.212275
788.344924,0.217589
789.276773,0.224325
790.208623,0.234513
791.140473,0.245064
792.072323,0.254342
793.004172,0.261899
793.936022,0.267016
794.867872,0.269024
795.799722,0.268140
796.731572,0.264469
797.663421,0.259450
798.595271,0.253457
799.527121,0.248222
800.458971,0.243271
801.390821,0.237992
802.322670,0.232529
803.254520,0.227923
804.186370,0.223753
805.118220,0.219957
806.050070,0.216758
806.981919,0.213740
807.913769,0.210921
808.845619,0.207901
809.777469,0.205772
810.709318,0.202843
811.641168,0.199729
812.573018,0.197856
813.504868,0.196453
814.436718,0.194968
815.368567,0.193220
816.300417,0.191510
817.232267,0.189722
818.164117,0.188005
819.095967,0.187342
820.027816,0.186377
820.959666,0.184687
821.891516,0.183195
822.823366,0.182262
823.755216,0.181003
824.687065,0.179748
825.618915,0.178818
826.550765,0.177744
827.482615,0.176578
828.414465,0.175496
829.346314,0.174427
830.278164,0.173718
831.210014,0.173360
832.141864,0.172556
833.073713,0.171970
834.005563,0.171620
834.937413,0.170957
835.869263,0.170799
836.801113,0.170338
837.732962,0.169809
838.664812,0.169290
839.596662,0.168925
840.528512,0.168058
841.460362,0.167511
842.392211,0.166840
843.324061,0.166493
844.255911,0.166177
845.187761,0.165998
846.119611,0.165647
847.051460,0.165185
847.983310,0.164645
848.915160,0.164408
849.847010,0.164331
850.778860,0.164417
851.710709,0.164107
852.642559,0.163578
853.574409,0.163470
854.506259,0.163870
855.438108,0.163818
856.369958,0.163933
857.301808,0.164368
858.233658,0.164527
859.165508,0.164076
860.097357,0.164100
861.029207,0.164000
861.961057,0.163732
862.892907,0.163372
863.824757,0.163543
864.756606,0.163266
865.688456,0.162664
866.620306,0.162530
867.552156,0.162373
868.484006,0.161971
869.415855,0.162699
870.347705,0.163008
871.279555,0.162904
872.211405,0.163255
873.143255,0.163850
874.075104,0.163866
875.006954,0.163711
875.938804,0.164567
876.870654,0.164970
877.802503,0.164160
878.734353,0.164077
879.666203,0.164856
880.598053,0.165033
881.529903,0.164833
882.461752,0.165042
883.393602,0.165387
884.325452,0.165410
885.257302,0.165738
886.189152,0.166313
887.121001,0.166404
888.052851,0.166802
888.984701,0.167575
889.916551,0.168629
890.848401,0.169389
891.780250,0.170387
892.712100,0.171514
893.643950,0.172620
894.575800,0.173972
895.507650,0.176033
896.439499,0.178228
897.371349,0.179846
898.303199,0.181753
899.235049,0.183231
900.166898,0.183862
901.098748,0.183778
902.030598,0.183208
902.962448,0.182427
903.894298,0.180684
904.826147,0.178810
905.757997,0.177714
906.689847,0.176638
907.621697,0.175604
908.553547,0.174974
909.485396,0.175096
910.417246,0.174898
911.349096,0.174891
912.280946,0.175074
913.212796,0.174873
914.144645,0.174816
915.076495,0.174902
916.008345,0.175218
916.940195,0.176015
917.872045,0.176792
918.803894,0.177019
919.735744,0.177043
920.667594,0.177908
921.599444,0.178773
922.531293,0.178761
923.463143,0.178920
924.394993,0.179696
925.326843,0.180103
926.258693,0.180550
927.190542,0.180888
928.122392,0.181351
929.054242,0.181747
929.986092,0.182516
930.917942,0.183400
931.849791,0.183779
932.781641,0.183826
933.713491,0.184613
934.645341,0.185177
935.577191,0.186030
936.509040,0.186847
937.440890,0.187560
938.372740,0.188059
939.304590,0.189062
940.236439,0.189863
941.168289,0.190726
942.100139,0.191521
943.031989,0.192517
943.963839,0.192957
944.895688,0.193609
945.827538,0.194678
946.759388,0.195742
947.691238,0.196456
948.623088,0.197105
949.554937,0.197976
950.486787,0.198742
951.418637,0.199539
952.350487,0.200407
953.282337,0.201348
954.214186,0.202204
955.146036,0.203319
956.077886,0.204847
957.009736,0.206436
957.941586,0.208562
958.873435,0.210738
959.805285,0.212721
960.737135,0.215091
961.668985,0.218702
962.600834,0.222777
963.532684,0.225891
964.464534,0.227365
965.396384,0.227517
966.328234,0.225531
967.260083,0.222361
968.191933,0.220058
969.123783,0.218882
970.055633,0.217916
970.987483,0.217394
971.919332,0.217585
972.851182,0.217291
973.783032,0.217331
974.714882,0.217723
975.646732,0.218341
976.578581,0.218736
977.510431,0.219662
978.442281,0.220689
979.374131,0.221557
980.305981,0.222702
981.237830,0.224148
982.169680,0.225109
983.101530,0.226398
984.033380,0.227735
984.965229,0.228837
985.897079,0.229863
986.828929,0.230889
987.760779,0.232194
988.692629,0.233163
989.624478,0.233879
990.556328,0.234994
991.488178,0.236608
992.420028,0.237839
993.351878,0.238762
994.283727,0.240006
995.215577,0.240915
996.147427,0.242194
997.079277,0.243156
998.011127,0.244280
998.942976,0.245280
999.874826,0.246743
1000.806676,0.248091
1001.738526,0.249639
1002.670376,0.251395
1003.602225,0.253663
1004.534075,0.255882
1005.465925,0.258575
1006.397775,0.261967
1007.329624,0.266602
1008.261474,0.271934
1009.193324,0.279435
1010.125174,0.289800
1011.057024,0.303947
1011.988873,0.321041
1012.920723,0.338330
1013.852573,0.350617
1014.784423,0.352531
1015.716273,0.344572
1016.648122,0.333548
1017.579972,0.323853
1018.511822,0.317367
1019.443672,0.313459
1020.375522,0.310394
1021.307371,0.308056
1022.239221,0.306923
1023.171071,0.307031
1024.102921,0.308092
1025.034771,0.309830
1025.966620,0.312201
1026.898470,0.314743
1027.830320,0.317255
1028.762170,0.319010
1029.694019,0.320229
1030.625869,0.320126
1031.557719,0.319797
1032.489569,0.319201
1033.421419,0.317969
1034.353268,0.316909
1035.285118,0.317126
1036.216968,0.318342
1037.148818,0.321427
1038.080668,0.325759
1039.012517,0.330745
1039.944367,0.334879
1040.876217,0.336709
1041.808067,0.335106
1042.739917,0.330552
1043.671766,0.324433
1044.603616,0.318484
1045.535466,0.313352
1046.467316,0.308928
1047.399166,0.305487
1048.331015,0.302601
1049.262865,0.299952
1050.194715,0.297702
1051.126565,0.295917
1052.058414,0.294026
1052.990264,0.292878
1053.922114,0.292167
1054.853964,0.291284
1055.785814,0.290468
1056.717663,0.289604
1057.649513,0.289171
1058.581363,0.289315
1059.513213,0.289879
1060.445063,0.290362
1061.376912,0.290915
1062.308762,0.291606
1063.240612,0.292739
1064.172462,0.293381
1065.104312,0.293346
1066.036161,0.292752
1066.968011,0.292003
1067.899861,0.291740
1068.831711,0.291602
1069.763561,0.291723
1070.695410,0.291607
1071.627260,0.291568
1072.559110,0.291454
1073.490960,0.291437
1074.422809,0.291017
1075.354659,0.290712
1076.286509,0.290633
1077.218359,0.290634
1078.150209,0.290425
1079.082058,0.290333
1080.013908,0.290582
1080.945758,0.291106
1081.877608,0.290935
1082.809458,0.290900
1083.741307,0.291600
1084.673157,0.292520
1085.605007,0.293199
1086.536857,0.294554
1087.468707,0.296209
1088.400556,0.297214
1089.332406,0.297885
1090.264256,0.297792
1091.196106,0.296474
1092.127955,0.294727
1093.059805,0.293464
1093.991655,0.292905
1094.923505,0.291889
1095.855355,0.291517
1096.787204,0.291859
1097.719054,0.292055
1098.650904,0.291906
1099.582754,0.292625
1100.514604,0.293405
1101.446453,0.294167
1102.378303,0.294742
1103.310153,0.295448
1104.242003,0.296231
1105.173853,0.297171
1106.105702,0.298176
1107.037552,0.299215
1107.969402,0.299845
1108.901252,0.301025
1109.833102,0.302550
1110.764951,0.303748
1111.696801,0.305120
1112.628651,0.307263
1113.560501,0.309202
1114.492350,0.311161
1115.424200,0.313394
1116.356050,0.315361
1117.287900,0.317375
1118.219750,0.319867
1119.151599,0.322529
1120.083449,0.325164
1121.015299,0.327888
1121.947149,0.330698
1122.878999,0.333141
1123.810848,0.335346
1124.742698,0.338048
1125.674548,0.340966
1126.606398,0.343661
1127.538248,0.346725
1128.470097,0.349972
1129.401947,0.353355
1130.333797,0.356546
1131.265647,0.359641
1132.197497,0.362983
1133.129346,0.367029
1134.061196,0.370961
1134.993046,0.374578
1135.924896,0.378304
1136.856745,0.382046
1137.788595,0.385931
1138.720445,0.389881
1139.652295,0.394111
1140.584145,0.398453
1141.515994,0.402491
1142.447844,0.406747
1143.379694,0.411521
1144.311544,0.415899
1145.243394,0.419814
1146.175243,0.424067
1147.107093,0.428583
1148.038943,0.432266
1148.970793,0.435886
1149.902643,0.439578
1150.834492,0.443223
1151.766342,0.446557
1152.698192,0.450057
1153.630042,0.453410
1154.561892,0.456433
1155.493741,0.458793
1156.425591,0.461229
1157.357441,0.463207
1158.289291,0.464746
1159.221140,0.466126
1160.152990,0.466760
1161.084840,0.467110
1162.016690,0.467493
1162.948540,0.467541
1163.880389,0.466916
1164.812239,0.465567
1165.744089,0.464175
1166.675939,0.462327
1167.607789,0.460084
1168.539638,0.457336
1169.471488,0.454740
1170.403338,0.451478
1171.335188,0.447746
1172.267038,0.443701
1173.198887,0.439512
1174.130737,0.435331
1175.062587,0.431649
1175.994437,0.427375
1176.926287,0.422525
1177.858136,0.417662
1178.789986,0.412940
1179.721836,0.408118
1180.653686,0.403387
1181.585535,0.398373
1182.517385,0.393262
1183.449235,0.388512
1184.381085,0.384194
1185.312935,0.379679
1186.244784,0.375254
1187.176634,0.370760
1188.108484,0.366381
1189.040334,0.362228
1189.972184,0.358144
1190.904033,0.354233
1191.835883,0.350875
1192.767733,0.347218
1193.699583,0.343773
1194.631433,0.340518
1195.563282,0.337813
1196.495132,0.334627
1197.426982,0.331631
1198.358832,0.328683
1199.290682,0.326037
1200.222531,0.323679
1201.154381,0.321683
1202.086231,0.319517
1203.018081,0.317253
1203.949930,0.314818
1204.881780,0.312854
1205.813630,0.311102
1206.745480,0.308959
1207.677330,0.307081
1208.609179,0.305523
1209.541029,0.303842
1210.472879,0.302628
1211.404729,0.301440
1212.336579,0.300024
1213.268428,0.298947
1214.200278,0.298030
1215.132128,0.296826
1216.063978,0.295903
1216.995828,0.295049
1217.927677,0.293922
1218.859527,0.293030
1219.791377,0.292656
1220.723227,0.292094
1221.655076,0.291583
1222.586926,0.291530
1223.518776,0.291579
1224.450626,0.291740
1225.382476,0.291870
1226.314325,0.292324
1227.246175,0.293328
1228.178025,0.294327
1229.109875,0.295592
1230.041725,0.297048
1230.973574,0.298786
1231.905424,0.300775
1232.837274,0.302708
1233.769124,0.304614
1234.700974,0.306979
1235.632823,0.309641
1236.564673,0.312453
1237.496523,0.315705
1238.428373,0.319415
1239.360223,0.323518
1240.292072,0.327930
1241.223922,0.333178
1242.155772,0.338725
1243.087622,0.344637
1244.019471,0.350796
1244.951321,0.357241
1245.883171,0.363816
1246.815021,0.370910
1247.746871,0.378835
1248.678720,0.387513
1249.610570,0.397296
1250.542420,0.407832
1251.474270,0.418423
1252.406120,0.429412
1253.337969,0.440148
1254.269819,0.449837
1255.201669,0.457452
1256.133519,0.462307
1257.065369,0.463269
1257.997218,0.459847
1258.929068,0.452300
1259.860918,0.440860
1260.792768,0.426309
1261.724618,0.410251
1262.656467,0.393349
1263.588317,0.376652
1264.520167,0.361459
1265.452017,0.348461
1266.383866,0.336895
1267.315716,0.328307
1268.247566,0.324147
1269.179416,0.324993
1270.111266,0.329986
1271.043115,0.336560
1271.974965,0.339134
1272.906815,0.334133
1273.838665,0.324019
1274.770515,0.313129
1275.702364,0.303746
1276.634214,0.296019
1277.566064,0.290175
1278.497914,0.285686
1279.429764,0.281738
1280.361613,0.278321
1281.293463,0.275852
1282.225313,0.273718
1283.157163,0.271383
1284.089013,0.268931
1285.020862,0.266356
1285.952712,0.263398
1286.884562,0.260108
1287.816412,0.256776
1288.748261,0.253212
1289.680111,0.249721
1290.611961,0.246808
1291.543811,0.243914
1292.475661,0.240609
1293.407510,0.237396
1294.339360,0.234836
1295.271210,0.232779
1296.203060,0.230649
1297.134910,0.229027
1298.066759,0.227641
1298.998609,0.226085
1299.930459,0.224366
1300.862309,0.223208
1301.794159,0.222189
1302.726008,0.221346
1303.657858,0.220914
1304.589708,0.220174
1305.521558,0.219435
1306.453408,0.218759
1307.385257,0.218173
1308.317107,0.217553
1309.248957,0.216926
1310.180807,0.216368
1311.112656,0.215875
1312.044506,0.215626
1312.976356,0.215235
1313.908206,0.214544
1314.840056,0.213387
1315.771905,0.212210
1316.703755,0.212037
1317.635605,0.211855
1318.567455,0.211709
1319.499305,0.210924
1320.431154,0.210361
1321.363004,0.209296
1322.294854,0.209025
1323.226704,0.208945
1324.158554,0.208625
1325.090403,0.208641
1326.022253,0.208435
1326.954103,0.208306
1327.885953,0.207978
1328.817803,0.208117
1329.749652,0.207807
1330.681502,0.208139
1331.613352,0.208630
1332.545202,0.208673
1333.477051,0.208410
1334.408901,0.208620
1335.340751,0.208590
1336.272601,0.209073
1337.204451,0.209553
1338.136300,0.210267
1339.068150,0.210221
1340.000000,0.210805
1340.931850,0.209903
1341.863700,0.208140
1342.795549,0.207425
1343.727399,0.208123
1344.659249,0.209199
1345.591099,0.209125
1346.522949,0.209629
1347.454798,0.210230
1348.386648,0.211053
1349.318498,0.211952
1350.250348,0.213199
1351.182197,0.214507
1352.114047,0.215800
1353.045897,0.217593
1353.977747,0.219934
1354.909597,0.222619
1355.841446,0.225377
1356.773296,0.228719
1357.705146,0.232833
1358.636996,0.238268
1359.568846,0.245093
1360.500695,0.254950
1361.432545,0.266395
1362.364395,0.279641
1363.296245,0.289635
1364.228095,0.292059
1365.159944,0.286087
1366.091794,0.275277
1367.023644,0.266248
1367.955494,0.256541
1368.887344,0.249409
1369.819193,0.243979
1370.751043,0.239909
1371.682893,0.237776
1372.614743,0.237987
1373.546592,0.237360
1374.478442,0.234805
1375.410292,0.229132
1376.342142,0.221895
1377.273992,0.218279
1378.205841,0.216662
1379.137691,0.215936
1380.069541,0.215362
1381.001391,0.214842
1381.933241,0.215120
1382.865090,0.215603
1383.796940,0.216992
1384.728790,0.218161
1385.660640,0.220323
1386.592490,0.223457
1387.524339,0.226631
1388.456189,0.227162
1389.388039,0.226711
1390.319889,0.226425
1391.251739,0.229766
1392.183588,0.232373
1393.115438,0.235266
1394.047288,0.238605
1394.979138,0.239861
1395.910987,0.237167
