XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,1.362095
651.363004,1.340296
652.294854,1.323533
653.226704,1.308414
654.158554,1.293133
655.090403,1.279068
656.022253,1.264972
656.954103,1.253348
657.885953,1.240882
658.817803,1.226800
659.749652,1.216128
660.681502,1.210592
661.613352,1.200633
662.545202,1.188016
663.477051,1.174646
664.408901,1.161427
665.340751,1.146816
666.272601,1.132298
667.204451,1.129714
668.136300,1.130857
669.068150,1.098451
670.000000,1.078715
670.931850,1.075018
671.863700,1.070452
672.795549,1.061250
673.727399,1.050929
674.659249,1.038933
675.591099,1.027840
676.522949,1.016702
677.454798,1.008230
678.386648,0.999537
679.318498,0.990541
680.250348,0.980703
681.182197,0.970983
682.114047,0.960190
683.045897,0.949564
683.977747,0.940729
684.909597,0.932827
685.841446,0.922439
686.773296,0.914885
687.705146,0.909050
688.636996,0.902816
689.568846,0.894817
690.500695,0.885935
691.432545,0.876806
692.364395,0.870300
693.296245,0.863649
694.228095,0.856641
695.159944,0.849166
696.091794,0.843930
697.023644,0.838956
697.955494,0.833924
698.887344,0.827047
699.819193,0.821290
700.751043,0.815717
701.682893,0.809563
702.614743,0.804439
703.546592,0.799365
704.478442,0.794592
705.410292,0.791270
706.342142,0.786809
707.273992,0.782957
708.205841,0.779050
709.137691,0.774663
710.069541,0.769931
711.001391,0.766132
711.933241,0.762849
712.865090,0.759165
713.796940,0.756281
714.728790,0.754269
715.660640,0.751265
716.592490,0.749797
717.524339,0.749126
718.456189,0.750013
719.388039,0.755330
720.319889,0.769997
721.251739,0.791947
722.183588,0.805487
723.115438,0.792093
724.047288,0.766889
724.979138,0.750385
725.910987,0.743709
726.842837,0.744886
727.774687,0.753708
728.706537,0.768746
729.638387,0.780310
730.570236,0.774106
731.502086,0.755112
732.433936,0.738092
733.365786,0.729752
734.297636,0.729592
735.229485,0.737142
736.161335,0.753103
737.093185,0.773235
738.025035,0.787188
738.956885,0.783360
739.888734,0.759972
740.820584,0.730461
741.752434,0.707547
742.684284,0.692743
743.616134,0.681651
744.547983,0.673719
745.479833,0.667017
746.411683,0.659687
747.343533,0.652798
748.275382,0.647670
749.207232,0.643281
750.139082,0.638567
751.070932,0.633838
752.002782,0.629696
752.934631,0.625024
753.866481,0.620670
754.798331,0.616008
755.730181,0.610916
756.662031,0.605857
757.593880,0.601571
758.525730,0.597931
759.457580,0.594658
760.389430,0.591173
761.321280,0.586983
762.253129,0.582519
763.184979,0.579625
764.116829,0.576437
765.048679,0.574072
765.980529,0.575054
766.912378,0.579223
767.844228,0.583269
768.776078,0.582336
769.707928,0.578506
770.639777,0.573728
771.571627,0.565905
772.503477,0.556690
773.435327,0.548924
774.367177,0.543049
775.299026,0.538980
776.230876,0.536401
777.162726,0.534567
778.094576,0.532264
779.026426,0.532030
779.958275,0.533275
780.890125,0.533470
781.821975,0.534000
782.753825,0.536595
783.685675,0.540612
784.617524,0.545012
785.549374,0.551977
786.481224,0.562152
787.413074,0.575969
788.344924,0.596163
789.276773,0.622428
790.208623,0.651687
791.140473,0.681793
792.072323,0.708683
793.004172,0.725194
793.936022,0.728204
794.867872,0.720748
795.799722,0.707538
796.731572,0.689297
797.663421,0.670695
798.595271,0.654439
799.527121,0.638769
800.458971,0.624251
801.390821,0.610703
802.322670,0.598493
803.254520,0.588071
804.186370,0.578186
805.118220,0.569635
806.050070,0.562080
806.981919,0.555720
807.913769,0.549950
808.845619,0.544160
809.777469,0.539070
810.709318,0.534299
811.641168,0.529620
812.573018,0.525627
813.504868,0.521637
814.436718,0.518376
815.368567,0.515591
816.300417,0.512622
817.232267,0.509830
818.164117,0.506668
819.095967,0.504632
820.027816,0.502460
820.959666,0.500035
821.891516,0.497673
822.823366,0.495501
823.755216,0.493785
824.687065,0.492468
825.618915,0.490937
826.550765,0.488744
827.482615,0.486575
828.414465,0.484951
829.346314,0.483722
830.278164,0.482382
831.210014,0.481269
832.141864,0.480477
833.073713,0.479486
834.005563,0.479089
834.937413,0.478008
835.869263,0.476569
836.801113,0.475070
837.732962,0.473861
838.664812,0.473416
839.596662,0.473108
840.528512,0.472337
841.460362,0.472111
842.392211,0.471736
843.324061,0.471177
844.255911,0.471067
845.187761,0.470678
846.119611,0.469897
847.051460,0.469496
847.983310,0.469454
848.915160,0.469759
849.847010,0.469443
850.778860,0.469235
851.710709,0.469822
852.642559,0.470134
853.574409,0.470547
854.506259,0.471626
855.438108,0.472680
856.369958,0.473118
857.301808,0.472717
858.233658,0.471786
859.165508,0.471681
860.097357,0.471908
861.029207,0.473072
861.961057,0.473738
862.892907,0.473291
863.824757,0.473679
864.756606,0.474139
865.688456,0.474081
866.620306,0.474549
867.552156,0.475362
868.484006,0.475992
869.415855,0.476069
870.347705,0.476666
871.279555,0.477720
872.211405,0.478724
873.143255,0.480000
874.075104,0.481573
875.006954,0.482551
875.938804,0.484038
876.870654,0.486241
877.802503,0.488399
878.734353,0.490916
879.666203,0.493113
880.598053,0.495907
881.529903,0.499770
882.461752,0.504423
883.393602,0.509399
884.325452,0.515621
885.257302,0.523484
886.189152,0.532870
887.121001,0.544943
888.052851,0.561326
888.984701,0.582519
889.916551,0.609376
890.848401,0.643189
891.780250,0.684506
892.712100,0.730263
893.643950,0.773124
894.575800,0.800765
895.507650,0.803691
896.439499,0.778590
897.371349,0.731935
898.303199,0.680142
899.235049,0.635306
900.166898,0.600387
901.098748,0.574993
902.030598,0.557448
902.962448,0.544842
903.894298,0.535517
904.826147,0.528762
905.757997,0.523381
906.689847,0.518824
907.621697,0.515156
908.553547,0.512872
909.485396,0.510635
910.417246,0.508308
911.349096,0.507167
912.280946,0.506605
913.212796,0.506063
914.144645,0.506155
915.076495,0.506712
916.008345,0.507519
916.940195,0.508728
917.872045,0.509671
918.803894,0.510091
919.735744,0.510338
920.667594,0.511564
921.599444,0.512912
922.531293,0.513472
923.463143,0.514668
924.394993,0.516097
925.326843,0.517244
926.258693,0.519198
927.190542,0.521470
928.122392,0.523334
929.054242,0.524425
929.986092,0.526130
930.917942,0.527971
931.849791,0.529336
932.781641,0.531214
933.713491,0.533432
934.645341,0.535192
935.577191,0.537012
936.509040,0.539565
937.440890,0.541624
938.372740,0.543809
939.304590,0.546825
940.236439,0.549756
941.168289,0.552976
942.100139,0.556833
943.031989,0.560715
943.963839,0.564032
944.895688,0.566057
945.827538,0.567882
946.759388,0.569576
947.691238,0.571653
948.623088,0.573873
949.554937,0.576173
950.486787,0.578981
951.418637,0.582003
952.350487,0.585132
953.282337,0.589388
954.214186,0.593979
955.146036,0.598729
956.077886,0.604632
957.009736,0.611111
957.941586,0.616886
958.873435,0.623156
959.805285,0.631350
960.737135,0.642158
961.668985,0.654362
962.600834,0.668749
963.532684,0.687168
964.464534,0.710261
965.396384,0.736725
966.328234,0.765040
967.260083,0.790197
968.191933,0.804256
969.123783,0.802938
970.055633,0.788361
970.987483,0.765818
971.919332,0.741893
972.851182,0.720893
973.783032,0.703695
974.714882,0.690610
975.646732,0.681637
976.578581,0.675531
977.510431,0.671183
978.442281,0.669433
979.374131,0.669704
980.305981,0.670990
981.237830,0.672956
982.169680,0.675792
983.101530,0.680036
984.033380,0.685809
984.965229,0.692705
985.897079,0.700610
986.828929,0.706480
987.760779,0.707024
988.692629,0.702713
989.624478,0.697319
990.556328,0.694185
991.488178,0.693269
992.420028,0.693796
993.351878,0.695348
994.283727,0.697495
995.215577,0.700629
996.147427,0.704419
997.079277,0.708092
998.011127,0.711978
998.942976,0.716670
999.874826,0.721640
1000.806676,0.726155
1001.738526,0.731468
1002.670376,0.737011
1003.602225,0.743645
1004.534075,0.752156
1005.465925,0.761587
1006.397775,0.773167
1007.329624,0.787809
1008.261474,0.806523
1009.193324,0.830504
1010.125174,0.861141
1011.057024,0.899028
1011.988873,0.939391
1012.920723,0.973186
1013.852573,0.991723
1014.784423,0.990851
1015.716273,0.977527
1016.648122,0.962638
1017.579972,0.948264
1018.511822,0.932996
1019.443672,0.915777
1020.375522,0.900548
1021.307371,0.891005
1022.239221,0.888476
1023.171071,0.892364
1024.102921,0.901086
1025.034771,0.913881
1025.966620,0.930601
1026.898470,0.950125
1027.830320,0.972032
1028.762170,0.997079
1029.694019,1.027041
1030.625869,1.060366
1031.557719,1.097106
1032.489569,1.138848
1033.421419,1.184165
1034.353268,1.233710
1035.285118,1.285882
1036.216968,1.339798
1037.148818,1.391717
1038.080668,1.433648
1039.012517,1.458633
1039.944367,1.464634
1040.876217,1.448249
1041.808067,1.407953
1042.739917,1.356352
1043.671766,1.301763
1044.603616,1.246685
1045.535466,1.197097
1046.467316,1.158991
1047.399166,1.130233
1048.331015,1.109147
1049.262865,1.096693
1050.194715,1.091516
1051.126565,1.088769
1052.058414,1.083474
1052.990264,1.072055
1053.922114,1.051219
1054.853964,1.024592
1055.785814,0.997499
1056.717663,0.971196
1057.649513,0.946639
1058.581363,0.925098
1059.513213,0.907204
1060.445063,0.892334
1061.376912,0.879725
1062.308762,0.871215
1063.240612,0.866844
1064.172462,0.867906
1065.104312,0.871412
1066.036161,0.872730
1066.968011,0.867484
1067.899861,0.855066
1068.831711,0.842128
1069.763561,0.832116
1070.695410,0.824967
1071.627260,0.819559
1072.559110,0.814734
1073.490960,0.810918
1074.422809,0.808550
1075.354659,0.805693
1076.286509,0.802489
1077.218359,0.800250
1078.150209,0.798161
1079.082058,0.796524
1080.013908,0.795404
1080.945758,0.794988
1081.877608,0.794760
1082.809458,0.794570
1083.741307,0.794091
1084.673157,0.793828
1085.605007,0.794144
1086.536857,0.795261
1087.468707,0.797356
1088.400556,0.800271
1089.332406,0.804156
1090.264256,0.808679
1091.196106,0.813887
1092.127955,0.820454
1093.059805,0.828417
1093.991655,0.837651
1094.923505,0.847053
1095.855355,0.853269
1096.787204,0.853476
1097.719054,0.847250
1098.650904,0.836524
1099.582754,0.825626
1100.514604,0.816867
1101.446453,0.811304
1102.378303,0.808874
1103.310153,0.807175
1104.242003,0.806834
1105.173853,0.807402
1106.105702,0.808354
1107.037552,0.810212
1107.969402,0.812502
1108.901252,0.815474
1109.833102,0.818397
1110.764951,0.821563
1111.696801,0.824671
1112.628651,0.828000
1113.560501,0.831268
1114.492350,0.835324
1115.424200,0.839560
1116.356050,0.844486
1117.287900,0.849741
1118.219750,0.854745
1119.151599,0.859738
1120.083449,0.865247
1121.015299,0.870512
1121.947149,0.876043
1122.878999,0.882818
1123.810848,0.889158
1124.742698,0.895527
1125.674548,0.902756
1126.606398,0.910063
1127.538248,0.917672
1128.470097,0.925414
1129.401947,0.933148
1130.333797,0.941581
1131.265647,0.949574
1132.197497,0.957461
1133.129346,0.966523
1134.061196,0.976827
1134.993046,0.986918
1135.924896,0.996574
1136.856745,1.006228
1137.788595,1.016393
1138.720445,1.027194
1139.652295,1.036782
1140.584145,1.045547
1141.515994,1.055074
1142.447844,1.066037
1143.379694,1.078038
1144.311544,1.088648
1145.243394,1.098697
1146.175243,1.109232
1147.107093,1.119221
1148.038943,1.129462
1148.970793,1.138747
1149.902643,1.147791
1150.834492,1.157534
1151.766342,1.166971
1152.698192,1.176860
1153.630042,1.185882
1154.561892,1.193809
1155.493741,1.200769
1156.425591,1.206361
1157.357441,1.212160
1158.289291,1.218260
1159.221140,1.221801
1160.152990,1.224881
1161.084840,1.228036
1162.016690,1.228889
1162.948540,1.229970
1163.880389,1.230291
1164.812239,1.229096
1165.744089,1.226142
1166.675939,1.221909
1167.607789,1.217891
1168.539638,1.214785
1169.471488,1.210796
1170.403338,1.207753
1171.335188,1.204697
1172.267038,1.200556
1173.198887,1.194924
1174.130737,1.186329
1175.062587,1.175759
1175.994437,1.163759
1176.926287,1.149870
1177.858136,1.135223
1178.789986,1.122479
1179.721836,1.111091
1180.653686,1.099563
1181.585535,1.088593
1182.517385,1.077922
1183.449235,1.067516
1184.381085,1.058237
1185.312935,1.049931
1186.244784,1.041901
1187.176634,1.034797
1188.108484,1.028770
1189.040334,1.022264
1189.972184,1.015789
1190.904033,1.010234
1191.835883,1.004609
1192.767733,0.999787
1193.699583,0.996317
1194.631433,0.994387
1195.563282,0.993464
1196.495132,0.993022
1197.426982,0.992218
1198.358832,0.989468
1199.290682,0.984186
1200.222531,0.980359
1201.154381,0.978756
1202.086231,0.978400
1203.018081,0.979009
1203.949930,0.980140
1204.881780,0.981474
1205.813630,0.984403
1206.745480,0.988529
1207.677330,0.992651
1208.609179,0.998215
1209.541029,1.004907
1210.472879,1.011348
1211.404729,1.018692
1212.336579,1.027892
1213.268428,1.038399
1214.200278,1.048714
1215.132128,1.060558
1216.063978,1.073668
1216.995828,1.085036
1217.927677,1.095072
1218.859527,1.105179
1219.791377,1.113743
1220.723227,1.122146
1221.655076,1.132736
1222.586926,1.146134
1223.518776,1.163721
1224.450626,1.185658
1225.382476,1.210259
1226.314325,1.237631
1227.246175,1.267721
1228.178025,1.300525
1229.109875,1.333818
1230.041725,1.366241
1230.973574,1.400572
1231.905424,1.441277
1232.837274,1.485281
1233.769124,1.530223
1234.700974,1.579585
1235.632823,1.634152
1236.564673,1.688364
1237.496523,1.736561
1238.428373,1.780074
1239.360223,1.818393
1240.292072,1.844889
1241.223922,1.860401
1242.155772,1.871544
1243.087622,1.879415
1244.019471,1.881862
1244.951321,1.881640
1245.883171,1.880171
1246.815021,1.871530
1247.746871,1.854351
1248.678720,1.826888
1249.610570,1.782065
1250.542420,1.732256
1251.474270,1.676844
1252.406120,1.618473
1253.337969,1.577174
1254.269819,1.574057
1255.201669,1.618211
1256.133519,1.688263
1257.065369,1.726735
1257.997218,1.712434
1258.929068,1.663669
1259.860918,1.604826
1260.792768,1.549164
1261.724618,1.497446
1262.656467,1.449189
1263.588317,1.400836
1264.520167,1.354257
1265.452017,1.311216
1266.383866,1.271658
1267.315716,1.232894
1268.247566,1.195901
1269.179416,1.162035
1270.111266,1.131963
1271.043115,1.104532
1271.974965,1.080372
1272.906815,1.058405
1273.838665,1.037500
1274.770515,1.017882
1275.702364,0.999295
1276.634214,0.981511
1277.566064,0.963351
1278.497914,0.946746
1279.429764,0.931674
1280.361613,0.919217
1281.293463,0.908289
1282.225313,0.897944
1283.157163,0.889348
1284.089013,0.882840
1285.020862,0.877997
1285.952712,0.874745
1286.884562,0.872674
1287.816412,0.870336
1288.748261,0.865242
1289.680111,0.856410
1290.611961,0.844481
1291.543811,0.830271
1292.475661,0.815525
1293.407510,0.802152
1294.339360,0.789877
1295.271210,0.778954
1296.203060,0.769463
1297.134910,0.761328
1298.066759,0.754057
1298.998609,0.747720
1299.930459,0.742799
1300.862309,0.739719
1301.794159,0.738255
1302.726008,0.740213
1303.657858,0.744387
1304.589708,0.746260
1305.521558,0.743168
1306.453408,0.738220
1307.385257,0.733576
1308.317107,0.729309
1309.248957,0.725146
1310.180807,0.722752
1311.112656,0.722991
1312.044506,0.726164
1312.976356,0.732219
1313.908206,0.739276
1314.840056,0.741944
1315.771905,0.734656
1316.703755,0.720819
1317.635605,0.706055
1318.567455,0.694334
1319.499305,0.685845
1320.431154,0.678283
1321.363004,0.672767
1322.294854,0.668848
1323.226704,0.666073
1324.158554,0.662761
1325.090403,0.659762
1326.022253,0.656354
1326.954103,0.653031
1327.885953,0.649247
1328.817803,0.645821
1329.749652,0.642757
1330.681502,0.639260
1331.613352,0.636010
1332.545202,0.634114
1333.477051,0.631686
1334.408901,0.630187
1335.340751,0.629049
1336.272601,0.628655
1337.204451,0.627790
1338.136300,0.627219
1339.068150,0.626876
1340.000000,0.624482
1340.931850,0.620987
1341.863700,0.618162
1342.795549,0.618927
1343.727399,0.619870
1344.659249,0.621328
1345.591099,0.622470
1346.522949,0.623989
1347.454798,0.626408
1348.386648,0.629291
1349.318498,0.632560
1350.250348,0.636436
1351.182197,0.641677
1352.114047,0.648506
1353.045897,0.656679
1353.977747,0.666074
1354.909597,0.676262
1355.841446,0.687458
1356.773296,0.700593
1357.705146,0.715688
1358.636996,0.734367
1359.568846,0.758683
1360.500695,0.789073
1361.432545,0.824600
1362.364395,0.866377
1363.296245,0.914545
1364.228095,0.965382
1365.159944,1.024870
1366.091794,1.079615
1367.023644,1.134854
1367.955494,1.185279
1368.887344,1.220838
1369.819193,1.231177
1370.751043,1.215422
1371.682893,1.177210
1372.614743,1.126158
1373.546592,1.074298
1374.478442,1.023356
1375.410292,0.974188
1376.342142,0.935167
1377.273992,0.902847
1378.205841,0.871044
1379.137691,0.838434
1380.069541,0.810503
1381.001391,0.789097
1381.933241,0.774139
1382.865090,0.763942
1383.796940,0.757076
1384.728790,0.753844
1385.660640,0.754873
1386.592490,0.758214
1387.524339,0.760642
1388.456189,0.758782
1389.388039,0.762301
1390.319889,0.773402
1391.251739,0.786040
1392.183588,0.801297
1393.115438,0.816843
1394.047288,0.831622
1394.979138,0.834520
1395.910987,0.820368
