XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.646989
651.363004,0.644642
652.294854,0.642003
653.226704,0.638029
654.158554,0.634765
655.090403,0.631091
656.022253,0.627902
656.954103,0.623976
657.885953,0.620469
658.817803,0.616350
659.749652,0.613174
660.681502,0.608682
661.613352,0.604775
662.545202,0.599228
663.477051,0.594594
664.408901,0.588304
665.340751,0.583910
666.272601,0.576358
667.204451,0.580087
668.136300,0.584313
669.068150,0.555278
670.000000,0.550023
670.931850,0.547897
671.863700,0.546144
672.795549,0.541772
673.727399,0.536854
674.659249,0.531060
675.591099,0.525405
676.522949,0.518946
677.454798,0.513754
678.386648,0.508910
679.318498,0.503179
680.250348,0.496846
681.182197,0.491359
682.114047,0.487011
683.045897,0.482514
683.977747,0.477824
684.909597,0.472849
685.841446,0.467746
686.773296,0.462649
687.705146,0.458110
688.636996,0.454797
689.568846,0.450787
690.500695,0.445624
691.432545,0.440876
692.364395,0.436407
693.296245,0.432145
694.228095,0.429443
695.159944,0.425993
696.091794,0.422711
697.023644,0.419156
697.955494,0.415859
698.887344,0.413012
699.819193,0.410442
700.751043,0.407526
701.682893,0.404716
702.614743,0.402416
703.546592,0.400792
704.478442,0.398920
705.410292,0.396993
706.342142,0.394164
707.273992,0.391897
708.205841,0.389605
709.137691,0.387552
710.069541,0.385124
711.001391,0.383124
711.933241,0.381752
712.865090,0.380258
713.796940,0.378442
714.728790,0.375897
715.660640,0.373544
716.592490,0.372339
717.524339,0.370845
718.456189,0.368617
719.388039,0.365862
720.319889,0.364424
721.251739,0.362472
722.183588,0.359103
723.115438,0.355825
724.047288,0.353196
724.979138,0.350563
725.910987,0.348030
726.842837,0.345175
727.774687,0.342353
728.706537,0.339275
729.638387,0.336191
730.570236,0.333012
731.502086,0.329280
732.433936,0.325707
733.365786,0.323044
734.297636,0.319962
735.229485,0.316309
736.161335,0.312807
737.093185,0.309877
738.025035,0.307238
738.956885,0.304066
739.888734,0.301037
740.820584,0.298140
741.752434,0.295325
742.684284,0.292617
743.616134,0.290011
744.547983,0.287637
745.479833,0.284580
746.411683,0.281335
747.343533,0.278636
748.275382,0.275448
749.207232,0.272624
750.139082,0.269192
751.070932,0.265654
752.002782,0.262866
752.934631,0.260490
753.866481,0.258206
754.798331,0.255262
755.730181,0.252651
756.662031,0.250267
757.593880,0.247245
758.525730,0.245075
759.457580,0.242423
760.389430,0.239501
761.321280,0.237580
762.253129,0.235322
763.184979,0.232601
764.116829,0.230837
765.048679,0.229347
765.980529,0.227551
766.912378,0.225735
767.844228,0.223992
768.776078,0.223032
769.707928,0.222385
770.639777,0.220868
771.571627,0.219488
772.503477,0.218775
773.435327,0.218240
774.367177,0.217325
775.299026,0.216760
776.230876,0.216816
777.162726,0.217777
778.094576,0.219379
779.026426,0.220985
779.958275,0.222995
780.890125,0.226261
781.821975,0.230151
782.753825,0.234749
783.685675,0.240672
784.617524,0.248129
785.549374,0.258722
786.481224,0.272969
787.413074,0.289788
788.344924,0.308278
789.276773,0.325201
790.208623,0.336304
791.140473,0.340467
792.072323,0.339302
793.004172,0.334410
793.936022,0.325803
794.867872,0.314898
795.799722,0.302580
796.731572,0.289830
797.663421,0.278596
798.595271,0.268875
799.527121,0.260067
800.458971,0.252162
801.390821,0.245494
802.322670,0.239699
803.254520,0.234398
804.186370,0.230277
805.118220,0.226574
806.050070,0.222922
806.981919,0.219434
807.913769,0.216471
808.845619,0.213933
809.777469,0.211380
810.709318,0.208531
811.641168,0.206243
812.573018,0.204288
813.504868,0.202888
814.436718,0.201261
815.368567,0.199288
816.300417,0.197802
817.232267,0.196441
818.164117,0.195404
819.095967,0.193773
820.027816,0.191830
820.959666,0.190839
821.891516,0.189620
822.823366,0.188280
823.755216,0.187284
824.687065,0.185912
825.618915,0.185198
826.550765,0.184137
827.482615,0.182835
828.414465,0.182013
829.346314,0.181075
830.278164,0.180279
831.210014,0.180004
832.141864,0.179872
833.073713,0.179335
834.005563,0.179126
834.937413,0.179700
835.869263,0.179504
836.801113,0.179458
837.732962,0.179332
838.664812,0.179134
839.596662,0.179690
840.528512,0.179489
841.460362,0.179448
842.392211,0.179905
843.324061,0.180464
844.255911,0.180833
845.187761,0.180569
846.119611,0.180337
847.051460,0.180037
847.983310,0.179771
848.915160,0.180132
849.847010,0.179943
850.778860,0.180188
851.710709,0.180393
852.642559,0.180238
853.574409,0.180429
854.506259,0.180329
855.438108,0.180063
856.369958,0.180238
857.301808,0.180402
858.233658,0.180410
859.165508,0.180519
860.097357,0.180845
861.029207,0.180984
861.961057,0.181111
862.892907,0.180863
863.824757,0.180473
864.756606,0.180436
865.688456,0.180562
866.620306,0.180496
867.552156,0.180854
868.484006,0.180892
869.415855,0.180796
870.347705,0.180628
871.279555,0.180836
872.211405,0.181363
873.143255,0.181735
874.075104,0.181864
875.006954,0.182098
875.938804,0.182615
876.870654,0.182946
877.802503,0.183279
878.734353,0.183644
879.666203,0.183991
880.598053,0.184505
881.529903,0.184996
882.461752,0.185399
883.393602,0.185822
884.325452,0.185471
885.257302,0.185618
886.189152,0.186140
887.121001,0.186839
888.052851,0.187879
888.984701,0.188549
889.916551,0.189109
890.848401,0.189629
891.780250,0.190258
892.712100,0.191214
893.643950,0.192005
894.575800,0.193018
895.507650,0.194055
896.439499,0.195150
897.371349,0.195886
898.303199,0.196545
899.235049,0.197848
900.166898,0.199115
901.098748,0.199704
902.030598,0.200363
902.962448,0.200801
903.894298,0.201707
904.826147,0.202767
905.757997,0.203206
906.689847,0.203204
907.621697,0.203941
908.553547,0.204996
909.485396,0.205642
910.417246,0.205869
911.349096,0.206287
912.280946,0.206440
913.212796,0.206902
914.144645,0.207666
915.076495,0.208340
916.008345,0.208579
916.940195,0.209285
917.872045,0.210082
918.803894,0.210758
919.735744,0.211119
920.667594,0.212014
921.599444,0.212850
922.531293,0.213103
923.463143,0.214038
924.394993,0.215208
925.326843,0.216073
926.258693,0.217242
927.190542,0.218365
928.122392,0.219299
929.054242,0.220152
929.986092,0.220885
930.917942,0.222150
931.849791,0.223674
932.781641,0.225037
933.713491,0.226263
934.645341,0.227463
935.577191,0.229099
936.509040,0.231032
937.440890,0.232884
938.372740,0.234817
939.304590,0.236784
940.236439,0.238506
941.168289,0.240210
942.100139,0.241855
943.031989,0.243049
943.963839,0.244433
944.895688,0.246041
945.827538,0.247146
946.759388,0.247912
947.691238,0.248832
948.623088,0.249866
949.554937,0.251178
950.486787,0.252519
951.418637,0.253805
952.350487,0.255114
953.282337,0.256710
954.214186,0.258062
955.146036,0.258895
956.077886,0.260086
957.009736,0.261299
957.941586,0.262691
958.873435,0.264799
959.805285,0.267305
960.737135,0.269687
961.668985,0.272272
962.600834,0.275415
963.532684,0.278649
964.464534,0.281859
965.396384,0.284705
966.328234,0.286358
967.260083,0.287286
968.191933,0.287934
969.123783,0.288538
970.055633,0.288518
970.987483,0.288492
971.919332,0.288997
972.851182,0.289511
973.783032,0.290013
974.714882,0.290722
975.646732,0.291455
976.578581,0.291962
977.510431,0.292295
978.442281,0.293185
979.374131,0.293863
980.305981,0.294739
981.237830,0.295688
982.169680,0.296936
983.101530,0.298264
984.033380,0.299288
984.965229,0.300669
985.897079,0.302048
986.828929,0.303206
987.760779,0.304872
988.692629,0.306237
989.624478,0.307425
990.556328,0.309084
991.488178,0.310705
992.420028,0.312290
993.351878,0.313806
994.283727,0.315230
995.215577,0.317429
996.147427,0.319895
997.079277,0.322595
998.011127,0.325438
998.942976,0.328285
999.874826,0.331506
1000.806676,0.335410
1001.738526,0.340310
1002.670376,0.344983
1003.602225,0.349923
1004.534075,0.355606
1005.465925,0.359818
1006.397775,0.362715
1007.329624,0.365723
1008.261474,0.370190
1009.193324,0.377416
1010.125174,0.388549
1011.057024,0.403811
1011.988873,0.420513
1012.920723,0.434152
1013.852573,0.440742
1014.784423,0.439430
1015.716273,0.433792
1016.648122,0.427640
1017.579972,0.423619
1018.511822,0.421396
1019.443672,0.420339
1020.375522,0.420457
1021.307371,0.421699
1022.239221,0.423359
1023.171071,0.425145
1024.102921,0.427217
1025.034771,0.429127
1025.966620,0.431239
1026.898470,0.433571
1027.830320,0.436562
1028.762170,0.440081
1029.694019,0.442757
1030.625869,0.445502
1031.557719,0.449441
1032.489569,0.453170
1033.421419,0.456479
1034.353268,0.459766
1035.285118,0.462739
1036.216968,0.465397
1037.148818,0.466851
1038.080668,0.467189
1039.012517,0.467494
1039.944367,0.467808
1040.876217,0.467519
1041.808067,0.466924
1042.739917,0.466570
1043.671766,0.466817
1044.603616,0.467302
1045.535466,0.468042
1046.467316,0.469084
1047.399166,0.470171
1048.331015,0.471332
1049.262865,0.471781
1050.194715,0.471666
1051.126565,0.471327
1052.058414,0.471365
1052.990264,0.471979
1053.922114,0.472610
1054.853964,0.474351
1055.785814,0.477215
1056.717663,0.480428
1057.649513,0.484370
1058.581363,0.488705
1059.513213,0.492224
1060.445063,0.493749
1061.376912,0.492208
1062.308762,0.487199
1063.240612,0.480316
1064.172462,0.472100
1065.104312,0.463025
1066.036161,0.454167
1066.968011,0.446378
1067.899861,0.439816
1068.831711,0.433920
1069.763561,0.428679
1070.695410,0.424428
1071.627260,0.420888
1072.559110,0.417626
1073.490960,0.414487
1074.422809,0.411416
1075.354659,0.408588
1076.286509,0.405979
1077.218359,0.403560
1078.150209,0.401397
1079.082058,0.399267
1080.013908,0.397714
1080.945758,0.396224
1081.877608,0.394210
1082.809458,0.392694
1083.741307,0.391361
1084.673157,0.390131
1085.605007,0.389168
1086.536857,0.387793
1087.468707,0.387194
1088.400556,0.387081
1089.332406,0.385973
1090.264256,0.384706
1091.196106,0.384259
1092.127955,0.384371
1093.059805,0.384482
1093.991655,0.383913
1094.923505,0.383116
1095.855355,0.383101
1096.787204,0.383604
1097.719054,0.383600
1098.650904,0.383718
1099.582754,0.384063
1100.514604,0.384419
1101.446453,0.384851
1102.378303,0.385195
1103.310153,0.385626
1104.242003,0.386162
1105.173853,0.386428
1106.105702,0.386651
1107.037552,0.387145
1107.969402,0.388096
1108.901252,0.389050
1109.833102,0.389888
1110.764951,0.390283
1111.696801,0.391253
1112.628651,0.392675
1113.560501,0.393852
1114.492350,0.395342
1115.424200,0.396721
1116.356050,0.398007
1117.287900,0.399551
1118.219750,0.401617
1119.151599,0.404116
1120.083449,0.406197
1121.015299,0.408420
1121.947149,0.410981
1122.878999,0.413620
1123.810848,0.416729
1124.742698,0.420079
1125.674548,0.423583
1126.606398,0.427447
1127.538248,0.431440
1128.470097,0.436064
1129.401947,0.440797
1130.333797,0.445661
1131.265647,0.451267
1132.197497,0.457171
1133.129346,0.463357
1134.061196,0.469885
1134.993046,0.476902
1135.924896,0.484690
1136.856745,0.492491
1137.788595,0.500401
1138.720445,0.509280
1139.652295,0.518884
1140.584145,0.529198
1141.515994,0.539773
1142.447844,0.550904
1143.379694,0.562578
1144.311544,0.574623
1145.243394,0.587226
1146.175243,0.600016
1147.107093,0.612638
1148.038943,0.625291
1148.970793,0.637607
1149.902643,0.650005
1150.834492,0.661732
1151.766342,0.672029
1152.698192,0.681554
1153.630042,0.689822
1154.561892,0.695888
1155.493741,0.700314
1156.425591,0.703303
1157.357441,0.704931
1158.289291,0.705104
1159.221140,0.703979
1160.152990,0.701543
1161.084840,0.698199
1162.016690,0.694354
1162.948540,0.689754
1163.880389,0.684690
1164.812239,0.679116
1165.744089,0.672722
1166.675939,0.666143
1167.607789,0.659477
1168.539638,0.652265
1169.471488,0.644930
1170.403338,0.637306
1171.335188,0.629346
1172.267038,0.620859
1173.198887,0.612072
1174.130737,0.603425
1175.062587,0.594706
1175.994437,0.585105
1176.926287,0.575455
1177.858136,0.566606
1178.789986,0.558043
1179.721836,0.549237
1180.653686,0.540559
1181.585535,0.531930
1182.517385,0.523736
1183.449235,0.515856
1184.381085,0.507937
1185.312935,0.500392
1186.244784,0.493038
1187.176634,0.486137
1188.108484,0.479593
1189.040334,0.472909
1189.972184,0.466858
1190.904033,0.461101
1191.835883,0.455469
1192.767733,0.449988
1193.699583,0.444685
1194.631433,0.439776
1195.563282,0.435499
1196.495132,0.431599
1197.426982,0.427742
1198.358832,0.424857
1199.290682,0.422436
1200.222531,0.419470
1201.154381,0.417262
1202.086231,0.415828
1203.018081,0.414563
1203.949930,0.413592
1204.881780,0.412986
1205.813630,0.412622
1206.745480,0.412980
1207.677330,0.413433
1208.609179,0.413865
1209.541029,0.414882
1210.472879,0.416636
1211.404729,0.418764
1212.336579,0.420954
1213.268428,0.423653
1214.200278,0.427034
1215.132128,0.431133
1216.063978,0.435532
1216.995828,0.440619
1217.927677,0.446389
1218.859527,0.452651
1219.791377,0.459195
1220.723227,0.466110
1221.655076,0.473018
1222.586926,0.480473
1223.518776,0.489555
1224.450626,0.500217
1225.382476,0.512749
1226.314325,0.527560
1227.246175,0.544676
1228.178025,0.563992
1229.109875,0.585600
1230.041725,0.609709
1230.973574,0.636981
1231.905424,0.666546
1232.837274,0.698006
1233.769124,0.730076
1234.700974,0.759844
1235.632823,0.785431
1236.564673,0.804736
1237.496523,0.815777
1238.428373,0.818104
1239.360223,0.811666
1240.292072,0.797912
1241.223922,0.779323
1242.155772,0.758547
1243.087622,0.737877
1244.019471,0.719841
1244.951321,0.705464
1245.883171,0.695282
1246.815021,0.689629
1247.746871,0.689032
1248.678720,0.692306
1249.610570,0.697643
1250.542420,0.701760
1251.474270,0.700592
1252.406120,0.692538
1253.337969,0.677862
1254.269819,0.657399
1255.201669,0.634570
1256.133519,0.610587
1257.065369,0.586840
1257.997218,0.564881
1258.929068,0.544141
1259.860918,0.524863
1260.792768,0.507889
1261.724618,0.491557
1262.656467,0.476488
1263.588317,0.463850
1264.520167,0.452131
1265.452017,0.441298
1266.383866,0.431153
1267.315716,0.421489
1268.247566,0.412873
1269.179416,0.404779
1270.111266,0.397033
1271.043115,0.390230
1271.974965,0.384218
1272.906815,0.378099
1273.838665,0.371002
1274.770515,0.365042
1275.702364,0.359843
1276.634214,0.354743
1277.566064,0.349719
1278.497914,0.345155
1279.429764,0.340747
1280.361613,0.336847
1281.293463,0.333341
1282.225313,0.329748
1283.157163,0.326031
1284.089013,0.322683
1285.020862,0.319676
1285.952712,0.316835
1286.884562,0.314137
1287.816412,0.311724
1288.748261,0.309010
1289.680111,0.305982
1290.611961,0.303139
1291.543811,0.300579
1292.475661,0.297911
1293.407510,0.295782
1294.339360,0.293648
1295.271210,0.291327
1296.203060,0.289737
1297.134910,0.289075
1298.066759,0.287906
1298.998609,0.286561
1299.930459,0.285656
1300.862309,0.285373
1301.794159,0.285470
1302.726008,0.285709
1303.657858,0.285791
1304.589708,0.285653
1305.521558,0.285636
1306.453408,0.285550
1307.385257,0.285005
1308.317107,0.284173
1309.248957,0.283198
1310.180807,0.281405
1311.112656,0.279882
1312.044506,0.279314
1312.976356,0.279748
1313.908206,0.279078
1314.840056,0.277066
1315.771905,0.275566
1316.703755,0.275324
1317.635605,0.277055
1318.567455,0.277822
1319.499305,0.278626
1320.431154,0.277822
1321.363004,0.275928
1322.294854,0.275771
1323.226704,0.275584
1324.158554,0.274961
1325.090403,0.272964
1326.022253,0.270890
1326.954103,0.268793
1327.885953,0.267066
1328.817803,0.265496
1329.749652,0.264307
1330.681502,0.263436
1331.613352,0.262598
1332.545202,0.261724
1333.477051,0.261494
1334.408901,0.261132
1335.340751,0.261610
1336.272601,0.263521
1337.204451,0.266554
1338.136300,0.267172
1339.068150,0.269619
1340.000000,0.272565
1340.931850,0.270861
1341.863700,0.264909
1342.795549,0.261344
1343.727399,0.262713
1344.659249,0.264139
1345.591099,0.265178
1346.522949,0.266080
1347.454798,0.267598
1348.386648,0.269131
1349.318498,0.271438
1350.250348,0.274148
1351.182197,0.275986
1352.114047,0.279269
1353.045897,0.283998
1353.977747,0.289166
1354.909597,0.296382
1355.841446,0.304558
1356.773296,0.311970
1357.705146,0.322889
1358.636996,0.338456
1359.568846,0.356740
1360.500695,0.378932
1361.432545,0.405092
1362.364395,0.427963
1363.296245,0.442306
1364.228095,0.441532
1365.159944,0.422692
1366.091794,0.410698
1367.023644,0.399825
1367.955494,0.386878
1368.887344,0.375998
1369.819193,0.362287
1370.751043,0.347297
1371.682893,0.338758
1372.614743,0.332805
1373.546592,0.330080
1374.478442,0.329476
1375.410292,0.319014
1376.342142,0.306312
1377.273992,0.301786
1378.205841,0.302184
1379.137691,0.302754
1380.069541,0.300750
1381.001391,0.300615
1381.933241,0.301524
1382.865090,0.304021
1383.796940,0.307557
1384.728790,0.311998
1385.660640,0.316054
1386.592490,0.322370
1387.524339,0.330850
1388.456189,0.331025
1389.388039,0.321136
1390.319889,0.321922
1391.251739,0.328903
1392.183588,0.333393
1393.115438,0.337942
1394.047288,0.347921
1394.979138,0.359366
1395.910987,0.356041
