XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.824067
651.363004,0.820152
652.294854,0.816701
653.226704,0.811883
654.158554,0.806616
655.090403,0.803277
656.022253,0.799440
656.954103,0.794883
657.885953,0.791113
658.817803,0.787559
659.749652,0.783981
660.681502,0.778985
661.613352,0.773612
662.545202,0.769366
663.477051,0.765291
664.408901,0.760633
665.340751,0.755281
666.272601,0.747023
667.204451,0.750615
668.136300,0.755829
669.068150,0.737496
670.000000,0.723639
670.931850,0.720335
671.863700,0.719695
672.795549,0.714140
673.727399,0.709657
674.659249,0.705171
675.591099,0.700840
676.522949,0.695125
677.454798,0.690634
678.386648,0.684686
679.318498,0.678573
680.250348,0.672897
681.182197,0.667062
682.114047,0.660167
683.045897,0.654676
683.977747,0.649345
684.909597,0.644451
685.841446,0.639039
686.773296,0.634066
687.705146,0.628834
688.636996,0.624278
689.568846,0.619619
690.500695,0.613884
691.432545,0.609031
692.364395,0.605505
693.296245,0.601348
694.228095,0.596906
695.159944,0.591949
696.091794,0.587868
697.023644,0.584051
697.955494,0.580460
698.887344,0.576022
699.819193,0.571342
700.751043,0.566895
701.682893,0.563158
702.614743,0.558907
703.546592,0.555699
704.478442,0.553287
705.410292,0.550886
706.342142,0.547094
707.273992,0.543475
708.205841,0.540091
709.137691,0.537736
710.069541,0.535146
711.001391,0.532297
711.933241,0.528925
712.865090,0.526170
713.796940,0.524309
714.728790,0.522363
715.660640,0.519030
716.592490,0.516867
717.524339,0.514742
718.456189,0.511591
719.388039,0.508943
720.319889,0.507381
721.251739,0.504765
722.183588,0.502896
723.115438,0.500730
724.047288,0.498763
724.979138,0.497200
725.910987,0.495655
726.842837,0.493995
727.774687,0.492221
728.706537,0.490690
729.638387,0.489719
730.570236,0.488941
731.502086,0.487618
732.433936,0.486685
733.365786,0.486168
734.297636,0.485062
735.229485,0.483747
736.161335,0.481855
737.093185,0.480144
738.025035,0.478890
738.956885,0.477676
739.888734,0.476605
740.820584,0.475068
741.752434,0.473253
742.684284,0.472139
743.616134,0.469880
744.547983,0.467464
745.479833,0.465506
746.411683,0.463599
747.343533,0.461152
748.275382,0.458265
749.207232,0.455291
750.139082,0.453142
751.070932,0.450836
752.002782,0.447819
752.934631,0.444845
753.866481,0.442209
754.798331,0.439196
755.730181,0.435830
756.662031,0.432248
757.593880,0.429238
758.525730,0.426107
759.457580,0.422912
760.389430,0.419768
761.321280,0.415929
762.253129,0.411860
763.184979,0.408450
764.116829,0.405147
765.048679,0.401890
765.980529,0.398409
766.912378,0.395267
767.844228,0.392436
768.776078,0.389418
769.707928,0.386229
770.639777,0.383784
771.571627,0.381669
772.503477,0.378822
773.435327,0.376164
774.367177,0.374178
775.299026,0.372088
776.230876,0.370044
777.162726,0.368282
778.094576,0.367124
779.026426,0.366156
779.958275,0.364944
780.890125,0.364637
781.821975,0.365881
782.753825,0.368962
783.685675,0.374478
784.617524,0.382161
785.549374,0.391975
786.481224,0.402451
787.413074,0.412376
788.344924,0.421182
789.276773,0.428959
790.208623,0.435805
791.140473,0.442959
792.072323,0.450596
793.004172,0.457888
793.936022,0.464277
794.867872,0.468240
795.799722,0.468013
796.731572,0.464304
797.663421,0.458801
798.595271,0.453187
799.527121,0.447798
800.458971,0.442549
801.390821,0.437358
802.322670,0.431868
803.254520,0.426049
804.186370,0.420646
805.118220,0.415045
806.050070,0.408943
806.981919,0.403349
807.913769,0.398717
808.845619,0.394055
809.777469,0.388818
810.709318,0.383521
811.641168,0.379352
812.573018,0.375715
813.504868,0.371737
814.436718,0.367909
815.368567,0.364645
816.300417,0.361440
817.232267,0.358306
818.164117,0.355011
819.095967,0.351973
820.027816,0.349815
820.959666,0.347520
821.891516,0.344797
822.823366,0.342559
823.755216,0.340518
824.687065,0.338598
825.618915,0.336313
826.550765,0.333965
827.482615,0.332255
828.414465,0.330957
829.346314,0.329279
830.278164,0.327481
831.210014,0.326069
832.141864,0.325258
833.073713,0.324479
834.005563,0.323352
834.937413,0.322333
835.869263,0.321263
836.801113,0.320379
837.732962,0.319579
838.664812,0.318445
839.596662,0.317704
840.528512,0.317421
841.460362,0.316369
842.392211,0.315069
843.324061,0.314372
844.255911,0.314091
845.187761,0.313622
846.119611,0.312552
847.051460,0.311665
847.983310,0.311718
848.915160,0.311750
849.847010,0.310967
850.778860,0.310463
851.710709,0.310252
852.642559,0.310156
853.574409,0.310649
854.506259,0.311224
855.438108,0.311897
856.369958,0.312469
857.301808,0.312476
858.233658,0.312536
859.165508,0.311963
860.097357,0.310926
861.029207,0.310103
861.961057,0.309314
862.892907,0.308307
863.824757,0.307822
864.756606,0.307818
865.688456,0.307594
866.620306,0.307084
867.552156,0.307234
868.484006,0.307544
869.415855,0.307275
870.347705,0.306864
871.279555,0.306674
872.211405,0.306881
873.143255,0.307329
874.075104,0.307825
875.006954,0.308083
875.938804,0.307889
876.870654,0.307908
877.802503,0.308455
878.734353,0.308784
879.666203,0.308659
880.598053,0.308947
881.529903,0.309477
882.461752,0.309700
883.393602,0.310089
884.325452,0.310921
885.257302,0.311684
886.189152,0.312383
887.121001,0.312817
888.052851,0.313316
888.984701,0.314564
889.916551,0.315817
890.848401,0.317179
891.780250,0.318916
892.712100,0.320914
893.643950,0.323586
894.575800,0.326451
895.507650,0.329150
896.439499,0.332589
897.371349,0.337022
898.303199,0.341803
899.235049,0.347143
900.166898,0.352338
901.098748,0.356548
902.030598,0.359016
902.962448,0.358865
903.894298,0.355574
904.826147,0.350417
905.757997,0.345230
906.689847,0.340485
907.621697,0.336119
908.553547,0.333092
909.485396,0.331331
910.417246,0.330005
911.349096,0.328912
912.280946,0.328098
913.212796,0.327481
914.144645,0.327821
915.076495,0.328496
916.008345,0.328681
916.940195,0.328978
917.872045,0.329405
918.803894,0.330071
919.735744,0.331199
920.667594,0.332101
921.599444,0.333093
922.531293,0.334083
923.463143,0.334562
924.394993,0.335361
925.326843,0.336375
926.258693,0.337217
927.190542,0.338400
928.122392,0.339451
929.054242,0.340306
929.986092,0.341621
930.917942,0.343147
931.849791,0.344138
932.781641,0.345057
933.713491,0.346091
934.645341,0.347195
935.577191,0.348264
936.509040,0.349123
937.440890,0.350164
938.372740,0.351738
939.304590,0.353054
940.236439,0.354153
941.168289,0.355491
942.100139,0.356886
943.031989,0.358226
943.963839,0.359432
944.895688,0.360777
945.827538,0.362629
946.759388,0.364793
947.691238,0.366785
948.623088,0.368234
949.554937,0.369778
950.486787,0.371470
951.418637,0.372717
952.350487,0.373602
953.282337,0.374025
954.214186,0.374688
955.146036,0.376151
956.077886,0.377449
957.009736,0.378882
957.941586,0.380250
958.873435,0.381489
959.805285,0.383255
960.737135,0.385057
961.668985,0.386614
962.600834,0.388407
963.532684,0.390812
964.464534,0.393347
965.396384,0.395565
966.328234,0.397904
967.260083,0.401179
968.191933,0.405056
969.123783,0.408697
970.055633,0.412850
970.987483,0.418127
971.919332,0.424078
972.851182,0.430377
973.783032,0.436553
974.714882,0.442154
975.646732,0.446438
976.578581,0.448112
977.510431,0.446490
978.442281,0.442457
979.374131,0.437651
980.305981,0.433358
981.237830,0.429634
982.169680,0.426787
983.101530,0.425086
984.033380,0.424290
984.965229,0.424029
985.897079,0.424298
986.828929,0.425045
987.760779,0.426022
988.692629,0.427198
989.624478,0.428564
990.556328,0.429790
991.488178,0.431441
992.420028,0.433152
993.351878,0.434447
994.283727,0.435645
995.215577,0.436797
996.147427,0.438063
997.079277,0.439927
998.011127,0.441658
998.942976,0.443264
999.874826,0.445441
1000.806676,0.447936
1001.738526,0.450006
1002.670376,0.451935
1003.602225,0.455011
1004.534075,0.458826
1005.465925,0.463315
1006.397775,0.469351
1007.329624,0.477999
1008.261474,0.489443
1009.193324,0.504783
1010.125174,0.524970
1011.057024,0.547772
1011.988873,0.566296
1012.920723,0.573220
1013.852573,0.567561
1014.784423,0.555312
1015.716273,0.543043
1016.648122,0.534041
1017.579972,0.528435
1018.511822,0.525049
1019.443672,0.523216
1020.375522,0.523351
1021.307371,0.525176
1022.239221,0.527600
1023.171071,0.530550
1024.102921,0.534685
1025.034771,0.540188
1025.966620,0.546544
1026.898470,0.553405
1027.830320,0.561182
1028.762170,0.569797
1029.694019,0.578542
1030.625869,0.586765
1031.557719,0.594811
1032.489569,0.603548
1033.421419,0.612239
1034.353268,0.620167
1035.285118,0.626662
1036.216968,0.630853
1037.148818,0.632133
1038.080668,0.629519
1039.012517,0.622897
1039.944367,0.612773
1040.876217,0.601040
1041.808067,0.589678
1042.739917,0.579268
1043.671766,0.569777
1044.603616,0.561867
1045.535466,0.556098
1046.467316,0.551750
1047.399166,0.548206
1048.331015,0.545414
1049.262865,0.543448
1050.194715,0.541765
1051.126565,0.539980
1052.058414,0.538796
1052.990264,0.537928
1053.922114,0.537052
1054.853964,0.536308
1055.785814,0.536025
1056.717663,0.536460
1057.649513,0.537669
1058.581363,0.538729
1059.513213,0.539671
1060.445063,0.541204
1061.376912,0.543019
1062.308762,0.544715
1063.240612,0.546232
1064.172462,0.547640
1065.104312,0.548680
1066.036161,0.549609
1066.968011,0.550397
1067.899861,0.551105
1068.831711,0.552212
1069.763561,0.553934
1070.695410,0.555700
1071.627260,0.557641
1072.559110,0.560559
1073.490960,0.564373
1074.422809,0.569127
1075.354659,0.574076
1076.286509,0.577054
1077.218359,0.576265
1078.150209,0.570783
1079.082058,0.562119
1080.013908,0.553097
1080.945758,0.545094
1081.877608,0.538727
1082.809458,0.533775
1083.741307,0.529690
1084.673157,0.526809
1085.605007,0.524734
1086.536857,0.522810
1087.468707,0.521190
1088.400556,0.520152
1089.332406,0.519371
1090.264256,0.518629
1091.196106,0.518007
1092.127955,0.517492
1093.059805,0.517119
1093.991655,0.517283
1094.923505,0.517729
1095.855355,0.517610
1096.787204,0.517038
1097.719054,0.517168
1098.650904,0.517710
1099.582754,0.518377
1100.514604,0.519319
1101.446453,0.520098
1102.378303,0.520705
1103.310153,0.521642
1104.242003,0.522659
1105.173853,0.523733
1106.105702,0.524923
1107.037552,0.526650
1107.969402,0.528793
1108.901252,0.530509
1109.833102,0.531909
1110.764951,0.533680
1111.696801,0.535694
1112.628651,0.537851
1113.560501,0.539942
1114.492350,0.542279
1115.424200,0.545210
1116.356050,0.547915
1117.287900,0.550465
1118.219750,0.553647
1119.151599,0.556815
1120.083449,0.559937
1121.015299,0.563385
1121.947149,0.566974
1122.878999,0.570557
1123.810848,0.574377
1124.742698,0.578720
1125.674548,0.583585
1126.606398,0.588230
1127.538248,0.592836
1128.470097,0.597607
1129.401947,0.602553
1130.333797,0.607734
1131.265647,0.612965
1132.197497,0.617991
1133.129346,0.623037
1134.061196,0.628060
1134.993046,0.633392
1135.924896,0.639004
1136.856745,0.644068
1137.788595,0.648324
1138.720445,0.652763
1139.652295,0.657751
1140.584145,0.662595
1141.515994,0.667409
1142.447844,0.672162
1143.379694,0.676801
1144.311544,0.681607
1145.243394,0.686287
1146.175243,0.690589
1147.107093,0.694700
1148.038943,0.698777
1148.970793,0.702520
1149.902643,0.705802
1150.834492,0.708714
1151.766342,0.711595
1152.698192,0.714010
1153.630042,0.715754
1154.561892,0.717677
1155.493741,0.719753
1156.425591,0.721508
1157.357441,0.722668
1158.289291,0.723564
1159.221140,0.724696
1160.152990,0.725500
1161.084840,0.725828
1162.016690,0.726085
1162.948540,0.726515
1163.880389,0.726734
1164.812239,0.726411
1165.744089,0.725374
1166.675939,0.723945
1167.607789,0.722191
1168.539638,0.719940
1169.471488,0.717253
1170.403338,0.714485
1171.335188,0.711562
1172.267038,0.708154
1173.198887,0.704287
1174.130737,0.700115
1175.062587,0.695313
1175.994437,0.690367
1176.926287,0.685748
1177.858136,0.680984
1178.789986,0.675969
1179.721836,0.670907
1180.653686,0.666229
1181.585535,0.661465
1182.517385,0.656289
1183.449235,0.651173
1184.381085,0.646782
1185.312935,0.642853
1186.244784,0.638746
1187.176634,0.634826
1188.108484,0.631180
1189.040334,0.627716
1189.972184,0.624228
1190.904033,0.620558
1191.835883,0.616565
1192.767733,0.612613
1193.699583,0.608358
1194.631433,0.603990
1195.563282,0.599893
1196.495132,0.596034
1197.426982,0.592412
1198.358832,0.589073
1199.290682,0.585736
1200.222531,0.582397
1201.154381,0.579252
1202.086231,0.576355
1203.018081,0.573339
1203.949930,0.570521
1204.881780,0.568102
1205.813630,0.565685
1206.745480,0.563403
1207.677330,0.561438
1208.609179,0.559479
1209.541029,0.557706
1210.472879,0.555918
1211.404729,0.554074
1212.336579,0.552816
1213.268428,0.552040
1214.200278,0.551221
1215.132128,0.550138
1216.063978,0.548862
1216.995828,0.548304
1217.927677,0.548153
1218.859527,0.548090
1219.791377,0.548046
1220.723227,0.548153
1221.655076,0.548783
1222.586926,0.549958
1223.518776,0.550978
1224.450626,0.552227
1225.382476,0.554185
1226.314325,0.556110
1227.246175,0.557357
1228.178025,0.558107
1229.109875,0.559011
1230.041725,0.560743
1230.973574,0.563526
1231.905424,0.566966
1232.837274,0.571032
1233.769124,0.576235
1234.700974,0.581926
1235.632823,0.587784
1236.564673,0.594049
1237.496523,0.600778
1238.428373,0.607569
1239.360223,0.614207
1240.292072,0.620151
1241.223922,0.625729
1242.155772,0.631294
1243.087622,0.636646
1244.019471,0.642137
1244.951321,0.647745
1245.883171,0.653157
1246.815021,0.658458
1247.746871,0.663266
1248.678720,0.667845
1249.610570,0.672283
1250.542420,0.677243
1251.474270,0.682891
1252.406120,0.689030
1253.337969,0.695454
1254.269819,0.702581
1255.201669,0.710390
1256.133519,0.718511
1257.065369,0.727019
1257.997218,0.737095
1258.929068,0.748768
1259.860918,0.761389
1260.792768,0.773828
1261.724618,0.784566
1262.656467,0.793400
1263.588317,0.798582
1264.520167,0.798544
1265.452017,0.792883
1266.383866,0.782643
1267.315716,0.768654
1268.247566,0.751967
1269.179416,0.733225
1270.111266,0.713829
1271.043115,0.694455
1271.974965,0.676026
1272.906815,0.658222
1273.838665,0.641535
1274.770515,0.626282
1275.702364,0.612054
1276.634214,0.598412
1277.566064,0.584897
1278.497914,0.572155
1279.429764,0.560591
1280.361613,0.550244
1281.293463,0.540704
1282.225313,0.532815
1283.157163,0.526218
1284.089013,0.520503
1285.020862,0.515222
1285.952712,0.510406
1286.884562,0.506211
1287.816412,0.502659
1288.748261,0.498722
1289.680111,0.494488
1290.611961,0.490366
1291.543811,0.485786
1292.475661,0.480385
1293.407510,0.474885
1294.339360,0.469634
1295.271210,0.464648
1296.203060,0.459797
1297.134910,0.455263
1298.066759,0.450708
1298.998609,0.446640
1299.930459,0.443037
1300.862309,0.439813
1301.794159,0.436790
1302.726008,0.434208
1303.657858,0.432062
1304.589708,0.429903
1305.521558,0.427438
1306.453408,0.425192
1307.385257,0.423611
1308.317107,0.422617
1309.248957,0.420977
1310.180807,0.419216
1311.112656,0.417965
1312.044506,0.417630
1312.976356,0.417861
1313.908206,0.416910
1314.840056,0.415373
1315.771905,0.413179
1316.703755,0.412191
1317.635605,0.411747
1318.567455,0.410829
1319.499305,0.410522
1320.431154,0.408248
1321.363004,0.406714
1322.294854,0.405204
1323.226704,0.404644
1324.158554,0.404210
1325.090403,0.403806
1326.022253,0.402868
1326.954103,0.402247
1327.885953,0.401685
1328.817803,0.401358
1329.749652,0.401150
1330.681502,0.401070
1331.613352,0.400528
1332.545202,0.400597
1333.477051,0.400342
1334.408901,0.400265
1335.340751,0.400542
1336.272601,0.402309
1337.204451,0.404208
1338.136300,0.404657
1339.068150,0.406852
1340.000000,0.407990
1340.931850,0.407392
1341.863700,0.402775
1342.795549,0.401608
1343.727399,0.402440
1344.659249,0.403992
1345.591099,0.405161
1346.522949,0.406197
1347.454798,0.407722
1348.386648,0.409620
1349.318498,0.412191
1350.250348,0.414507
1351.182197,0.416551
1352.114047,0.419843
1353.045897,0.424192
1353.977747,0.428891
1354.909597,0.434064
1355.841446,0.439625
1356.773296,0.446055
1357.705146,0.455171
1358.636996,0.466894
1359.568846,0.481186
1360.500695,0.499099
1361.432545,0.521772
1362.364395,0.543030
1363.296245,0.565167
1364.228095,0.574598
1365.159944,0.572870
1366.091794,0.566165
1367.023644,0.550007
1367.955494,0.527697
1368.887344,0.505033
1369.819193,0.481546
1370.751043,0.461103
1371.682893,0.448800
1372.614743,0.439989
1373.546592,0.437168
1374.478442,0.435535
1375.410292,0.428430
1376.342142,0.420395
1377.273992,0.417811
1378.205841,0.420037
1379.137691,0.420646
1380.069541,0.419807
1381.001391,0.419463
1381.933241,0.420289
1382.865090,0.421389
1383.796940,0.422883
1384.728790,0.425181
1385.660640,0.427947
1386.592490,0.432232
1387.524339,0.438393
1388.456189,0.436761
1389.388039,0.429846
1390.319889,0.431487
1391.251739,0.434529
1392.183588,0.438526
1393.115438,0.440840
1394.047288,0.448889
1394.979138,0.457037
1395.910987,0.455087
