XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,1.205699
651.363004,1.197537
652.294854,1.186239
653.226704,1.175094
654.158554,1.166239
655.090403,1.156972
656.022253,1.143680
656.954103,1.132631
657.885953,1.121163
658.817803,1.110479
659.749652,1.097956
660.681502,1.085997
661.613352,1.073482
662.545202,1.063203
663.477051,1.050099
664.408901,1.038173
665.340751,1.024883
666.272601,1.010332
667.204451,1.002518
668.136300,1.005363
669.068150,0.995528
670.000000,0.964422
670.931850,0.951473
671.863700,0.941967
672.795549,0.928399
673.727399,0.915676
674.659249,0.904046
675.591099,0.893198
676.522949,0.880410
677.454798,0.868353
678.386648,0.855804
679.318498,0.845171
680.250348,0.833714
681.182197,0.823616
682.114047,0.813415
683.045897,0.801921
683.977747,0.791257
684.909597,0.781446
685.841446,0.769843
686.773296,0.759088
687.705146,0.750701
688.636996,0.741290
689.568846,0.731102
690.500695,0.722108
691.432545,0.713009
692.364395,0.704329
693.296245,0.696528
694.228095,0.688775
695.159944,0.682048
696.091794,0.673881
697.023644,0.665248
697.955494,0.658972
698.887344,0.652093
699.819193,0.645164
700.751043,0.638861
701.682893,0.632334
702.614743,0.625751
703.546592,0.619472
704.478442,0.613798
705.410292,0.608562
706.342142,0.602220
707.273992,0.596668
708.205841,0.591418
709.137691,0.586262
710.069541,0.581276
711.001391,0.577077
711.933241,0.572155
712.865090,0.567580
713.796940,0.562941
714.728790,0.558774
715.660640,0.554641
716.592490,0.550591
717.524339,0.546082
718.456189,0.542416
719.388039,0.538717
720.319889,0.534481
721.251739,0.530657
722.183588,0.527537
723.115438,0.524170
724.047288,0.521006
724.979138,0.517191
725.910987,0.513547
726.842837,0.508966
727.774687,0.503603
728.706537,0.499360
729.638387,0.495303
730.570236,0.490523
731.502086,0.486822
732.433936,0.483684
733.365786,0.480355
734.297636,0.476226
735.229485,0.471389
736.161335,0.467608
737.093185,0.464313
738.025035,0.460211
738.956885,0.456510
739.888734,0.452407
740.820584,0.447558
741.752434,0.443809
742.684284,0.439598
743.616134,0.434556
744.547983,0.430387
745.479833,0.426124
746.411683,0.421438
747.343533,0.416809
748.275382,0.412865
749.207232,0.408972
750.139082,0.404303
751.070932,0.399109
752.002782,0.394203
752.934631,0.389899
753.866481,0.385667
754.798331,0.380832
755.730181,0.377210
756.662031,0.374346
757.593880,0.370434
758.525730,0.366315
759.457580,0.363215
760.389430,0.358778
761.321280,0.353718
762.253129,0.349559
763.184979,0.344995
764.116829,0.339986
765.048679,0.335682
765.980529,0.331460
766.912378,0.327811
767.844228,0.324259
768.776078,0.320145
769.707928,0.316090
770.639777,0.313455
771.571627,0.310668
772.503477,0.307739
773.435327,0.305347
774.367177,0.302611
775.299026,0.300135
776.230876,0.299440
777.162726,0.298795
778.094576,0.297776
779.026426,0.297251
779.958275,0.297557
780.890125,0.298626
781.821975,0.301246
782.753825,0.304262
783.685675,0.307646
784.617524,0.313097
785.549374,0.320874
786.481224,0.332400
787.413074,0.350097
788.344924,0.372954
789.276773,0.400709
790.208623,0.432944
791.140473,0.465556
792.072323,0.492589
793.004172,0.508882
793.936022,0.510044
794.867872,0.498363
795.799722,0.479465
796.731572,0.457269
797.663421,0.435360
798.595271,0.414026
799.527121,0.395127
800.458971,0.380045
801.390821,0.366412
802.322670,0.353873
803.254520,0.343756
804.186370,0.335031
805.118220,0.326876
806.050070,0.319521
806.981919,0.313016
807.913769,0.307131
808.845619,0.301543
809.777469,0.296978
810.709318,0.292764
811.641168,0.288131
812.573018,0.283451
813.504868,0.279785
814.436718,0.276593
815.368567,0.273403
816.300417,0.270254
817.232267,0.266571
818.164117,0.264233
819.095967,0.261990
820.027816,0.259414
820.959666,0.256897
821.891516,0.253725
822.823366,0.251020
823.755216,0.249242
824.687065,0.247691
825.618915,0.245796
826.550765,0.243781
827.482615,0.241468
828.414465,0.239969
829.346314,0.238003
830.278164,0.236031
831.210014,0.235567
832.141864,0.234496
833.073713,0.233295
834.005563,0.232727
834.937413,0.231953
835.869263,0.230687
836.801113,0.229766
837.732962,0.228956
838.664812,0.227553
839.596662,0.227206
840.528512,0.226405
841.460362,0.226215
842.392211,0.225815
843.324061,0.224662
844.255911,0.223854
845.187761,0.223100
846.119611,0.221706
847.051460,0.221197
847.983310,0.221010
848.915160,0.220267
849.847010,0.219756
850.778860,0.219384
851.710709,0.219212
852.642559,0.218864
853.574409,0.218238
854.506259,0.218126
855.438108,0.217986
856.369958,0.217877
857.301808,0.217425
858.233658,0.217126
859.165508,0.216993
860.097357,0.216707
861.029207,0.215961
861.961057,0.215823
862.892907,0.215982
863.824757,0.215558
864.756606,0.215921
865.688456,0.215918
866.620306,0.215614
867.552156,0.215726
868.484006,0.216103
869.415855,0.216664
870.347705,0.217329
871.279555,0.217858
872.211405,0.218510
873.143255,0.219349
874.075104,0.219888
875.006954,0.221409
875.938804,0.222506
876.870654,0.222338
877.802503,0.222774
878.734353,0.223715
879.666203,0.224258
880.598053,0.224494
881.529903,0.224579
882.461752,0.225072
883.393602,0.226091
884.325452,0.226302
885.257302,0.226677
886.189152,0.228062
887.121001,0.229384
888.052851,0.230158
888.984701,0.231421
889.916551,0.233214
890.848401,0.234436
891.780250,0.235576
892.712100,0.236944
893.643950,0.237844
894.575800,0.238098
895.507650,0.238002
896.439499,0.237770
897.371349,0.236907
898.303199,0.235919
899.235049,0.235114
900.166898,0.233740
901.098748,0.232604
902.030598,0.231308
902.962448,0.230837
903.894298,0.230879
904.826147,0.230361
905.757997,0.229709
906.689847,0.230026
907.621697,0.230090
908.553547,0.230278
909.485396,0.230893
910.417246,0.230976
911.349096,0.231564
912.280946,0.232313
913.212796,0.233018
914.144645,0.233758
915.076495,0.234161
916.008345,0.234948
916.940195,0.236313
917.872045,0.237257
918.803894,0.237902
919.735744,0.239075
920.667594,0.240149
921.599444,0.240870
922.531293,0.241975
923.463143,0.243450
924.394993,0.244279
925.326843,0.244982
926.258693,0.246298
927.190542,0.247465
928.122392,0.248513
929.054242,0.249520
929.986092,0.250994
930.917942,0.252366
931.849791,0.253461
932.781641,0.254819
933.713491,0.256402
934.645341,0.257985
935.577191,0.259370
936.509040,0.261186
937.440890,0.262762
938.372740,0.264086
939.304590,0.265851
940.236439,0.267513
941.168289,0.269646
942.100139,0.271872
943.031989,0.273363
943.963839,0.274748
944.895688,0.276435
945.827538,0.277567
946.759388,0.278904
947.691238,0.280895
948.623088,0.282386
949.554937,0.283679
950.486787,0.285560
951.418637,0.287547
952.350487,0.289290
953.282337,0.291210
954.214186,0.293314
955.146036,0.295269
956.077886,0.297444
957.009736,0.299828
957.941586,0.302653
958.873435,0.305104
959.805285,0.307771
960.737135,0.311005
961.668985,0.315128
962.600834,0.319747
963.532684,0.324566
964.464534,0.329948
965.396384,0.336303
966.328234,0.343739
967.260083,0.350812
968.191933,0.356862
969.123783,0.361212
970.055633,0.363779
970.987483,0.363580
971.919332,0.361198
972.851182,0.358187
973.783032,0.354997
974.714882,0.352827
975.646732,0.351297
976.578581,0.349798
977.510431,0.349579
978.442281,0.350080
979.374131,0.350661
980.305981,0.351859
981.237830,0.353369
982.169680,0.354820
983.101530,0.356420
984.033380,0.357970
984.965229,0.359738
985.897079,0.361694
986.828929,0.363463
987.760779,0.365146
988.692629,0.366796
989.624478,0.368823
990.556328,0.371076
991.488178,0.373818
992.420028,0.376145
993.351878,0.378116
994.283727,0.380478
995.215577,0.383433
996.147427,0.386400
997.079277,0.389258
998.011127,0.392597
998.942976,0.396122
999.874826,0.399648
1000.806676,0.403559
1001.738526,0.407667
1002.670376,0.411471
1003.602225,0.415789
1004.534075,0.420852
1005.465925,0.426947
1006.397775,0.434436
1007.329624,0.443737
1008.261474,0.457298
1009.193324,0.477015
1010.125174,0.502824
1011.057024,0.536276
1011.988873,0.576207
1012.920723,0.613312
1013.852573,0.634857
1014.784423,0.632945
1015.716273,0.612970
1016.648122,0.588062
1017.579972,0.567198
1018.511822,0.552038
1019.443672,0.541716
1020.375522,0.535186
1021.307371,0.531308
1022.239221,0.530599
1023.171071,0.532626
1024.102921,0.536267
1025.034771,0.542305
1025.966620,0.549623
1026.898470,0.558711
1027.830320,0.569669
1028.762170,0.582433
1029.694019,0.596316
1030.625869,0.611226
1031.557719,0.626531
1032.489569,0.641191
1033.421419,0.654516
1034.353268,0.665479
1035.285118,0.672116
1036.216968,0.672835
1037.148818,0.667962
1038.080668,0.658310
1039.012517,0.644155
1039.944367,0.628217
1040.876217,0.612669
1041.808067,0.597737
1042.739917,0.584187
1043.671766,0.572443
1044.603616,0.562749
1045.535466,0.554684
1046.467316,0.548835
1047.399166,0.544431
1048.331015,0.541290
1049.262865,0.539385
1050.194715,0.539306
1051.126565,0.540451
1052.058414,0.542169
1052.990264,0.545298
1053.922114,0.547944
1054.853964,0.548329
1055.785814,0.547385
1056.717663,0.545051
1057.649513,0.542024
1058.581363,0.538958
1059.513213,0.535361
1060.445063,0.532927
1061.376912,0.531623
1062.308762,0.530564
1063.240612,0.530328
1064.172462,0.530560
1065.104312,0.530707
1066.036161,0.531551
1066.968011,0.532887
1067.899861,0.533928
1068.831711,0.535477
1069.763561,0.537780
1070.695410,0.539544
1071.627260,0.541669
1072.559110,0.544282
1073.490960,0.547202
1074.422809,0.549541
1075.354659,0.551365
1076.286509,0.552762
1077.218359,0.552767
1078.150209,0.551373
1079.082058,0.548558
1080.013908,0.544698
1080.945758,0.540351
1081.877608,0.535855
1082.809458,0.531802
1083.741307,0.528509
1084.673157,0.525631
1085.605007,0.522592
1086.536857,0.520175
1087.468707,0.518273
1088.400556,0.516859
1089.332406,0.515878
1090.264256,0.515336
1091.196106,0.515010
1092.127955,0.514196
1093.059805,0.513621
1093.991655,0.514025
1094.923505,0.514403
1095.855355,0.514482
1096.787204,0.515180
1097.719054,0.516062
1098.650904,0.516741
1099.582754,0.517796
1100.514604,0.519106
1101.446453,0.520380
1102.378303,0.521729
1103.310153,0.523496
1104.242003,0.525334
1105.173853,0.527404
1106.105702,0.529253
1107.037552,0.531489
1107.969402,0.533642
1108.901252,0.536067
1109.833102,0.539008
1110.764951,0.541630
1111.696801,0.544727
1112.628651,0.548559
1113.560501,0.552072
1114.492350,0.555287
1115.424200,0.559196
1116.356050,0.563134
1117.287900,0.567059
1118.219750,0.571446
1119.151599,0.576345
1120.083449,0.581647
1121.015299,0.586949
1121.947149,0.592426
1122.878999,0.597977
1123.810848,0.603815
1124.742698,0.610209
1125.674548,0.616796
1126.606398,0.623820
1127.538248,0.631246
1128.470097,0.638890
1129.401947,0.646390
1130.333797,0.654549
1131.265647,0.663282
1132.197497,0.672372
1133.129346,0.681480
1134.061196,0.690876
1134.993046,0.700494
1135.924896,0.710385
1136.856745,0.721623
1137.788595,0.732695
1138.720445,0.743353
1139.652295,0.754401
1140.584145,0.766022
1141.515994,0.777093
1142.447844,0.788201
1143.379694,0.799895
1144.311544,0.811811
1145.243394,0.823842
1146.175243,0.835451
1147.107093,0.846475
1148.038943,0.858384
1148.970793,0.870405
1149.902643,0.881829
1150.834492,0.892498
1151.766342,0.903369
1152.698192,0.914218
1153.630042,0.924146
1154.561892,0.933309
1155.493741,0.942621
1156.425591,0.950911
1157.357441,0.957700
1158.289291,0.964424
1159.221140,0.970319
1160.152990,0.974842
1161.084840,0.978671
1162.016690,0.981131
1162.948540,0.982160
1163.880389,0.982248
1164.812239,0.980445
1165.744089,0.977426
1166.675939,0.973231
1167.607789,0.967537
1168.539638,0.961543
1169.471488,0.954308
1170.403338,0.945167
1171.335188,0.935108
1172.267038,0.925242
1173.198887,0.914303
1174.130737,0.902487
1175.062587,0.890312
1175.994437,0.877500
1176.926287,0.864321
1177.858136,0.850943
1178.789986,0.837241
1179.721836,0.823945
1180.653686,0.811112
1181.585535,0.798180
1182.517385,0.785106
1183.449235,0.772217
1184.381085,0.759819
1185.312935,0.747727
1186.244784,0.735433
1187.176634,0.723936
1188.108484,0.713012
1189.040334,0.702131
1189.972184,0.691558
1190.904033,0.681374
1191.835883,0.671626
1192.767733,0.662293
1193.699583,0.653373
1194.631433,0.644956
1195.563282,0.636849
1196.495132,0.629154
1197.426982,0.621377
1198.358832,0.614042
1199.290682,0.607741
1200.222531,0.601943
1201.154381,0.595403
1202.086231,0.589393
1203.018081,0.584360
1203.949930,0.579848
1204.881780,0.575450
1205.813630,0.571073
1206.745480,0.567390
1207.677330,0.564572
1208.609179,0.561751
1209.541029,0.559247
1210.472879,0.557674
1211.404729,0.555830
1212.336579,0.554103
1213.268428,0.553088
1214.200278,0.552227
1215.132128,0.552145
1216.063978,0.552652
1216.995828,0.553759
1217.927677,0.555419
1218.859527,0.558035
1219.791377,0.561570
1220.723227,0.565762
1221.655076,0.569768
1222.586926,0.574284
1223.518776,0.578452
1224.450626,0.581374
1225.382476,0.583707
1226.314325,0.586007
1227.246175,0.588556
1228.178025,0.592158
1229.109875,0.597095
1230.041725,0.603483
1230.973574,0.612772
1231.905424,0.625081
1232.837274,0.640121
1233.769124,0.658642
1234.700974,0.680932
1235.632823,0.705800
1236.564673,0.733079
1237.496523,0.763016
1238.428373,0.794036
1239.360223,0.824363
1240.292072,0.852981
1241.223922,0.879501
1242.155772,0.904904
1243.087622,0.928742
1244.019471,0.950875
1244.951321,0.971222
1245.883171,0.989743
1246.815021,1.005970
1247.746871,1.018256
1248.678720,1.025163
1249.610570,1.024444
1250.542420,1.015545
1251.474270,0.998687
1252.406120,0.973587
1253.337969,0.941797
1254.269819,0.906459
1255.201669,0.869721
1256.133519,0.833234
1257.065369,0.797448
1257.997218,0.763483
1258.929068,0.731964
1259.860918,0.702998
1260.792768,0.676425
1261.724618,0.651854
1262.656467,0.628613
1263.588317,0.606968
1264.520167,0.586646
1265.452017,0.567860
1266.383866,0.550298
1267.315716,0.533975
1268.247566,0.518976
1269.179416,0.505425
1270.111266,0.493313
1271.043115,0.482591
1271.974965,0.473310
1272.906815,0.464078
1273.838665,0.455842
1274.770515,0.449226
1275.702364,0.443336
1276.634214,0.438069
1277.566064,0.433732
1278.497914,0.429654
1279.429764,0.425838
1280.361613,0.422864
1281.293463,0.420266
1282.225313,0.417796
1283.157163,0.415539
1284.089013,0.413126
1285.020862,0.410394
1285.952712,0.407828
1286.884562,0.405995
1287.816412,0.404543
1288.748261,0.403340
1289.680111,0.404150
1290.611961,0.407396
1291.543811,0.412694
1292.475661,0.419760
1293.407510,0.426846
1294.339360,0.430579
1295.271210,0.428694
1296.203060,0.422370
1297.134910,0.414739
1298.066759,0.406267
1298.998609,0.398453
1299.930459,0.391532
1300.862309,0.385389
1301.794159,0.380492
1302.726008,0.376739
1303.657858,0.372917
1304.589708,0.369627
1305.521558,0.367143
1306.453408,0.364845
1307.385257,0.362881
1308.317107,0.361128
1309.248957,0.358519
1310.180807,0.356278
1311.112656,0.354686
1312.044506,0.353591
1312.976356,0.352363
1313.908206,0.350439
1314.840056,0.348426
1315.771905,0.346070
1316.703755,0.343966
1317.635605,0.341982
1318.567455,0.339709
1319.499305,0.337648
1320.431154,0.334682
1321.363004,0.331992
1322.294854,0.329982
1323.226704,0.328979
1324.158554,0.328127
1325.090403,0.327555
1326.022253,0.326816
1326.954103,0.326340
1327.885953,0.325719
1328.817803,0.325284
1329.749652,0.324393
1330.681502,0.323759
1331.613352,0.322676
1332.545202,0.322089
1333.477051,0.321501
1334.408901,0.321165
1335.340751,0.320349
1336.272601,0.320807
1337.204451,0.321498
1338.136300,0.321845
1339.068150,0.323061
1340.000000,0.324065
1340.931850,0.323382
1341.863700,0.320193
1342.795549,0.319634
1343.727399,0.321141
1344.659249,0.322495
1345.591099,0.323140
1346.522949,0.324260
1347.454798,0.325701
1348.386648,0.327465
1349.318498,0.329812
1350.250348,0.332008
1351.182197,0.334302
1352.114047,0.337560
1353.045897,0.341765
1353.977747,0.347505
1354.909597,0.353943
1355.841446,0.360732
1356.773296,0.369479
1357.705146,0.381230
1358.636996,0.396377
1359.568846,0.414631
1360.500695,0.435696
1361.432545,0.457034
1362.364395,0.472739
1363.296245,0.483087
1364.228095,0.481222
1365.159944,0.473837
1366.091794,0.471160
1367.023644,0.469856
1367.955494,0.467275
1368.887344,0.463786
1369.819193,0.455363
1370.751043,0.442410
1371.682893,0.429006
1372.614743,0.414871
1373.546592,0.403148
1374.478442,0.391791
1375.410292,0.376441
1376.342142,0.361913
1377.273992,0.354534
1378.205841,0.351401
1379.137691,0.347872
1380.069541,0.344501
1381.001391,0.342169
1381.933241,0.341308
1382.865090,0.341498
1383.796940,0.342042
1384.728790,0.343190
1385.660640,0.345201
1386.592490,0.348695
1387.524339,0.354783
1388.456189,0.355960
1389.388039,0.353489
1390.319889,0.357819
1391.251739,0.364674
1392.183588,0.371207
1393.115438,0.376297
1394.047288,0.383719
1394.979138,0.388186
1395.910987,0.381596
