XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,1.074345
651.363004,1.065954
652.294854,1.058500
653.226704,1.052452
654.158554,1.045652
655.090403,1.040019
656.022253,1.035788
656.954103,1.030041
657.885953,1.022811
658.817803,1.016085
659.749652,1.010978
660.681502,1.004858
661.613352,0.997469
662.545202,0.989337
663.477051,0.981515
664.408901,0.975068
665.340751,0.968835
666.272601,0.961062
667.204451,0.955020
668.136300,0.958162
669.068150,0.945087
670.000000,0.933644
670.931850,0.929798
671.863700,0.923476
672.795549,0.917574
673.727399,0.911150
674.659249,0.906293
675.591099,0.901115
676.522949,0.896358
677.454798,0.891001
678.386648,0.886479
679.318498,0.881884
680.250348,0.875789
681.182197,0.869275
682.114047,0.863397
683.045897,0.857469
683.977747,0.853199
684.909597,0.849593
685.841446,0.845140
686.773296,0.840721
687.705146,0.837219
688.636996,0.833216
689.568846,0.828763
690.500695,0.824117
691.432545,0.820052
692.364395,0.816594
693.296245,0.812758
694.228095,0.809652
695.159944,0.807067
696.091794,0.804220
697.023644,0.800585
697.955494,0.797025
698.887344,0.794724
699.819193,0.793088
700.751043,0.790905
701.682893,0.787497
702.614743,0.784677
703.546592,0.782562
704.478442,0.779862
705.410292,0.777475
706.342142,0.775323
707.273992,0.772711
708.205841,0.770510
709.137691,0.768342
710.069541,0.766991
711.001391,0.765248
711.933241,0.763182
712.865090,0.761746
713.796940,0.759655
714.728790,0.756693
715.660640,0.754768
716.592490,0.753044
717.524339,0.751473
718.456189,0.750077
719.388039,0.748686
720.319889,0.747727
721.251739,0.746840
722.183588,0.745539
723.115438,0.744755
724.047288,0.743134
724.979138,0.740929
725.910987,0.738905
726.842837,0.737640
727.774687,0.736475
728.706537,0.735196
729.638387,0.733814
730.570236,0.732528
731.502086,0.731433
732.433936,0.730249
733.365786,0.728658
734.297636,0.727263
735.229485,0.725665
736.161335,0.724048
737.093185,0.722787
738.025035,0.721186
738.956885,0.719274
739.888734,0.718034
740.820584,0.717344
741.752434,0.716830
742.684284,0.715297
743.616134,0.713623
744.547983,0.711996
745.479833,0.709917
746.411683,0.707683
747.343533,0.705713
748.275382,0.703859
749.207232,0.702323
750.139082,0.701292
751.070932,0.700475
752.002782,0.699393
752.934631,0.697552
753.866481,0.695041
754.798331,0.692982
755.730181,0.690416
756.662031,0.687962
757.593880,0.686121
758.525730,0.684051
759.457580,0.682136
760.389430,0.680846
761.321280,0.679525
762.253129,0.678145
763.184979,0.676861
764.116829,0.675750
765.048679,0.674205
765.980529,0.671930
766.912378,0.669751
767.844228,0.668201
768.776078,0.666746
769.707928,0.665910
770.639777,0.665299
771.571627,0.664380
772.503477,0.663567
773.435327,0.662906
774.367177,0.661970
775.299026,0.661475
776.230876,0.660857
777.162726,0.660162
778.094576,0.660088
779.026426,0.660366
779.958275,0.661450
780.890125,0.663526
781.821975,0.666072
782.753825,0.668977
783.685675,0.672635
784.617524,0.676960
785.549374,0.681733
786.481224,0.687136
787.413074,0.693774
788.344924,0.702472
789.276773,0.712704
790.208623,0.723908
791.140473,0.734919
792.072323,0.743422
793.004172,0.747615
793.936022,0.747161
794.867872,0.743318
795.799722,0.737242
796.731572,0.730065
797.663421,0.723131
798.595271,0.716289
799.527121,0.709326
800.458971,0.702978
801.390821,0.697759
802.322670,0.692852
803.254520,0.688412
804.186370,0.684684
805.118220,0.680783
806.050070,0.676916
806.981919,0.673585
807.913769,0.670667
808.845619,0.667980
809.777469,0.665464
810.709318,0.663127
811.641168,0.660851
812.573018,0.659136
813.504868,0.657426
814.436718,0.655777
815.368567,0.654557
816.300417,0.653397
817.232267,0.651982
818.164117,0.650224
819.095967,0.648750
820.027816,0.648098
820.959666,0.647568
821.891516,0.647092
822.823366,0.646136
823.755216,0.644514
824.687065,0.643712
825.618915,0.643133
826.550765,0.641973
827.482615,0.640780
828.414465,0.639735
829.346314,0.638670
830.278164,0.637657
831.210014,0.637270
832.141864,0.636875
833.073713,0.636143
834.005563,0.635392
834.937413,0.634935
835.869263,0.634789
836.801113,0.634398
837.732962,0.633939
838.664812,0.633865
839.596662,0.633525
840.528512,0.632834
841.460362,0.632398
842.392211,0.632086
843.324061,0.632217
844.255911,0.632692
845.187761,0.632839
846.119611,0.632857
847.051460,0.632887
847.983310,0.633003
848.915160,0.632820
849.847010,0.632702
850.778860,0.632672
851.710709,0.632310
852.642559,0.632136
853.574409,0.632265
854.506259,0.632898
855.438108,0.633438
856.369958,0.633434
857.301808,0.633681
858.233658,0.633689
859.165508,0.633259
860.097357,0.632828
861.029207,0.632793
861.961057,0.632485
862.892907,0.632029
863.824757,0.631864
864.756606,0.632028
865.688456,0.632294
866.620306,0.632593
867.552156,0.632928
868.484006,0.633098
869.415855,0.632981
870.347705,0.632820
871.279555,0.632642
872.211405,0.632630
873.143255,0.632753
874.075104,0.632817
875.006954,0.633306
875.938804,0.633680
876.870654,0.634161
877.802503,0.634600
878.734353,0.634710
879.666203,0.634807
880.598053,0.634498
881.529903,0.634188
882.461752,0.633884
883.393602,0.633803
884.325452,0.634464
885.257302,0.635251
886.189152,0.635869
887.121001,0.636499
888.052851,0.636883
888.984701,0.637330
889.916551,0.637656
890.848401,0.637947
891.780250,0.638600
892.712100,0.639757
893.643950,0.641049
894.575800,0.642437
895.507650,0.643735
896.439499,0.645155
897.371349,0.646200
898.303199,0.646717
899.235049,0.647297
900.166898,0.647538
901.098748,0.647011
902.030598,0.646379
902.962448,0.645672
903.894298,0.644919
904.826147,0.644271
905.757997,0.643538
906.689847,0.643136
907.621697,0.642872
908.553547,0.642453
909.485396,0.642060
910.417246,0.641715
911.349096,0.641225
912.280946,0.641137
913.212796,0.641096
914.144645,0.640603
915.076495,0.640325
916.008345,0.640654
916.940195,0.641199
917.872045,0.641530
918.803894,0.641754
919.735744,0.642210
920.667594,0.642797
921.599444,0.642960
922.531293,0.642844
923.463143,0.643124
924.394993,0.643564
925.326843,0.644131
926.258693,0.644615
927.190542,0.644864
928.122392,0.645189
929.054242,0.645616
929.986092,0.646129
930.917942,0.646553
931.849791,0.646922
932.781641,0.647708
933.713491,0.647994
934.645341,0.648101
935.577191,0.648304
936.509040,0.648798
937.440890,0.649808
938.372740,0.650529
939.304590,0.651000
940.236439,0.651348
941.168289,0.651808
942.100139,0.652484
943.031989,0.653101
943.963839,0.653388
944.895688,0.653169
945.827538,0.653728
946.759388,0.655087
947.691238,0.656037
948.623088,0.656542
949.554937,0.657168
950.486787,0.658308
951.418637,0.659456
952.350487,0.660188
953.282337,0.660871
954.214186,0.661665
955.146036,0.662578
956.077886,0.663375
957.009736,0.664571
957.941586,0.666202
958.873435,0.667785
959.805285,0.669507
960.737135,0.671558
961.668985,0.673296
962.600834,0.675031
963.532684,0.676733
964.464534,0.677987
965.396384,0.679288
966.328234,0.680833
967.260083,0.682214
968.191933,0.682961
969.123783,0.682861
970.055633,0.682418
970.987483,0.681567
971.919332,0.681433
972.851182,0.681951
973.783032,0.681767
974.714882,0.681145
975.646732,0.680892
976.578581,0.680954
977.510431,0.681110
978.442281,0.681324
979.374131,0.681691
980.305981,0.682347
981.237830,0.682899
982.169680,0.683636
983.101530,0.684548
984.033380,0.685244
984.965229,0.685754
985.897079,0.686368
986.828929,0.687506
987.760779,0.688539
988.692629,0.689367
989.624478,0.690100
990.556328,0.690881
991.488178,0.692139
992.420028,0.693788
993.351878,0.694604
994.283727,0.695117
995.215577,0.695993
996.147427,0.697165
997.079277,0.698359
998.011127,0.699529
998.942976,0.701049
999.874826,0.702617
1000.806676,0.704120
1001.738526,0.705601
1002.670376,0.706960
1003.602225,0.708603
1004.534075,0.711022
1005.465925,0.714117
1006.397775,0.718110
1007.329624,0.723554
1008.261474,0.730960
1009.193324,0.741065
1010.125174,0.754285
1011.057024,0.770741
1011.988873,0.787823
1012.920723,0.800962
1013.852573,0.806041
1014.784423,0.802208
1015.716273,0.793082
1016.648122,0.783620
1017.579972,0.775905
1018.511822,0.770298
1019.443672,0.765875
1020.375522,0.762428
1021.307371,0.760460
1022.239221,0.759593
1023.171071,0.759436
1024.102921,0.760215
1025.034771,0.761238
1025.966620,0.762745
1026.898470,0.765229
1027.830320,0.768630
1028.762170,0.772713
1029.694019,0.777557
1030.625869,0.782459
1031.557719,0.788200
1032.489569,0.795149
1033.421419,0.802325
1034.353268,0.808830
1035.285118,0.815650
1036.216968,0.821981
1037.148818,0.826559
1038.080668,0.829098
1039.012517,0.829257
1039.944367,0.827009
1040.876217,0.822474
1041.808067,0.816729
1042.739917,0.810952
1043.671766,0.805276
1044.603616,0.799350
1045.535466,0.793908
1046.467316,0.789900
1047.399166,0.786116
1048.331015,0.782533
1049.262865,0.779968
1050.194715,0.778289
1051.126565,0.776822
1052.058414,0.775607
1052.990264,0.774156
1053.922114,0.772541
1054.853964,0.771473
1055.785814,0.770984
1056.717663,0.770293
1057.649513,0.769769
1058.581363,0.769434
1059.513213,0.769367
1060.445063,0.769253
1061.376912,0.769853
1062.308762,0.771088
1063.240612,0.772343
1064.172462,0.773285
1065.104312,0.774336
1066.036161,0.775528
1066.968011,0.776658
1067.899861,0.776597
1068.831711,0.776153
1069.763561,0.775954
1070.695410,0.776318
1071.627260,0.776756
1072.559110,0.777097
1073.490960,0.777125
1074.422809,0.777360
1075.354659,0.777965
1076.286509,0.778014
1077.218359,0.777692
1078.150209,0.778235
1079.082058,0.778646
1080.013908,0.779118
1080.945758,0.779651
1081.877608,0.780408
1082.809458,0.780994
1083.741307,0.781590
1084.673157,0.782303
1085.605007,0.782463
1086.536857,0.781777
1087.468707,0.780410
1088.400556,0.778825
1089.332406,0.777768
1090.264256,0.776961
1091.196106,0.776148
1092.127955,0.775355
1093.059805,0.775151
1093.991655,0.775148
1094.923505,0.775274
1095.855355,0.775526
1096.787204,0.775781
1097.719054,0.775837
1098.650904,0.776188
1099.582754,0.777116
1100.514604,0.777670
1101.446453,0.778170
1102.378303,0.779125
1103.310153,0.779931
1104.242003,0.780876
1105.173853,0.781832
1106.105702,0.783076
1107.037552,0.784408
1107.969402,0.785378
1108.901252,0.786048
1109.833102,0.787231
1110.764951,0.788816
1111.696801,0.790510
1112.628651,0.791808
1113.560501,0.793537
1114.492350,0.795126
1115.424200,0.796657
1116.356050,0.798481
1117.287900,0.800906
1118.219750,0.803625
1119.151599,0.806270
1120.083449,0.808406
1121.015299,0.810840
1121.947149,0.813465
1122.878999,0.816875
1123.810848,0.819876
1124.742698,0.822679
1125.674548,0.826050
1126.606398,0.829777
1127.538248,0.833095
1128.470097,0.836844
1129.401947,0.840849
1130.333797,0.844908
1131.265647,0.848414
1132.197497,0.852265
1133.129346,0.856739
1134.061196,0.861718
1134.993046,0.866455
1135.924896,0.871027
1136.856745,0.875859
1137.788595,0.880948
1138.720445,0.885894
1139.652295,0.891453
1140.584145,0.896852
1141.515994,0.901612
1142.447844,0.906861
1143.379694,0.913099
1144.311544,0.918921
1145.243394,0.924544
1146.175243,0.929977
1147.107093,0.935347
1148.038943,0.940882
1148.970793,0.946806
1149.902643,0.952469
1150.834492,0.958216
1151.766342,0.962671
1152.698192,0.967284
1153.630042,0.972225
1154.561892,0.976779
1155.493741,0.980572
1156.425591,0.984580
1157.357441,0.988235
1158.289291,0.990872
1159.221140,0.993236
1160.152990,0.994997
1161.084840,0.996232
1162.016690,0.996720
1162.948540,0.995975
1163.880389,0.996118
1164.812239,0.995034
1165.744089,0.992658
1166.675939,0.989538
1167.607789,0.986571
1168.539638,0.982856
1169.471488,0.978411
1170.403338,0.973550
1171.335188,0.968475
1172.267038,0.962153
1173.198887,0.955688
1174.130737,0.949710
1175.062587,0.943232
1175.994437,0.935941
1176.926287,0.929278
1177.858136,0.922525
1178.789986,0.915637
1179.721836,0.908751
1180.653686,0.902251
1181.585535,0.895753
1182.517385,0.888949
1183.449235,0.882542
1184.381085,0.876850
1185.312935,0.871285
1186.244784,0.865588
1187.176634,0.860011
1188.108484,0.854469
1189.040334,0.849102
1189.972184,0.843801
1190.904033,0.838684
1191.835883,0.834655
1192.767733,0.830515
1193.699583,0.825886
1194.631433,0.821427
1195.563282,0.817328
1196.495132,0.813502
1197.426982,0.809632
1198.358832,0.805921
1199.290682,0.802845
1200.222531,0.799642
1201.154381,0.796691
1202.086231,0.793900
1203.018081,0.790998
1203.949930,0.788148
1204.881780,0.785941
1205.813630,0.783709
1206.745480,0.781528
1207.677330,0.779654
1208.609179,0.778139
1209.541029,0.776413
1210.472879,0.775008
1211.404729,0.773999
1212.336579,0.772970
1213.268428,0.771959
1214.200278,0.770625
1215.132128,0.769327
1216.063978,0.768856
1216.995828,0.768170
1217.927677,0.767065
1218.859527,0.766721
1219.791377,0.766925
1220.723227,0.766343
1221.655076,0.765659
1222.586926,0.765822
1223.518776,0.766244
1224.450626,0.766616
1225.382476,0.767555
1226.314325,0.768862
1227.246175,0.770197
1228.178025,0.771676
1229.109875,0.774102
1230.041725,0.777184
1230.973574,0.780562
1231.905424,0.784320
1232.837274,0.789161
1233.769124,0.794872
1234.700974,0.801190
1235.632823,0.808027
1236.564673,0.815882
1237.496523,0.824764
1238.428373,0.834339
1239.360223,0.844165
1240.292072,0.854805
1241.223922,0.865768
1242.155772,0.876182
1243.087622,0.885903
1244.019471,0.894286
1244.951321,0.901262
1245.883171,0.906566
1246.815021,0.909157
1247.746871,0.911083
1248.678720,0.912344
1249.610570,0.914062
1250.542420,0.915831
1251.474270,0.917370
1252.406120,0.918447
1253.337969,0.919213
1254.269819,0.918054
1255.201669,0.915161
1256.133519,0.910900
1257.065369,0.905554
1257.997218,0.898663
1258.929068,0.890495
1259.860918,0.881590
1260.792768,0.873849
1261.724618,0.866314
1262.656467,0.857233
1263.588317,0.849233
1264.520167,0.842121
1265.452017,0.835312
1266.383866,0.829053
1267.315716,0.823074
1268.247566,0.816748
1269.179416,0.810155
1270.111266,0.803294
1271.043115,0.796439
1271.974965,0.789444
1272.906815,0.782518
1273.838665,0.775168
1274.770515,0.768581
1275.702364,0.763861
1276.634214,0.759575
1277.566064,0.756329
1278.497914,0.754272
1279.429764,0.754164
1280.361613,0.755330
1281.293463,0.757258
1282.225313,0.758815
1283.157163,0.759105
1284.089013,0.756633
1285.020862,0.752243
1285.952712,0.747548
1286.884562,0.743169
1287.816412,0.739350
1288.748261,0.736226
1289.680111,0.732607
1290.611961,0.729102
1291.543811,0.726072
1292.475661,0.723200
1293.407510,0.720349
1294.339360,0.717893
1295.271210,0.715735
1296.203060,0.714016
1297.134910,0.712468
1298.066759,0.710970
1298.998609,0.709109
1299.930459,0.707940
1300.862309,0.706596
1301.794159,0.705412
1302.726008,0.703918
1303.657858,0.702437
1304.589708,0.701354
1305.521558,0.700791
1306.453408,0.700035
1307.385257,0.698539
1308.317107,0.697528
1309.248957,0.697465
1310.180807,0.696678
1311.112656,0.696185
1312.044506,0.695889
1312.976356,0.696145
1313.908206,0.696631
1314.840056,0.694909
1315.771905,0.694107
1316.703755,0.693790
1317.635605,0.694564
1318.567455,0.694116
1319.499305,0.693033
1320.431154,0.693673
1321.363004,0.691341
1322.294854,0.690789
1323.226704,0.689698
1324.158554,0.689289
1325.090403,0.688640
1326.022253,0.688133
1326.954103,0.687527
1327.885953,0.687336
1328.817803,0.687046
1329.749652,0.686761
1330.681502,0.686502
1331.613352,0.686454
1332.545202,0.685679
1333.477051,0.685235
1334.408901,0.684728
1335.340751,0.684885
1336.272601,0.685000
1337.204451,0.686835
1338.136300,0.688640
1339.068150,0.688702
1340.000000,0.691871
1340.931850,0.691202
1341.863700,0.689362
1342.795549,0.684849
1343.727399,0.685084
1344.659249,0.686338
1345.591099,0.686515
1346.522949,0.687088
1347.454798,0.687385
1348.386648,0.688068
1349.318498,0.689108
1350.250348,0.690848
1351.182197,0.691878
1352.114047,0.692465
1353.045897,0.694603
1353.977747,0.696461
1354.909597,0.698681
1355.841446,0.703188
1356.773296,0.706002
1357.705146,0.708026
1358.636996,0.714075
1359.568846,0.721102
1360.500695,0.729054
1361.432545,0.741488
1362.364395,0.758644
1363.296245,0.766526
1364.228095,0.779653
1365.159944,0.779248
1366.091794,0.774980
1367.023644,0.773859
1367.955494,0.763864
1368.887344,0.752479
1369.819193,0.740591
1370.751043,0.727140
1371.682893,0.717921
1372.614743,0.714250
1373.546592,0.709854
1374.478442,0.711352
1375.410292,0.710006
1376.342142,0.703512
1377.273992,0.698421
1378.205841,0.695991
1379.137691,0.697641
1380.069541,0.695978
1381.001391,0.694860
1381.933241,0.694242
1382.865090,0.694252
1383.796940,0.695397
1384.728790,0.696896
1385.660640,0.699047
1386.592490,0.700477
1387.524339,0.703298
1388.456189,0.711862
1389.388039,0.709428
1390.319889,0.701444
1391.251739,0.705420
1392.183588,0.707859
1393.115438,0.710880
1394.047288,0.711348
1394.979138,0.716792
1395.910987,0.723937
