XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,1.652099
651.363004,1.653603
652.294854,1.639392
653.226704,1.629929
654.158554,1.624716
655.090403,1.618069
656.022253,1.609986
656.954103,1.612389
657.885953,1.603512
658.817803,1.591252
659.749652,1.579207
660.681502,1.573888
661.613352,1.567885
662.545202,1.561743
663.477051,1.557048
664.408901,1.553531
665.340751,1.546227
666.272601,1.535755
667.204451,1.526402
668.136300,1.526129
669.068150,1.519732
670.000000,1.502814
670.931850,1.494898
671.863700,1.490579
672.795549,1.480738
673.727399,1.474301
674.659249,1.461760
675.591099,1.454387
676.522949,1.451577
677.454798,1.443543
678.386648,1.433271
679.318498,1.425509
680.250348,1.417405
681.182197,1.412579
682.114047,1.403774
683.045897,1.395763
683.977747,1.386119
684.909597,1.381789
685.841446,1.374634
686.773296,1.368470
687.705146,1.358983
688.636996,1.350552
689.568846,1.342859
690.500695,1.337669
691.432545,1.329869
692.364395,1.324439
693.296245,1.318107
694.228095,1.312004
695.159944,1.304029
696.091794,1.298754
697.023644,1.293690
697.955494,1.287591
698.887344,1.278030
699.819193,1.271058
700.751043,1.264581
701.682893,1.259390
702.614743,1.256200
703.546592,1.252316
704.478442,1.244790
705.410292,1.240045
706.342142,1.234633
707.273992,1.229366
708.205841,1.223033
709.137691,1.217464
710.069541,1.212478
711.001391,1.209436
711.933241,1.205584
712.865090,1.201052
713.796940,1.196620
714.728790,1.193165
715.660640,1.188369
716.592490,1.184816
717.524339,1.180043
718.456189,1.176734
719.388039,1.173153
720.319889,1.169994
721.251739,1.167785
722.183588,1.166042
723.115438,1.163312
724.047288,1.159198
724.979138,1.153689
725.910987,1.151951
726.842837,1.149236
727.774687,1.144491
728.706537,1.139999
729.638387,1.138070
730.570236,1.134183
731.502086,1.130850
732.433936,1.127692
733.365786,1.124521
734.297636,1.120564
735.229485,1.117382
736.161335,1.115022
737.093185,1.111897
738.025035,1.107600
738.956885,1.104838
739.888734,1.101593
740.820584,1.097711
741.752434,1.094559
742.684284,1.092223
743.616134,1.088677
744.547983,1.085961
745.479833,1.081384
746.411683,1.076838
747.343533,1.073655
748.275382,1.069539
749.207232,1.063280
750.139082,1.059558
751.070932,1.057084
752.002782,1.053979
752.934631,1.049374
753.866481,1.044242
754.798331,1.038145
755.730181,1.032146
756.662031,1.025696
757.593880,1.020759
758.525730,1.015040
759.457580,1.008751
760.389430,1.002521
761.321280,0.998185
762.253129,0.994374
763.184979,0.989691
764.116829,0.983982
765.048679,0.978570
765.980529,0.972668
766.912378,0.967595
767.844228,0.961781
768.776078,0.956297
769.707928,0.951095
770.639777,0.945745
771.571627,0.940634
772.503477,0.937591
773.435327,0.934175
774.367177,0.929928
775.299026,0.925942
776.230876,0.922768
777.162726,0.919819
778.094576,0.917531
779.026426,0.915662
779.958275,0.915343
780.890125,0.916606
781.821975,0.920817
782.753825,0.927507
783.685675,0.936008
784.617524,0.945291
785.549374,0.954522
786.481224,0.963852
787.413074,0.977677
788.344924,0.997627
789.276773,1.023129
790.208623,1.050375
791.140473,1.075420
792.072323,1.095013
793.004172,1.107039
793.936022,1.110836
794.867872,1.107076
795.799722,1.098185
796.731572,1.088351
797.663421,1.076377
798.595271,1.063504
799.527121,1.050079
800.458971,1.035991
801.390821,1.022292
802.322670,1.010614
803.254520,0.999138
804.186370,0.987492
805.118220,0.976831
806.050070,0.967001
806.981919,0.958315
807.913769,0.950225
808.845619,0.941736
809.777469,0.934682
810.709318,0.927884
811.641168,0.921215
812.573018,0.915594
813.504868,0.910518
814.436718,0.904161
815.368567,0.898574
816.300417,0.893944
817.232267,0.889643
818.164117,0.884821
819.095967,0.880278
820.027816,0.876411
820.959666,0.872921
821.891516,0.869296
822.823366,0.866456
823.755216,0.863266
824.687065,0.859800
825.618915,0.856455
826.550765,0.853375
827.482615,0.850243
828.414465,0.847161
829.346314,0.843740
830.278164,0.841140
831.210014,0.837927
832.141864,0.834962
833.073713,0.832573
834.005563,0.830437
834.937413,0.828798
835.869263,0.827431
836.801113,0.825614
837.732962,0.823947
838.664812,0.822085
839.596662,0.820490
840.528512,0.818453
841.460362,0.816918
842.392211,0.815765
843.324061,0.814876
844.255911,0.813654
845.187761,0.812632
846.119611,0.812198
847.051460,0.811371
847.983310,0.809851
848.915160,0.809021
849.847010,0.808289
850.778860,0.807807
851.710709,0.807125
852.642559,0.806365
853.574409,0.806112
854.506259,0.806134
855.438108,0.805966
856.369958,0.805556
857.301808,0.805211
858.233658,0.805556
859.165508,0.805264
860.097357,0.804433
861.029207,0.803781
861.961057,0.803729
862.892907,0.803230
863.824757,0.802886
864.756606,0.802217
865.688456,0.801191
866.620306,0.800507
867.552156,0.800584
868.484006,0.800807
869.415855,0.800680
870.347705,0.800020
871.279555,0.799282
872.211405,0.799220
873.143255,0.799154
874.075104,0.798816
875.006954,0.799425
875.938804,0.799701
876.870654,0.799411
877.802503,0.799872
878.734353,0.800646
879.666203,0.800343
880.598053,0.800219
881.529903,0.800434
882.461752,0.800945
883.393602,0.801870
884.325452,0.802661
885.257302,0.803452
886.189152,0.804712
887.121001,0.805912
888.052851,0.807602
888.984701,0.809912
889.916551,0.812093
890.848401,0.814063
891.780250,0.816951
892.712100,0.820166
893.643950,0.824125
894.575800,0.828700
895.507650,0.833075
896.439499,0.837451
897.371349,0.841899
898.303199,0.844299
899.235049,0.845559
900.166898,0.846268
901.098748,0.846123
902.030598,0.845021
902.962448,0.843219
903.894298,0.840840
904.826147,0.838160
905.757997,0.834933
906.689847,0.832600
907.621697,0.831008
908.553547,0.828755
909.485396,0.826806
910.417246,0.825309
911.349096,0.824536
912.280946,0.824218
913.212796,0.823676
914.144645,0.824058
915.076495,0.824341
916.008345,0.824596
916.940195,0.825236
917.872045,0.826421
918.803894,0.827123
919.735744,0.827716
920.667594,0.829220
921.599444,0.830236
922.531293,0.830523
923.463143,0.831752
924.394993,0.833360
925.326843,0.834870
926.258693,0.836300
927.190542,0.837649
928.122392,0.839049
929.054242,0.840553
929.986092,0.841945
930.917942,0.843819
931.849791,0.844992
932.781641,0.846105
933.713491,0.847915
934.645341,0.849616
935.577191,0.851044
936.509040,0.853415
937.440890,0.856023
938.372740,0.857597
939.304590,0.859010
940.236439,0.861481
941.168289,0.864127
942.100139,0.866264
943.031989,0.867598
943.963839,0.869418
944.895688,0.871526
945.827538,0.873047
946.759388,0.875256
947.691238,0.878258
948.623088,0.881363
949.554937,0.884049
950.486787,0.886193
951.418637,0.888684
952.350487,0.892053
953.282337,0.895741
954.214186,0.898558
955.146036,0.901698
956.077886,0.905231
957.009736,0.908738
957.941586,0.912435
958.873435,0.916546
959.805285,0.920983
960.737135,0.925080
961.668985,0.929578
962.600834,0.934497
963.532684,0.939074
964.464534,0.943963
965.396384,0.948927
966.328234,0.953487
967.260083,0.956601
968.191933,0.958192
969.123783,0.957827
970.055633,0.956418
970.987483,0.955280
971.919332,0.954318
972.851182,0.953831
973.783032,0.953400
974.714882,0.953221
975.646732,0.953514
976.578581,0.953997
977.510431,0.953751
978.442281,0.953205
979.374131,0.953960
980.305981,0.954732
981.237830,0.955504
982.169680,0.957958
983.101530,0.961386
984.033380,0.963060
984.965229,0.964587
985.897079,0.967223
986.828929,0.969433
987.760779,0.971424
988.692629,0.973632
989.624478,0.976196
990.556328,0.978444
991.488178,0.980290
992.420028,0.983096
993.351878,0.986708
994.283727,0.990595
995.215577,0.993480
996.147427,0.995685
997.079277,0.999029
998.011127,1.002658
998.942976,1.005421
999.874826,1.008976
1000.806676,1.013642
1001.738526,1.017719
1002.670376,1.021526
1003.602225,1.026691
1004.534075,1.033853
1005.465925,1.041730
1006.397775,1.050943
1007.329624,1.063704
1008.261474,1.081423
1009.193324,1.105169
1010.125174,1.134837
1011.057024,1.169816
1011.988873,1.205209
1012.920723,1.230167
1013.852573,1.237356
1014.784423,1.229110
1015.716273,1.212319
1016.648122,1.192967
1017.579972,1.175723
1018.511822,1.162517
1019.443672,1.151734
1020.375522,1.143208
1021.307371,1.138093
1022.239221,1.135113
1023.171071,1.134218
1024.102921,1.134974
1025.034771,1.138042
1025.966620,1.142146
1026.898470,1.146669
1027.830320,1.153605
1028.762170,1.161401
1029.694019,1.169162
1030.625869,1.177731
1031.557719,1.187472
1032.489569,1.198748
1033.421419,1.210934
1034.353268,1.222710
1035.285118,1.233213
1036.216968,1.241863
1037.148818,1.248972
1038.080668,1.251977
1039.012517,1.251602
1039.944367,1.246663
1040.876217,1.236584
1041.808067,1.224783
1042.739917,1.212776
1043.671766,1.200636
1044.603616,1.189804
1045.535466,1.179767
1046.467316,1.170236
1047.399166,1.162190
1048.331015,1.156375
1049.262865,1.150906
1050.194715,1.145425
1051.126565,1.141243
1052.058414,1.138324
1052.990264,1.135099
1053.922114,1.132860
1054.853964,1.131953
1055.785814,1.131613
1056.717663,1.130338
1057.649513,1.129008
1058.581363,1.129196
1059.513213,1.129148
1060.445063,1.128743
1061.376912,1.129394
1062.308762,1.132036
1063.240612,1.134598
1064.172462,1.136244
1065.104312,1.137730
1066.036161,1.140466
1066.968011,1.143032
1067.899861,1.143669
1068.831711,1.143826
1069.763561,1.144332
1070.695410,1.144202
1071.627260,1.143620
1072.559110,1.143622
1073.490960,1.144057
1074.422809,1.144739
1075.354659,1.145017
1076.286509,1.145828
1077.218359,1.147307
1078.150209,1.147662
1079.082058,1.147304
1080.013908,1.149143
1080.945758,1.150211
1081.877608,1.149543
1082.809458,1.150255
1083.741307,1.151969
1084.673157,1.153671
1085.605007,1.154382
1086.536857,1.153048
1087.468707,1.150635
1088.400556,1.147684
1089.332406,1.144762
1090.264256,1.142360
1091.196106,1.139889
1092.127955,1.138231
1093.059805,1.136959
1093.991655,1.136991
1094.923505,1.137773
1095.855355,1.137817
1096.787204,1.138941
1097.719054,1.141122
1098.650904,1.142601
1099.582754,1.143151
1100.514604,1.144678
1101.446453,1.146192
1102.378303,1.147216
1103.310153,1.149815
1104.242003,1.152480
1105.173853,1.154487
1106.105702,1.157434
1107.037552,1.161309
1107.969402,1.164064
1108.901252,1.166587
1109.833102,1.169324
1110.764951,1.172608
1111.696801,1.176454
1112.628651,1.181021
1113.560501,1.185687
1114.492350,1.189828
1115.424200,1.193876
1116.356050,1.198291
1117.287900,1.203481
1118.219750,1.209398
1119.151599,1.215321
1120.083449,1.220345
1121.015299,1.225460
1121.947149,1.231238
1122.878999,1.236362
1123.810848,1.242097
1124.742698,1.248353
1125.674548,1.254313
1126.606398,1.261817
1127.538248,1.269931
1128.470097,1.276341
1129.401947,1.283018
1130.333797,1.289637
1131.265647,1.296223
1132.197497,1.303614
1133.129346,1.311111
1134.061196,1.318547
1134.993046,1.325685
1135.924896,1.332641
1136.856745,1.340998
1137.788595,1.350233
1138.720445,1.360379
1139.652295,1.369987
1140.584145,1.377305
1141.515994,1.383694
1142.447844,1.390494
1143.379694,1.397577
1144.311544,1.404899
1145.243394,1.411642
1146.175243,1.418588
1147.107093,1.427689
1148.038943,1.437059
1148.970793,1.442861
1149.902643,1.449179
1150.834492,1.456719
1151.766342,1.461728
1152.698192,1.465980
1153.630042,1.472298
1154.561892,1.478245
1155.493741,1.483603
1156.425591,1.488088
1157.357441,1.490833
1158.289291,1.493291
1159.221140,1.497579
1160.152990,1.502112
1161.084840,1.503630
1162.016690,1.501576
1162.948540,1.500464
1163.880389,1.501050
1164.812239,1.500846
1165.744089,1.498244
1166.675939,1.495415
1167.607789,1.492565
1168.539638,1.487934
1169.471488,1.482694
1170.403338,1.477816
1171.335188,1.470324
1172.267038,1.464222
1173.198887,1.458196
1174.130737,1.450271
1175.062587,1.441844
1175.994437,1.432254
1176.926287,1.424753
1177.858136,1.417450
1178.789986,1.408425
1179.721836,1.399767
1180.653686,1.391416
1181.585535,1.382905
1182.517385,1.373684
1183.449235,1.364086
1184.381085,1.354337
1185.312935,1.345194
1186.244784,1.337592
1187.176634,1.329797
1188.108484,1.321913
1189.040334,1.314338
1189.972184,1.306390
1190.904033,1.298565
1191.835883,1.291886
1192.767733,1.284914
1193.699583,1.277501
1194.631433,1.270347
1195.563282,1.263381
1196.495132,1.256656
1197.426982,1.250379
1198.358832,1.243922
1199.290682,1.237538
1200.222531,1.232139
1201.154381,1.227568
1202.086231,1.223023
1203.018081,1.217391
1203.949930,1.212315
1204.881780,1.207810
1205.813630,1.203746
1206.745480,1.200024
1207.677330,1.195754
1208.609179,1.192122
1209.541029,1.189649
1210.472879,1.186751
1211.404729,1.183212
1212.336579,1.180202
1213.268428,1.178456
1214.200278,1.177511
1215.132128,1.175958
1216.063978,1.173933
1216.995828,1.172403
1217.927677,1.171394
1218.859527,1.170445
1219.791377,1.169746
1220.723227,1.168997
1221.655076,1.167548
1222.586926,1.166999
1223.518776,1.167665
1224.450626,1.168317
1225.382476,1.169029
1226.314325,1.171067
1227.246175,1.173619
1228.178025,1.176920
1229.109875,1.181729
1230.041725,1.186853
1230.973574,1.192283
1231.905424,1.198785
1232.837274,1.206062
1233.769124,1.214486
1234.700974,1.224905
1235.632823,1.235826
1236.564673,1.246381
1237.496523,1.258920
1238.428373,1.272619
1239.360223,1.285871
1240.292072,1.300375
1241.223922,1.314452
1242.155772,1.327086
1243.087622,1.339329
1244.019471,1.348879
1244.951321,1.354561
1245.883171,1.358822
1246.815021,1.363498
1247.746871,1.366516
1248.678720,1.369258
1249.610570,1.372308
1250.542420,1.375596
1251.474270,1.379016
1252.406120,1.382195
1253.337969,1.386047
1254.269819,1.386505
1255.201669,1.384235
1256.133519,1.381574
1257.065369,1.376287
1257.997218,1.368237
1258.929068,1.357624
1259.860918,1.346118
1260.792768,1.334924
1261.724618,1.322397
1262.656467,1.309372
1263.588317,1.297378
1264.520167,1.287173
1265.452017,1.278282
1266.383866,1.268918
1267.315716,1.259314
1268.247566,1.249430
1269.179416,1.238215
1270.111266,1.225895
1271.043115,1.212885
1271.974965,1.199325
1272.906815,1.185061
1273.838665,1.170669
1274.770515,1.156799
1275.702364,1.144750
1276.634214,1.134528
1277.566064,1.125307
1278.497914,1.118054
1279.429764,1.115775
1280.361613,1.117966
1281.293463,1.122128
1282.225313,1.127148
1283.157163,1.129210
1284.089013,1.125628
1285.020862,1.117627
1285.952712,1.106113
1286.884562,1.094202
1287.816412,1.084217
1288.748261,1.074680
1289.680111,1.066026
1290.611961,1.058612
1291.543811,1.050756
1292.475661,1.042854
1293.407510,1.036497
1294.339360,1.029894
1295.271210,1.022482
1296.203060,1.015977
1297.134910,1.010882
1298.066759,1.005903
1298.998609,1.001317
1299.930459,0.997067
1300.862309,0.993502
1301.794159,0.990217
1302.726008,0.986798
1303.657858,0.982423
1304.589708,0.977847
1305.521558,0.974917
1306.453408,0.972669
1307.385257,0.970038
1308.317107,0.967946
1309.248957,0.965969
1310.180807,0.963334
1311.112656,0.961062
1312.044506,0.959851
1312.976356,0.959706
1313.908206,0.958275
1314.840056,0.955602
1315.771905,0.953768
1316.703755,0.953635
1317.635605,0.954191
1318.567455,0.953379
1319.499305,0.951765
1320.431154,0.949308
1321.363004,0.946490
1322.294854,0.944960
1323.226704,0.943885
1324.158554,0.942251
1325.090403,0.941404
1326.022253,0.940725
1326.954103,0.940260
1327.885953,0.939345
1328.817803,0.938207
1329.749652,0.937910
1330.681502,0.938212
1331.613352,0.937111
1332.545202,0.936589
1333.477051,0.935954
1334.408901,0.935190
1335.340751,0.934608
1336.272601,0.935754
1337.204451,0.937778
1338.136300,0.938000
1339.068150,0.938271
1340.000000,0.940362
1340.931850,0.940979
1341.863700,0.937369
1342.795549,0.935384
1343.727399,0.937856
1344.659249,0.940654
1345.591099,0.941470
1346.522949,0.943247
1347.454798,0.945726
1348.386648,0.948306
1349.318498,0.951993
1350.250348,0.956521
1351.182197,0.960384
1352.114047,0.964726
1353.045897,0.970539
1353.977747,0.976596
1354.909597,0.984104
1355.841446,0.992768
1356.773296,0.999854
1357.705146,1.008400
1358.636996,1.021554
1359.568846,1.037573
1360.500695,1.056115
1361.432545,1.079639
1362.364395,1.103151
1363.296245,1.125358
1364.228095,1.142602
1365.159944,1.145375
1366.091794,1.142039
1367.023644,1.134223
1367.955494,1.114387
1368.887344,1.089487
1369.819193,1.058558
1370.751043,1.028383
1371.682893,1.009398
1372.614743,0.995976
1373.546592,0.987924
1374.478442,0.985597
1375.410292,0.977073
1376.342142,0.963730
1377.273992,0.956860
1378.205841,0.955907
1379.137691,0.955702
1380.069541,0.953297
1381.001391,0.951685
1381.933241,0.952482
1382.865090,0.954758
1383.796940,0.958442
1384.728790,0.962813
1385.660640,0.966414
1386.592490,0.970096
1387.524339,0.978712
1388.456189,0.985939
1389.388039,0.982508
1390.319889,0.982962
1391.251739,0.991108
1392.183588,0.998102
1393.115438,1.001554
1394.047288,1.007355
1394.979138,1.016520
1395.910987,1.016653
