XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.001813
651.363004,0.002329
652.294854,0.000881
653.226704,0.002279
654.158554,0.002457
655.090403,0.002943
656.022253,0.002597
656.954103,0.000021
657.885953,0.001198
658.817803,0.001272
659.749652,0.001917
660.681502,0.002531
661.613352,0.001531
662.545202,0.001527
663.477051,0.000936
664.408901,0.001347
665.340751,0.002350
666.272601,0.000737
667.204451,0.003005
668.136300,0.003939
669.068150,-0.000901
670.000000,-0.001553
670.931850,-0.000246
671.863700,0.001781
672.795549,0.002827
673.727399,0.002143
674.659249,0.002414
675.591099,0.001826
676.522949,0.001180
677.454798,0.002386
678.386648,0.001444
679.318498,0.001798
680.250348,0.001166
681.182197,0.000890
682.114047,0.001491
683.045897,0.001557
683.977747,0.002375
684.909597,0.002681
685.841446,0.002613
686.773296,0.003375
687.705146,0.002549
688.636996,0.002497
689.568846,0.003243
690.500695,0.002058
691.432545,0.001802
692.364395,0.001085
693.296245,0.001032
694.228095,0.001641
695.159944,0.000785
696.091794,0.001003
697.023644,0.002184
697.955494,0.001988
698.887344,0.002730
699.819193,0.002183
700.751043,0.001963
701.682893,0.001963
702.614743,0.001282
703.546592,0.001818
704.478442,0.002208
705.410292,0.001801
706.342142,0.001917
707.273992,0.002437
708.205841,0.002827
709.137691,0.002342
710.069541,0.001302
711.001391,0.001270
711.933241,0.001302
712.865090,0.001482
713.796940,0.000925
714.728790,0.000970
715.660640,0.001331
716.592490,0.001587
717.524339,0.002232
718.456189,0.002458
719.388039,0.002386
720.319889,0.002306
721.251739,0.002269
722.183588,0.002731
723.115438,0.002298
724.047288,0.001845
724.979138,0.001431
725.910987,0.001147
726.842837,0.001364
727.774687,0.001214
728.706537,0.001014
729.638387,0.000946
730.570236,0.000837
731.502086,0.001433
732.433936,0.002035
733.365786,0.002270
734.297636,0.002421
735.229485,0.001902
736.161335,0.001477
737.093185,0.001843
738.025035,0.002178
738.956885,0.001512
739.888734,0.001078
740.820584,0.001691
741.752434,0.002011
742.684284,0.002063
743.616134,0.002171
744.547983,0.001474
745.479833,0.000981
746.411683,0.001170
747.343533,0.000806
748.275382,0.000250
749.207232,-0.000075
750.139082,0.000782
751.070932,0.002128
752.002782,0.001808
752.934631,0.002044
753.866481,0.002164
754.798331,0.002115
755.730181,0.003051
756.662031,0.002518
757.593880,0.002105
758.525730,0.002069
759.457580,0.001081
760.389430,0.000596
761.321280,0.000453
762.253129,0.000982
763.184979,0.001670
764.116829,0.001300
765.048679,0.002189
765.980529,0.002431
766.912378,0.002052
767.844228,0.002394
768.776078,0.002073
769.707928,0.002187
770.639777,0.001415
771.571627,0.000936
772.503477,0.002238
773.435327,0.001791
774.367177,0.001833
775.299026,0.002187
776.230876,0.001509
777.162726,0.001675
778.094576,0.000957
779.026426,0.000686
779.958275,0.001025
780.890125,0.000832
781.821975,0.001253
782.753825,0.001217
783.685675,0.001408
784.617524,0.002345
785.549374,0.001692
786.481224,0.002296
787.413074,0.002536
788.344924,0.001809
789.276773,0.001820
790.208623,0.001683
791.140473,0.001872
792.072323,0.001781
793.004172,0.000834
793.936022,0.001449
794.867872,0.002117
795.799722,0.001424
796.731572,0.001774
797.663421,0.001351
798.595271,0.001839
799.527121,0.001990
800.458971,0.001731
801.390821,0.001796
802.322670,0.001742
803.254520,0.001880
804.186370,0.002022
805.118220,0.001274
806.050070,0.001833
806.981919,0.001469
807.913769,0.001858
808.845619,0.002675
809.777469,0.001309
810.709318,0.001241
811.641168,0.001406
812.573018,0.001328
813.504868,0.002062
814.436718,0.001190
815.368567,0.001573
816.300417,0.002191
817.232267,0.001635
818.164117,0.002034
819.095967,0.001703
820.027816,0.002645
820.959666,0.002840
821.891516,0.002250
822.823366,0.002306
823.755216,0.001886
824.687065,0.001551
825.618915,0.001153
826.550765,0.000605
827.482615,0.001582
828.414465,0.000916
829.346314,0.000583
830.278164,0.001716
831.210014,0.001280
832.141864,0.001387
833.073713,0.001760
834.005563,0.001911
834.937413,0.002617
835.869263,0.001933
836.801113,0.001429
837.732962,0.002042
838.664812,0.001752
839.596662,0.001817
840.528512,0.001271
841.460362,0.001136
842.392211,0.001763
843.324061,0.001658
844.255911,0.001097
845.187761,0.001097
846.119611,0.001595
847.051460,0.002360
847.983310,0.001958
848.915160,0.001735
849.847010,0.001877
850.778860,0.001810
851.710709,0.002261
852.642559,0.001834
853.574409,0.001515
854.506259,0.001948
855.438108,0.001531
856.369958,0.001871
857.301808,0.001802
858.233658,0.001365
859.165508,0.001305
860.097357,0.000723
861.029207,0.000690
861.961057,0.000994
862.892907,0.001175
863.824757,0.001473
864.756606,0.001450
865.688456,0.002002
866.620306,0.002139
867.552156,0.001783
868.484006,0.002028
869.415855,0.002224
870.347705,0.002378
871.279555,0.002125
872.211405,0.001246
873.143255,0.001484
874.075104,0.001677
875.006954,0.001422
875.938804,0.001882
876.870654,0.001421
877.802503,0.001648
878.734353,0.001527
879.666203,0.001076
880.598053,0.001607
881.529903,0.001480
882.461752,0.001280
883.393602,0.000795
884.325452,0.000841
885.257302,0.001542
886.189152,0.001829
887.121001,0.001591
888.052851,0.002078
888.984701,0.002298
889.916551,0.002403
890.848401,0.001345
891.780250,0.001046
892.712100,0.001245
893.643950,0.000822
894.575800,0.001047
895.507650,0.001046
896.439499,0.000607
897.371349,0.001420
898.303199,0.001593
899.235049,0.002177
900.166898,0.002700
901.098748,0.002384
902.030598,0.002255
902.962448,0.001910
903.894298,0.002124
904.826147,0.001967
905.757997,0.001451
906.689847,0.001551
907.621697,0.001467
908.553547,0.000999
909.485396,0.000979
910.417246,0.000452
911.349096,0.001072
912.280946,0.001586
913.212796,0.002043
914.144645,0.002299
915.076495,0.001536
916.008345,0.001983
916.940195,0.002052
917.872045,0.001419
918.803894,0.002042
919.735744,0.001967
920.667594,0.001823
921.599444,0.001642
922.531293,0.001224
923.463143,0.002032
924.394993,0.001757
925.326843,0.001497
926.258693,0.001300
927.190542,0.001122
928.122392,0.001409
929.054242,0.001339
929.986092,0.001219
930.917942,0.001733
931.849791,0.001731
932.781641,0.002335
933.713491,0.002142
934.645341,0.001827
935.577191,0.002519
936.509040,0.001642
937.440890,0.001714
938.372740,0.001833
939.304590,0.001023
940.236439,0.001587
941.168289,0.001144
942.100139,0.001311
943.031989,0.001909
943.963839,0.000908
944.895688,0.001319
945.827538,0.001139
946.759388,0.001138
947.691238,0.001954
948.623088,0.001558
949.554937,0.001513
950.486787,0.001423
951.418637,0.001482
952.350487,0.002443
953.282337,0.001731
954.214186,0.001963
955.146036,0.002141
956.077886,0.001553
957.009736,0.002227
957.941586,0.001258
958.873435,0.000897
959.805285,0.001604
960.737135,0.000929
961.668985,0.001497
962.600834,0.001107
963.532684,0.000865
964.464534,0.001451
965.396384,0.000957
966.328234,0.001957
967.260083,0.002117
968.191933,0.001400
969.123783,0.001693
970.055633,0.001042
970.987483,0.001649
971.919332,0.001735
972.851182,0.000778
973.783032,0.001709
974.714882,0.001069
975.646732,0.001057
976.578581,0.001627
977.510431,0.000989
978.442281,0.001845
979.374131,0.001516
980.305981,0.001316
981.237830,0.002519
982.169680,0.001853
983.101530,0.002454
984.033380,0.002041
984.965229,0.001047
985.897079,0.002346
986.828929,0.001350
987.760779,0.000882
988.692629,0.001378
989.624478,0.000861
990.556328,0.001423
991.488178,0.000318
992.420028,0.000267
993.351878,0.001743
994.283727,0.000554
995.215577,0.001301
996.147427,0.001308
997.079277,0.001025
998.011127,0.002344
998.942976,0.001440
999.874826,0.002220
1000.806676,0.002497
1001.738526,0.001112
1002.670376,0.002125
1003.602225,0.001303
1004.534075,0.001683
1005.465925,0.002202
1006.397775,0.000855
1007.329624,0.001912
1008.261474,0.001404
1009.193324,0.001105
1010.125174,0.001950
1011.057024,0.000814
1011.988873,0.001827
1012.920723,0.002198
1013.852573,0.001178
1014.784423,0.002059
1015.716273,0.000718
1016.648122,0.001447
1017.579972,0.001669
1018.511822,0.000710
1019.443672,0.001911
1020.375522,0.001188
1021.307371,0.001161
1022.239221,0.001777
1023.171071,0.000513
1024.102921,0.001709
1025.034771,0.001672
1025.966620,0.001037
1026.898470,0.001674
1027.830320,0.000183
1028.762170,0.000871
1029.694019,0.001134
1030.625869,0.000648
1031.557719,0.002087
1032.489569,0.001326
1033.421419,0.001618
1034.353268,0.002413
1035.285118,0.001533
1036.216968,0.002789
1037.148818,0.001509
1038.080668,0.000617
1039.012517,0.001045
1039.944367,-0.000161
1040.876217,0.000779
1041.808067,0.000311
1042.739917,-0.000069
1043.671766,0.001670
1044.603616,0.000695
1045.535466,0.001718
1046.467316,0.002080
1047.399166,0.000919
1048.331015,0.002456
1049.262865,0.001714
1050.194715,0.002084
1051.126565,0.002148
1052.058414,0.000470
1052.990264,0.001809
1053.922114,0.001072
1054.853964,0.000768
1055.785814,0.002143
1056.717663,0.000809
1057.649513,0.001698
1058.581363,0.001124
1059.513213,0.000597
1060.445063,0.002274
1061.376912,0.000706
1062.308762,0.000998
1063.240612,0.001384
1064.172462,0.000322
1065.104312,0.002244
1066.036161,0.001568
1066.968011,0.001452
1067.899861,0.002339
1068.831711,0.000971
1069.763561,0.001763
1070.695410,0.000907
1071.627260,0.000496
1072.559110,0.001818
1073.490960,0.000230
1074.422809,0.000762
1075.354659,0.001053
1076.286509,0.000305
1077.218359,0.001615
1078.150209,0.000938
1079.082058,0.001990
1080.013908,0.002364
1080.945758,0.000721
1081.877608,0.002041
1082.809458,0.001834
1083.741307,0.001571
1084.673157,0.001891
1085.605007,0.000256
1086.536857,0.001380
1087.468707,0.001167
1088.400556,0.000179
1089.332406,0.001244
1090.264256,0.000640
1091.196106,0.001752
1092.127955,0.001515
1093.059805,0.000349
1093.991655,0.001551
1094.923505,0.000574
1095.855355,0.000942
1096.787204,0.001544
1097.719054,0.000782
1098.650904,0.002016
1099.582754,0.001190
1100.514604,0.000951
1101.446453,0.001568
1102.378303,0.000859
1103.310153,0.002040
1104.242003,0.001344
1105.173853,0.000222
1106.105702,0.001060
1107.037552,0.000405
1107.969402,0.001423
1108.901252,0.001356
1109.833102,0.000584
1110.764951,0.001705
1111.696801,0.001090
1112.628651,0.001493
1113.560501,0.001894
1114.492350,0.001055
1115.424200,0.001967
1116.356050,0.001581
1117.287900,0.001261
1118.219750,0.001839
1119.151599,0.000693
1120.083449,0.001199
1121.015299,0.000931
1121.947149,0.000827
1122.878999,0.001639
1123.810848,0.000347
1124.742698,0.000564
1125.674548,0.001300
1126.606398,0.000934
1127.538248,0.001490
1128.470097,0.000595
1129.401947,0.000956
1130.333797,0.001699
1131.265647,0.001031
1132.197497,0.001967
1133.129346,0.001554
1134.061196,0.001325
1134.993046,0.001738
1135.924896,0.000807
1136.856745,0.001457
1137.788595,0.001658
1138.720445,0.001158
1139.652295,0.001749
1140.584145,0.000813
1141.515994,0.001167
1142.447844,0.001121
1143.379694,0.000589
1144.311544,0.001548
1145.243394,0.001273
1146.175243,0.001405
1147.107093,0.001635
1148.038943,0.001003
1148.970793,0.001638
1149.902643,0.001248
1150.834492,0.001108
1151.766342,0.001433
1152.698192,0.000351
1153.630042,0.000658
1154.561892,0.000677
1155.493741,0.000804
1156.425591,0.001296
1157.357441,0.001000
1158.289291,0.001607
1159.221140,0.001527
1160.152990,0.001115
1161.084840,0.001789
1162.016690,0.001355
1162.948540,0.001482
1163.880389,0.001596
1164.812239,0.001249
1165.744089,0.001739
1166.675939,0.001212
1167.607789,0.001072
1168.539638,0.001325
1169.471488,0.000874
1170.403338,0.001537
1171.335188,0.001282
1172.267038,0.000856
1173.198887,0.001423
1174.130737,0.001147
1175.062587,0.001174
1175.994437,0.000719
1176.926287,0.000540
1177.858136,0.001066
1178.789986,0.000723
1179.721836,0.001108
1180.653686,0.001637
1181.585535,0.001352
1182.517385,0.001697
1183.449235,0.001393
1184.381085,0.001333
1185.312935,0.001186
1186.244784,0.000401
1187.176634,0.000761
1188.108484,0.000784
1189.040334,0.000698
1189.972184,0.001032
1190.904033,0.000996
1191.835883,0.001616
1192.767733,0.001558
1193.699583,0.001306
1194.631433,0.001596
1195.563282,0.001267
1196.495132,0.001408
1197.426982,0.001104
1198.358832,0.000934
1199.290682,0.001272
1200.222531,0.000901
1201.154381,0.001142
1202.086231,0.000985
1203.018081,0.000603
1203.949930,0.001145
1204.881780,0.001054
1205.813630,0.001211
1206.745480,0.001164
1207.677330,0.000863
1208.609179,0.001357
1209.541029,0.000792
1210.472879,0.000679
1211.404729,0.001342
1212.336579,0.001064
1213.268428,0.001428
1214.200278,0.001567
1215.132128,0.001382
1216.063978,0.001528
1216.995828,0.001107
1217.927677,0.001334
1218.859527,0.000998
1219.791377,0.000456
1220.723227,0.000653
1221.655076,0.000150
1222.586926,0.000572
1223.518776,0.001207
1224.450626,0.000832
1225.382476,0.001298
1226.314325,0.001105
1227.246175,0.001371
1228.178025,0.001627
1229.109875,0.000943
1230.041725,0.001153
1230.973574,0.001179
1231.905424,0.001066
1232.837274,0.001186
1233.769124,0.000693
1234.700974,0.001252
1235.632823,0.001017
1236.564673,0.000704
1237.496523,0.001083
1238.428373,0.000603
1239.360223,0.001222
1240.292072,0.001079
1241.223922,0.000777
1242.155772,0.001430
1243.087622,0.000767
1244.019471,0.001163
1244.951321,0.001655
1245.883171,0.000912
1246.815021,0.001345
1247.746871,0.000908
1248.678720,0.001348
1249.610570,0.001544
1250.542420,0.000924
1251.474270,0.001504
1252.406120,0.000861
1253.337969,0.000616
1254.269819,0.001094
1255.201669,0.000452
1256.133519,0.000908
1257.065369,0.000719
1257.997218,0.000556
1258.929068,0.001397
1259.860918,0.000645
1260.792768,0.001352
1261.724618,0.001463
1262.656467,0.000788
1263.588317,0.001484
1264.520167,0.000731
1265.452017,0.001060
1266.383866,0.001637
1267.315716,0.000758
1268.247566,0.001539
1269.179416,0.001042
1270.111266,0.000915
1271.043115,0.001358
1271.974965,0.000262
1272.906815,0.000909
1273.838665,0.001004
1274.770515,0.000441
1275.702364,0.001049
1276.634214,0.000191
1277.566064,0.000907
1278.497914,0.001298
1279.429764,0.000698
1280.361613,0.001597
1281.293463,0.000614
1282.225313,0.001023
1283.157163,0.001466
1284.089013,0.000202
1285.020862,0.000987
1285.952712,0.000211
1286.884562,0.000042
1287.816412,0.001083
1288.748261,0.000234
1289.680111,0.000828
1290.611961,0.000559
1291.543811,0.000501
1292.475661,0.001690
1293.407510,0.000988
1294.339360,0.001586
1295.271210,0.001563
1296.203060,0.001019
1297.134910,0.001836
1298.066759,0.000514
1298.998609,0.000765
1299.930459,0.001062
1300.862309,0.000254
1301.794159,0.001495
1302.726008,0.000461
1303.657858,0.000252
1304.589708,0.001107
1305.521558,0.000168
1306.453408,0.001344
1307.385257,0.001054
1308.317107,0.000443
1309.248957,0.001282
1310.180807,0.000131
1311.112656,0.001117
1312.044506,0.001106
1312.976356,0.000477
1313.908206,0.001786
1314.840056,0.000474
1315.771905,0.001009
1316.703755,0.001666
1317.635605,0.000643
1318.567455,0.002129
1319.499305,0.000845
1320.431154,0.000667
1321.363004,0.001084
1322.294854,-0.000478
1323.226704,0.000765
1324.158554,0.000329
1325.090403,0.000043
1326.022253,0.001573
1326.954103,0.000338
1327.885953,0.001193
1328.817803,0.001116
1329.749652,0.000086
1330.681502,0.001676
1331.613352,0.000301
1332.545202,0.000452
1333.477051,0.000614
1334.408901,-0.000659
1335.340751,0.001075
1336.272601,0.000699
1337.204451,0.000807
1338.136300,0.001944
1339.068150,0.000344
1340.000000,0.002626
1340.931850,0.001208
1341.863700,-0.000468
1342.795549,0.000602
1343.727399,-0.000395
1344.659249,0.001229
1345.591099,0.001034
1346.522949,-0.000158
1347.454798,0.001331
1348.386648,0.000390
1349.318498,0.001248
1350.250348,0.001670
1351.182197,-0.000347
1352.114047,0.001056
1353.045897,0.000008
1353.977747,0.000063
1354.909597,0.001562
1355.841446,-0.000051
1356.773296,0.000874
1357.705146,0.000310
1358.636996,0.000172
1359.568846,0.001948
1360.500695,0.000553
1361.432545,0.001979
1362.364395,0.002652
1363.296245,0.001157
1364.228095,0.002263
1365.159944,-0.001472
1366.091794,-0.001041
1367.023644,0.000705
1367.955494,-0.000890
1368.887344,0.000945
1369.819193,-0.000273
1370.751043,-0.000427
1371.682893,0.001031
1372.614743,0.000153
1373.546592,0.002666
1374.478442,0.003080
1375.410292,0.001247
1376.342142,0.001143
1377.273992,-0.000959
1378.205841,0.001029
1379.137691,0.001574
1380.069541,-0.000215
1381.001391,0.001548
1381.933241,-0.000109
1382.865090,0.000368
1383.796940,0.001576
1384.728790,-0.000259
1385.660640,0.001495
1386.592490,0.000924
1387.524339,0.001991
1388.456189,0.002534
1389.388039,-0.002417
1390.319889,-0.001090
1391.251739,0.000431
1392.183588,0.000013
1393.115438,0.002228
1394.047288,0.001225
