XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.771663
651.363004,0.765630
652.294854,0.759571
653.226704,0.753917
654.158554,0.748311
655.090403,0.741556
656.022253,0.735173
656.954103,0.729529
657.885953,0.723167
658.817803,0.716672
659.749652,0.710985
660.681502,0.705284
661.613352,0.699540
662.545202,0.692933
663.477051,0.686427
664.408901,0.681032
665.340751,0.674814
666.272601,0.669326
667.204451,0.666628
668.136300,0.661683
669.068150,0.645322
670.000000,0.638398
670.931850,0.636437
671.863700,0.631895
672.795549,0.626524
673.727399,0.620217
674.659249,0.614349
675.591099,0.608464
676.522949,0.603493
677.454798,0.598346
678.386648,0.593374
679.318498,0.588526
680.250348,0.583063
681.182197,0.577413
682.114047,0.572360
683.045897,0.566524
683.977747,0.561234
684.909597,0.556674
685.841446,0.551991
686.773296,0.547378
687.705146,0.543063
688.636996,0.538836
689.568846,0.534669
690.500695,0.530442
691.432545,0.526631
692.364395,0.522924
693.296245,0.519044
694.228095,0.515763
695.159944,0.512540
696.091794,0.508866
697.023644,0.505452
697.955494,0.502404
698.887344,0.499430
699.819193,0.496383
700.751043,0.493310
701.682893,0.490126
702.614743,0.487552
703.546592,0.485107
704.478442,0.482816
705.410292,0.480679
706.342142,0.478460
707.273992,0.476389
708.205841,0.474657
709.137691,0.472811
710.069541,0.471064
711.001391,0.468750
711.933241,0.466594
712.865090,0.465026
713.796940,0.463138
714.728790,0.461382
715.660640,0.459926
716.592490,0.458468
717.524339,0.457419
718.456189,0.456559
719.388039,0.455879
720.319889,0.455661
721.251739,0.455623
722.183588,0.454917
723.115438,0.453684
724.047288,0.451977
724.979138,0.449848
725.910987,0.448024
726.842837,0.446478
727.774687,0.444826
728.706537,0.442929
729.638387,0.440806
730.570236,0.439090
731.502086,0.437267
732.433936,0.435126
733.365786,0.433023
734.297636,0.430922
735.229485,0.428987
736.161335,0.427264
737.093185,0.425061
738.025035,0.422531
738.956885,0.420075
739.888734,0.417324
740.820584,0.414780
741.752434,0.412089
742.684284,0.408855
743.616134,0.405737
744.547983,0.402437
745.479833,0.399142
746.411683,0.396033
747.343533,0.392765
748.275382,0.389678
749.207232,0.386634
750.139082,0.383186
751.070932,0.380056
752.002782,0.377099
752.934631,0.373986
753.866481,0.371010
754.798331,0.367983
755.730181,0.364761
756.662031,0.361690
757.593880,0.358550
758.525730,0.355647
759.457580,0.352625
760.389430,0.349610
761.321280,0.346794
762.253129,0.343561
763.184979,0.340479
764.116829,0.337997
765.048679,0.335342
765.980529,0.332797
766.912378,0.330398
767.844228,0.327673
768.776078,0.324869
769.707928,0.322588
770.639777,0.320536
771.571627,0.318353
772.503477,0.316248
773.435327,0.314642
774.367177,0.313101
775.299026,0.311264
776.230876,0.309496
777.162726,0.308084
778.094576,0.307282
779.026426,0.306935
779.958275,0.306553
780.890125,0.306727
781.821975,0.307667
782.753825,0.308685
783.685675,0.310112
784.617524,0.313253
785.549374,0.319080
786.481224,0.328308
787.413074,0.341476
788.344924,0.359254
789.276773,0.381555
790.208623,0.407262
791.140473,0.433818
792.072323,0.456559
793.004172,0.470300
793.936022,0.472914
794.867872,0.465837
795.799722,0.452223
796.731572,0.435470
797.663421,0.418635
798.595271,0.402778
799.527121,0.388410
800.458971,0.376066
801.390821,0.365574
802.322670,0.356242
803.254520,0.348158
804.186370,0.340921
805.118220,0.334565
806.050070,0.328684
806.981919,0.323236
807.913769,0.318504
808.845619,0.314429
809.777469,0.310375
810.709318,0.306462
811.641168,0.303090
812.573018,0.300101
813.504868,0.297176
814.436718,0.294355
815.368567,0.291568
816.300417,0.289314
817.232267,0.287275
818.164117,0.285226
819.095967,0.283227
820.027816,0.281297
820.959666,0.279456
821.891516,0.277770
822.823366,0.276264
823.755216,0.274539
824.687065,0.272657
825.618915,0.271001
826.550765,0.269550
827.482615,0.268228
828.414465,0.267072
829.346314,0.265957
830.278164,0.265046
831.210014,0.264071
832.141864,0.262825
833.073713,0.261929
834.005563,0.261191
834.937413,0.260442
835.869263,0.259752
836.801113,0.259057
837.732962,0.258058
838.664812,0.257350
839.596662,0.256875
840.528512,0.256121
841.460362,0.255336
842.392211,0.254820
843.324061,0.254262
844.255911,0.253602
845.187761,0.253063
846.119611,0.252845
847.051460,0.252641
847.983310,0.252302
848.915160,0.251970
849.847010,0.251742
850.778860,0.251345
851.710709,0.250824
852.642559,0.250379
853.574409,0.250179
854.506259,0.250128
855.438108,0.249842
856.369958,0.249742
857.301808,0.249806
858.233658,0.249519
859.165508,0.249119
860.097357,0.249002
861.029207,0.249225
861.961057,0.249289
862.892907,0.249145
863.824757,0.249174
864.756606,0.249442
865.688456,0.249673
866.620306,0.249655
867.552156,0.249434
868.484006,0.249408
869.415855,0.249499
870.347705,0.249468
871.279555,0.249334
872.211405,0.249319
873.143255,0.249514
874.075104,0.249820
875.006954,0.250180
875.938804,0.250565
876.870654,0.250533
877.802503,0.250484
878.734353,0.250675
879.666203,0.250939
880.598053,0.251222
881.529903,0.251495
882.461752,0.251805
883.393602,0.251995
884.325452,0.252300
885.257302,0.252703
886.189152,0.252994
887.121001,0.253706
888.052851,0.254267
888.984701,0.254645
889.916551,0.254989
890.848401,0.255371
891.780250,0.255745
892.712100,0.255836
893.643950,0.255967
894.575800,0.256405
895.507650,0.257001
896.439499,0.257352
897.371349,0.257502
898.303199,0.257964
899.235049,0.258568
900.166898,0.259211
901.098748,0.259672
902.030598,0.260233
902.962448,0.260885
903.894298,0.261581
904.826147,0.262296
905.757997,0.263027
906.689847,0.263944
907.621697,0.264685
908.553547,0.265419
909.485396,0.266286
910.417246,0.267120
911.349096,0.268026
912.280946,0.268815
913.212796,0.269623
914.144645,0.270624
915.076495,0.271914
916.008345,0.273112
916.940195,0.274253
917.872045,0.275401
918.803894,0.276654
919.735744,0.277705
920.667594,0.278772
921.599444,0.279923
922.531293,0.281154
923.463143,0.282371
924.394993,0.283518
925.326843,0.284630
926.258693,0.286054
927.190542,0.287379
928.122392,0.288905
929.054242,0.290460
929.986092,0.291680
930.917942,0.292870
931.849791,0.294408
932.781641,0.295915
933.713491,0.297306
934.645341,0.298613
935.577191,0.300035
936.509040,0.301401
937.440890,0.302834
938.372740,0.304311
939.304590,0.305795
940.236439,0.307247
941.168289,0.308715
942.100139,0.310246
943.031989,0.311801
943.963839,0.313276
944.895688,0.314941
945.827538,0.316697
946.759388,0.318397
947.691238,0.320161
948.623088,0.321927
949.554937,0.323720
950.486787,0.325259
951.418637,0.326862
952.350487,0.328527
953.282337,0.330047
954.214186,0.331672
955.146036,0.333463
956.077886,0.335455
957.009736,0.337347
957.941586,0.339345
958.873435,0.341301
959.805285,0.343181
960.737135,0.344849
961.668985,0.346725
962.600834,0.348660
963.532684,0.350246
964.464534,0.351875
965.396384,0.353628
966.328234,0.355292
967.260083,0.357062
968.191933,0.358801
969.123783,0.360744
970.055633,0.362859
970.987483,0.364748
971.919332,0.366554
972.851182,0.368490
973.783032,0.370592
974.714882,0.372615
975.646732,0.374557
976.578581,0.376512
977.510431,0.378225
978.442281,0.380106
979.374131,0.382152
980.305981,0.384027
981.237830,0.385783
982.169680,0.387650
983.101530,0.389441
984.033380,0.391343
984.965229,0.393363
985.897079,0.395282
986.828929,0.397116
987.760779,0.398980
988.692629,0.400730
989.624478,0.402517
990.556328,0.404288
991.488178,0.406091
992.420028,0.408090
993.351878,0.409924
994.283727,0.411492
995.215577,0.413079
996.147427,0.414876
997.079277,0.416784
998.011127,0.418549
998.942976,0.420578
999.874826,0.422963
1000.806676,0.425465
1001.738526,0.427663
1002.670376,0.429945
1003.602225,0.432542
1004.534075,0.435308
1005.465925,0.438448
1006.397775,0.442114
1007.329624,0.446458
1008.261474,0.452373
1009.193324,0.460844
1010.125174,0.473023
1011.057024,0.490134
1011.988873,0.512769
1012.920723,0.538948
1013.852573,0.561836
1014.784423,0.570733
1015.716273,0.560848
1016.648122,0.539153
1017.579972,0.516137
1018.511822,0.497410
1019.443672,0.483703
1020.375522,0.473848
1021.307371,0.467025
1022.239221,0.462179
1023.171071,0.458655
1024.102921,0.456020
1025.034771,0.453835
1025.966620,0.452299
1026.898470,0.451264
1027.830320,0.450314
1028.762170,0.449655
1029.694019,0.449093
1030.625869,0.448682
1031.557719,0.448381
1032.489569,0.448094
1033.421419,0.447726
1034.353268,0.447387
1035.285118,0.447055
1036.216968,0.446754
1037.148818,0.446668
1038.080668,0.446712
1039.012517,0.446540
1039.944367,0.446311
1040.876217,0.446298
1041.808067,0.446332
1042.739917,0.446127
1043.671766,0.445869
1044.603616,0.445880
1045.535466,0.445919
1046.467316,0.445899
1047.399166,0.446109
1048.331015,0.446368
1049.262865,0.446709
1050.194715,0.446901
1051.126565,0.446963
1052.058414,0.447269
1052.990264,0.447627
1053.922114,0.448105
1054.853964,0.448594
1055.785814,0.449084
1056.717663,0.449663
1057.649513,0.450381
1058.581363,0.451115
1059.513213,0.451804
1060.445063,0.452805
1061.376912,0.453895
1062.308762,0.454786
1063.240612,0.455640
1064.172462,0.456747
1065.104312,0.457765
1066.036161,0.458696
1066.968011,0.459354
1067.899861,0.459951
1068.831711,0.460741
1069.763561,0.461265
1070.695410,0.461115
1071.627260,0.461111
1072.559110,0.461279
1073.490960,0.460976
1074.422809,0.460511
1075.354659,0.460255
1076.286509,0.459858
1077.218359,0.459498
1078.150209,0.459108
1079.082058,0.458422
1080.013908,0.457835
1080.945758,0.457443
1081.877608,0.456954
1082.809458,0.456456
1083.741307,0.455820
1084.673157,0.455524
1085.605007,0.455632
1086.536857,0.455435
1087.468707,0.455090
1088.400556,0.454797
1089.332406,0.454753
1090.264256,0.454774
1091.196106,0.454819
1092.127955,0.455027
1093.059805,0.455220
1093.991655,0.455555
1094.923505,0.456114
1095.855355,0.456679
1096.787204,0.457122
1097.719054,0.457557
1098.650904,0.458007
1099.582754,0.458664
1100.514604,0.459327
1101.446453,0.460002
1102.378303,0.460883
1103.310153,0.462067
1104.242003,0.463372
1105.173853,0.464702
1106.105702,0.466108
1107.037552,0.467452
1107.969402,0.468903
1108.901252,0.470334
1109.833102,0.471716
1110.764951,0.473365
1111.696801,0.475300
1112.628651,0.477189
1113.560501,0.478787
1114.492350,0.480625
1115.424200,0.482595
1116.356050,0.484988
1117.287900,0.487371
1118.219750,0.489764
1119.151599,0.492315
1120.083449,0.494959
1121.015299,0.497857
1121.947149,0.500805
1122.878999,0.504014
1123.810848,0.507382
1124.742698,0.510845
1125.674548,0.514257
1126.606398,0.517922
1127.538248,0.521762
1128.470097,0.525682
1129.401947,0.529686
1130.333797,0.534116
1131.265647,0.538527
1132.197497,0.543195
1133.129346,0.548268
1134.061196,0.553539
1134.993046,0.558925
1135.924896,0.564289
1136.856745,0.570073
1137.788595,0.576022
1138.720445,0.581979
1139.652295,0.588280
1140.584145,0.594289
1141.515994,0.600356
1142.447844,0.606653
1143.379694,0.613003
1144.311544,0.619392
1145.243394,0.625885
1146.175243,0.632263
1147.107093,0.638414
1148.038943,0.644574
1148.970793,0.650946
1149.902643,0.657093
1150.834492,0.662940
1151.766342,0.668364
1152.698192,0.673750
1153.630042,0.679130
1154.561892,0.684387
1155.493741,0.688810
1156.425591,0.692447
1157.357441,0.695905
1158.289291,0.699042
1159.221140,0.701469
1160.152990,0.703439
1161.084840,0.705034
1162.016690,0.706215
1162.948540,0.706744
1163.880389,0.706399
1164.812239,0.705584
1165.744089,0.704337
1166.675939,0.702156
1167.607789,0.699483
1168.539638,0.696506
1169.471488,0.692850
1170.403338,0.688616
1171.335188,0.683831
1172.267038,0.678299
1173.198887,0.672836
1174.130737,0.667327
1175.062587,0.661154
1175.994437,0.654785
1176.926287,0.648462
1177.858136,0.642047
1178.789986,0.635650
1179.721836,0.629179
1180.653686,0.622661
1181.585535,0.615735
1182.517385,0.608838
1183.449235,0.602252
1184.381085,0.595658
1185.312935,0.588964
1186.244784,0.582236
1187.176634,0.575850
1188.108484,0.569822
1189.040334,0.563805
1189.972184,0.558078
1190.904033,0.552526
1191.835883,0.547084
1192.767733,0.541895
1193.699583,0.536518
1194.631433,0.531232
1195.563282,0.526183
1196.495132,0.521257
1197.426982,0.516621
1198.358832,0.512187
1199.290682,0.507641
1200.222531,0.503276
1201.154381,0.499041
1202.086231,0.494873
1203.018081,0.490771
1203.949930,0.486809
1204.881780,0.483124
1205.813630,0.479468
1206.745480,0.475759
1207.677330,0.472385
1208.609179,0.469270
1209.541029,0.466096
1210.472879,0.462871
1211.404729,0.459878
1212.336579,0.456894
1213.268428,0.453893
1214.200278,0.450948
1215.132128,0.448038
1216.063978,0.445316
1216.995828,0.442623
1217.927677,0.439894
1218.859527,0.437339
1219.791377,0.434895
1220.723227,0.432504
1221.655076,0.430252
1222.586926,0.428096
1223.518776,0.425852
1224.450626,0.423810
1225.382476,0.421670
1226.314325,0.419558
1227.246175,0.417624
1228.178025,0.415599
1229.109875,0.413451
1230.041725,0.411461
1230.973574,0.409511
1231.905424,0.407606
1232.837274,0.405894
1233.769124,0.404291
1234.700974,0.402649
1235.632823,0.401213
1236.564673,0.399829
1237.496523,0.398373
1238.428373,0.396963
1239.360223,0.395675
1240.292072,0.394420
1241.223922,0.392975
1242.155772,0.391521
1243.087622,0.390290
1244.019471,0.388844
1244.951321,0.387345
1245.883171,0.385914
1246.815021,0.384613
1247.746871,0.383317
1248.678720,0.382185
1249.610570,0.381069
1250.542420,0.379994
1251.474270,0.379036
1252.406120,0.378052
1253.337969,0.376928
1254.269819,0.375836
1255.201669,0.374867
1256.133519,0.374127
1257.065369,0.373387
1257.997218,0.372545
1258.929068,0.371454
1259.860918,0.370476
1260.792768,0.369454
1261.724618,0.368433
1262.656467,0.367456
1263.588317,0.366444
1264.520167,0.365495
1265.452017,0.364481
1266.383866,0.363371
1267.315716,0.362291
1268.247566,0.361438
1269.179416,0.360541
1270.111266,0.359327
1271.043115,0.358284
1271.974965,0.357354
1272.906815,0.356208
1273.838665,0.355285
1274.770515,0.354594
1275.702364,0.353640
1276.634214,0.352581
1277.566064,0.351745
1278.497914,0.351009
1279.429764,0.350143
1280.361613,0.349448
1281.293463,0.348773
1282.225313,0.348064
1283.157163,0.347146
1284.089013,0.346323
1285.020862,0.345497
1285.952712,0.344877
1286.884562,0.344250
1287.816412,0.343522
1288.748261,0.342755
1289.680111,0.342182
1290.611961,0.341703
1291.543811,0.341094
1292.475661,0.340313
1293.407510,0.339950
1294.339360,0.339610
1295.271210,0.339026
1296.203060,0.338566
1297.134910,0.338184
1298.066759,0.337760
1298.998609,0.337482
1299.930459,0.337005
1300.862309,0.336664
1301.794159,0.336352
1302.726008,0.335919
1303.657858,0.335497
1304.589708,0.335136
1305.521558,0.334650
1306.453408,0.333976
1307.385257,0.333291
1308.317107,0.332847
1309.248957,0.332311
1310.180807,0.331778
1311.112656,0.331252
1312.044506,0.330735
1312.976356,0.330101
1313.908206,0.329446
1314.840056,0.328806
1315.771905,0.328406
1316.703755,0.328275
1317.635605,0.328052
1318.567455,0.327510
1319.499305,0.326909
1320.431154,0.326358
1321.363004,0.326381
1322.294854,0.326314
1323.226704,0.326230
1324.158554,0.326027
1325.090403,0.325841
1326.022253,0.325432
1326.954103,0.325023
1327.885953,0.324887
1328.817803,0.324804
1329.749652,0.324449
1330.681502,0.324237
1331.613352,0.324223
1332.545202,0.324318
1333.477051,0.324227
1334.408901,0.324378
1335.340751,0.324604
1336.272601,0.325031
1337.204451,0.325284
1338.136300,0.325302
1339.068150,0.324976
1340.000000,0.324062
1340.931850,0.323463
1341.863700,0.323439
1342.795549,0.323825
1343.727399,0.323853
1344.659249,0.323833
1345.591099,0.323762
1346.522949,0.323817
1347.454798,0.324018
1348.386648,0.324219
1349.318498,0.324354
1350.250348,0.324207
1351.182197,0.324168
1352.114047,0.324505
1353.045897,0.324927
1353.977747,0.325114
1354.909597,0.325325
1355.841446,0.325607
1356.773296,0.326015
1357.705146,0.326557
1358.636996,0.327200
1359.568846,0.328178
1360.500695,0.329049
1361.432545,0.329647
1362.364395,0.329624
1363.296245,0.329384
1364.228095,0.328950
1365.159944,0.330542
1366.091794,0.332559
1367.023644,0.333715
1367.955494,0.334457
1368.887344,0.334898
1369.819193,0.335517
1370.751043,0.336981
1371.682893,0.339177
1372.614743,0.340901
1373.546592,0.341964
1374.478442,0.342069
1375.410292,0.342483
1376.342142,0.343900
1377.273992,0.345209
1378.205841,0.345732
1379.137691,0.345599
1380.069541,0.345105
1381.001391,0.344528
1381.933241,0.344569
1382.865090,0.345246
1383.796940,0.346357
1384.728790,0.347785
1385.660640,0.348542
1386.592490,0.347780
1387.524339,0.345743
1388.456189,0.344311
1389.388039,0.344651
1390.319889,0.345717
1391.251739,0.346534
1392.183588,0.347999
1393.115438,0.348913
1394.047288,0.349112
1394.979138,0.347954
1395.910987,0.347494
