XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.855801
651.363004,0.856675
652.294854,0.855795
653.226704,0.855672
654.158554,0.856580
655.090403,0.856849
656.022253,0.856636
656.954103,0.857445
657.885953,0.857972
658.817803,0.858005
659.749652,0.857035
660.681502,0.856691
661.613352,0.857763
662.545202,0.859474
663.477051,0.860491
664.408901,0.860377
665.340751,0.858862
666.272601,0.859079
667.204451,0.868310
668.136300,0.875411
669.068150,0.851753
670.000000,0.842418
670.931850,0.853481
671.863700,0.858926
672.795549,0.858917
673.727399,0.860139
674.659249,0.860861
675.591099,0.862704
676.522949,0.861962
677.454798,0.861887
678.386648,0.861441
679.318498,0.861164
680.250348,0.860442
681.182197,0.861955
682.114047,0.862015
683.045897,0.862346
683.977747,0.862298
684.909597,0.863237
685.841446,0.863569
686.773296,0.864747
687.705146,0.865076
688.636996,0.866111
689.568846,0.866352
690.500695,0.863863
691.432545,0.862438
692.364395,0.861944
693.296245,0.861902
694.228095,0.863930
695.159944,0.864317
696.091794,0.864384
697.023644,0.864563
697.955494,0.864683
698.887344,0.866366
699.819193,0.866502
700.751043,0.866133
701.682893,0.866793
702.614743,0.866776
703.546592,0.867227
704.478442,0.866823
705.410292,0.866456
706.342142,0.867002
707.273992,0.867416
708.205841,0.866944
709.137691,0.867229
710.069541,0.867258
711.001391,0.868128
711.933241,0.868302
712.865090,0.868927
713.796940,0.868841
714.728790,0.868309
715.660640,0.868000
716.592490,0.869705
717.524339,0.869401
718.456189,0.868794
719.388039,0.868805
720.319889,0.869975
721.251739,0.869470
722.183588,0.869521
723.115438,0.869328
724.047288,0.869720
724.979138,0.870273
725.910987,0.870611
726.842837,0.870471
727.774687,0.869940
728.706537,0.869496
729.638387,0.869868
730.570236,0.870371
731.502086,0.870807
732.433936,0.871130
733.365786,0.871552
734.297636,0.871714
735.229485,0.872274
736.161335,0.871067
737.093185,0.871371
738.025035,0.872302
738.956885,0.872291
739.888734,0.872981
740.820584,0.873847
741.752434,0.874135
742.684284,0.874202
743.616134,0.873377
744.547983,0.872769
745.479833,0.872515
746.411683,0.872750
747.343533,0.872678
748.275382,0.872133
749.207232,0.872090
750.139082,0.873507
751.070932,0.875004
752.002782,0.875551
752.934631,0.875488
753.866481,0.876463
754.798331,0.876149
755.730181,0.875332
756.662031,0.875187
757.593880,0.875706
758.525730,0.875222
759.457580,0.873941
760.389430,0.873484
761.321280,0.874123
762.253129,0.874860
763.184979,0.876280
764.116829,0.877570
765.048679,0.878229
765.980529,0.878411
766.912378,0.878653
767.844228,0.878326
768.776078,0.878590
769.707928,0.877777
770.639777,0.877535
771.571627,0.878174
772.503477,0.878100
773.435327,0.878081
774.367177,0.880398
775.299026,0.882163
776.230876,0.882044
777.162726,0.881134
778.094576,0.881236
779.026426,0.880742
779.958275,0.880201
780.890125,0.881382
781.821975,0.882271
782.753825,0.882643
783.685675,0.882937
784.617524,0.883697
785.549374,0.885365
786.481224,0.887504
787.413074,0.887963
788.344924,0.887545
789.276773,0.887842
790.208623,0.887940
791.140473,0.887249
792.072323,0.887038
793.004172,0.887361
793.936022,0.887775
794.867872,0.888892
795.799722,0.888992
796.731572,0.889000
797.663421,0.888800
798.595271,0.888734
799.527121,0.889906
800.458971,0.890820
801.390821,0.890211
802.322670,0.890457
803.254520,0.891094
804.186370,0.890939
805.118220,0.889963
806.050070,0.889384
806.981919,0.889315
807.913769,0.889610
808.845619,0.889712
809.777469,0.889126
810.709318,0.888732
811.641168,0.889058
812.573018,0.888704
813.504868,0.889089
814.436718,0.889556
815.368567,0.890323
816.300417,0.890759
817.232267,0.890262
818.164117,0.889467
819.095967,0.889285
820.027816,0.890456
820.959666,0.890934
821.891516,0.890397
822.823366,0.889948
823.755216,0.889461
824.687065,0.888449
825.618915,0.887493
826.550765,0.888086
827.482615,0.889167
828.414465,0.888532
829.346314,0.887684
830.278164,0.887820
831.210014,0.886709
832.141864,0.887210
833.073713,0.889570
834.005563,0.890156
834.937413,0.889764
835.869263,0.890010
836.801113,0.889913
837.732962,0.889255
838.664812,0.888722
839.596662,0.889946
840.528512,0.889826
841.460362,0.889301
842.392211,0.889639
843.324061,0.890580
844.255911,0.889877
845.187761,0.889433
846.119611,0.890650
847.051460,0.891637
847.983310,0.891726
848.915160,0.891914
849.847010,0.891261
850.778860,0.891008
851.710709,0.891264
852.642559,0.891562
853.574409,0.891489
854.506259,0.891210
855.438108,0.891464
856.369958,0.891456
857.301808,0.891435
858.233658,0.892150
859.165508,0.892183
860.097357,0.892322
861.029207,0.892504
861.961057,0.892733
862.892907,0.892655
863.824757,0.893534
864.756606,0.894825
865.688456,0.894835
866.620306,0.893751
867.552156,0.893321
868.484006,0.893704
869.415855,0.894460
870.347705,0.894421
871.279555,0.894493
872.211405,0.894462
873.143255,0.894477
874.075104,0.894584
875.006954,0.895568
875.938804,0.896748
876.870654,0.896433
877.802503,0.895589
878.734353,0.895702
879.666203,0.895419
880.598053,0.895137
881.529903,0.895483
882.461752,0.895491
883.393602,0.895560
884.325452,0.896822
885.257302,0.897274
886.189152,0.897367
887.121001,0.897519
888.052851,0.897989
888.984701,0.897778
889.916551,0.897874
890.848401,0.897312
891.780250,0.896893
892.712100,0.896722
893.643950,0.896528
894.575800,0.896273
895.507650,0.896089
896.439499,0.895356
897.371349,0.896177
898.303199,0.898072
899.235049,0.899551
900.166898,0.900000
901.098748,0.899478
902.030598,0.898298
902.962448,0.898640
903.894298,0.899814
904.826147,0.899329
905.757997,0.898853
906.689847,0.899017
907.621697,0.899327
908.553547,0.898585
909.485396,0.898172
910.417246,0.899013
911.349096,0.899839
912.280946,0.900261
913.212796,0.900454
914.144645,0.900182
915.076495,0.900447
916.008345,0.900394
916.940195,0.900311
917.872045,0.901277
918.803894,0.901343
919.735744,0.900692
920.667594,0.899897
921.599444,0.900650
922.531293,0.901134
923.463143,0.901504
924.394993,0.901830
925.326843,0.901843
926.258693,0.901683
927.190542,0.901562
928.122392,0.900726
929.054242,0.900735
929.986092,0.901665
930.917942,0.902264
931.849791,0.902369
932.781641,0.902597
933.713491,0.902425
934.645341,0.902087
935.577191,0.902044
936.509040,0.901826
937.440890,0.902368
938.372740,0.902587
939.304590,0.901930
940.236439,0.902344
941.168289,0.902654
942.100139,0.902271
943.031989,0.902829
943.963839,0.903389
944.895688,0.903208
945.827538,0.903104
946.759388,0.903276
947.691238,0.904078
948.623088,0.904512
949.554937,0.903369
950.486787,0.903541
951.418637,0.905008
952.350487,0.905410
953.282337,0.905009
954.214186,0.905525
955.146036,0.905717
956.077886,0.905840
957.009736,0.905865
957.941586,0.904529
958.873435,0.904454
959.805285,0.904764
960.737135,0.904568
961.668985,0.904982
962.600834,0.905487
963.532684,0.905081
964.464534,0.905340
965.396384,0.906305
966.328234,0.907006
967.260083,0.906987
968.191933,0.906877
969.123783,0.906756
970.055633,0.906959
970.987483,0.906987
971.919332,0.906958
972.851182,0.907767
973.783032,0.907775
974.714882,0.907028
975.646732,0.906893
976.578581,0.906998
977.510431,0.907221
978.442281,0.908013
979.374131,0.908503
980.305981,0.908842
981.237830,0.909128
982.169680,0.909398
983.101530,0.909989
984.033380,0.910301
984.965229,0.910119
985.897079,0.910090
986.828929,0.910021
987.760779,0.910014
988.692629,0.910392
989.624478,0.911189
990.556328,0.910789
991.488178,0.910173
992.420028,0.910306
993.351878,0.910877
994.283727,0.910717
995.215577,0.910538
996.147427,0.911182
997.079277,0.912264
998.011127,0.913393
998.942976,0.914210
999.874826,0.914197
1000.806676,0.913973
1001.738526,0.914271
1002.670376,0.915191
1003.602225,0.915921
1004.534075,0.916235
1005.465925,0.916141
1006.397775,0.916143
1007.329624,0.916399
1008.261474,0.916676
1009.193324,0.916849
1010.125174,0.917449
1011.057024,0.918286
1011.988873,0.918522
1012.920723,0.918691
1013.852573,0.918933
1014.784423,0.919834
1015.716273,0.920319
1016.648122,0.921007
1017.579972,0.921469
1018.511822,0.921486
1019.443672,0.920955
1020.375522,0.920523
1021.307371,0.920914
1022.239221,0.922037
1023.171071,0.922270
1024.102921,0.922418
1025.034771,0.923157
1025.966620,0.922861
1026.898470,0.922303
1027.830320,0.922119
1028.762170,0.921765
1029.694019,0.922255
1030.625869,0.923315
1031.557719,0.923873
1032.489569,0.923492
1033.421419,0.922890
1034.353268,0.922837
1035.285118,0.922989
1036.216968,0.923071
1037.148818,0.923119
1038.080668,0.923192
1039.012517,0.922746
1039.944367,0.922439
1040.876217,0.922444
1041.808067,0.922901
1042.739917,0.922908
1043.671766,0.923167
1044.603616,0.923738
1045.535466,0.923908
1046.467316,0.924065
1047.399166,0.924493
1048.331015,0.925002
1049.262865,0.925415
1050.194715,0.925203
1051.126565,0.924586
1052.058414,0.924544
1052.990264,0.925216
1053.922114,0.924986
1054.853964,0.924637
1055.785814,0.925750
1056.717663,0.926951
1057.649513,0.926853
1058.581363,0.926004
1059.513213,0.925733
1060.445063,0.925867
1061.376912,0.925832
1062.308762,0.926068
1063.240612,0.926409
1064.172462,0.926696
1065.104312,0.927417
1066.036161,0.928094
1066.968011,0.928268
1067.899861,0.928128
1068.831711,0.928055
1069.763561,0.927871
1070.695410,0.927384
1071.627260,0.927508
1072.559110,0.927451
1073.490960,0.927683
1074.422809,0.928235
1075.354659,0.928684
1076.286509,0.928655
1077.218359,0.929261
1078.150209,0.929586
1079.082058,0.929529
1080.013908,0.930048
1080.945758,0.930683
1081.877608,0.931054
1082.809458,0.931040
1083.741307,0.930626
1084.673157,0.930190
1085.605007,0.929681
1086.536857,0.930738
1087.468707,0.931715
1088.400556,0.932107
1089.332406,0.931641
1090.264256,0.931839
1091.196106,0.932452
1092.127955,0.931841
1093.059805,0.932261
1093.991655,0.933911
1094.923505,0.934302
1095.855355,0.933408
1096.787204,0.932622
1097.719054,0.933277
1098.650904,0.933042
1099.582754,0.932363
1100.514604,0.932960
1101.446453,0.934065
1102.378303,0.934504
1103.310153,0.934160
1104.242003,0.933752
1105.173853,0.933416
1106.105702,0.933630
1107.037552,0.934056
1107.969402,0.934363
1108.901252,0.934377
1109.833102,0.934600
1110.764951,0.934143
1111.696801,0.933797
1112.628651,0.934832
1113.560501,0.935373
1114.492350,0.935796
1115.424200,0.936036
1116.356050,0.935508
1117.287900,0.934598
1118.219750,0.934851
1119.151599,0.935320
1120.083449,0.935657
1121.015299,0.935565
1121.947149,0.935871
1122.878999,0.936186
1123.810848,0.936052
1124.742698,0.935997
1125.674548,0.936736
1126.606398,0.937487
1127.538248,0.938085
1128.470097,0.938382
1129.401947,0.938896
1130.333797,0.938861
1131.265647,0.939190
1132.197497,0.940347
1133.129346,0.940682
1134.061196,0.940090
1134.993046,0.939491
1135.924896,0.939415
1136.856745,0.939398
1137.788595,0.939125
1138.720445,0.939483
1139.652295,0.939870
1140.584145,0.939224
1141.515994,0.938842
1142.447844,0.938760
1143.379694,0.938762
1144.311544,0.939149
1145.243394,0.940240
1146.175243,0.941001
1147.107093,0.941798
1148.038943,0.942569
1148.970793,0.942734
1149.902643,0.942795
1150.834492,0.943104
1151.766342,0.943151
1152.698192,0.943368
1153.630042,0.944133
1154.561892,0.944625
1155.493741,0.944333
1156.425591,0.943808
1157.357441,0.944726
1158.289291,0.944643
1159.221140,0.943753
1160.152990,0.943391
1161.084840,0.943864
1162.016690,0.943525
1162.948540,0.942494
1163.880389,0.941993
1164.812239,0.941510
1165.744089,0.940885
1166.675939,0.940311
1167.607789,0.939834
1168.539638,0.939387
1169.471488,0.938785
1170.403338,0.938753
1171.335188,0.938251
1172.267038,0.937673
1173.198887,0.937667
1174.130737,0.937848
1175.062587,0.937267
1175.994437,0.936518
1176.926287,0.935976
1177.858136,0.935588
1178.789986,0.935545
1179.721836,0.935984
1180.653686,0.936624
1181.585535,0.936454
1182.517385,0.935345
1183.449235,0.934961
1184.381085,0.935094
1185.312935,0.934808
1186.244784,0.934249
1187.176634,0.934442
1188.108484,0.934722
1189.040334,0.933885
1189.972184,0.933477
1190.904033,0.934339
1191.835883,0.935235
1192.767733,0.935571
1193.699583,0.935121
1194.631433,0.934276
1195.563282,0.933901
1196.495132,0.933802
1197.426982,0.933680
1198.358832,0.933723
1199.290682,0.933703
1200.222531,0.933423
1201.154381,0.932828
1202.086231,0.933006
1203.018081,0.933318
1203.949930,0.933333
1204.881780,0.933674
1205.813630,0.934124
1206.745480,0.933521
1207.677330,0.932959
1208.609179,0.933432
1209.541029,0.933618
1210.472879,0.933495
1211.404729,0.933680
1212.336579,0.933707
1213.268428,0.933811
1214.200278,0.934069
1215.132128,0.934019
1216.063978,0.933988
1216.995828,0.934012
1217.927677,0.933638
1218.859527,0.933554
1219.791377,0.933599
1220.723227,0.933317
1221.655076,0.933004
1222.586926,0.933420
1223.518776,0.933720
1224.450626,0.933159
1225.382476,0.933360
1226.314325,0.933989
1227.246175,0.934372
1228.178025,0.934439
1229.109875,0.934296
1230.041725,0.933856
1230.973574,0.934229
1231.905424,0.934073
1232.837274,0.934302
1233.769124,0.934543
1234.700974,0.934408
1235.632823,0.934068
1236.564673,0.934055
1237.496523,0.934119
1238.428373,0.934421
1239.360223,0.934741
1240.292072,0.934588
1241.223922,0.934122
1242.155772,0.934450
1243.087622,0.934917
1244.019471,0.935239
1244.951321,0.935274
1245.883171,0.934751
1246.815021,0.935154
1247.746871,0.935842
1248.678720,0.936542
1249.610570,0.936900
1250.542420,0.937129
1251.474270,0.936766
1252.406120,0.936433
1253.337969,0.936891
1254.269819,0.937193
1255.201669,0.937618
1256.133519,0.938332
1257.065369,0.938868
1257.997218,0.939581
1258.929068,0.940636
1259.860918,0.941843
1260.792768,0.942803
1261.724618,0.943046
1262.656467,0.943165
1263.588317,0.943156
1264.520167,0.942835
1265.452017,0.942470
1266.383866,0.942295
1267.315716,0.942014
1268.247566,0.941862
1269.179416,0.941074
1270.111266,0.940445
1271.043115,0.940081
1271.974965,0.939487
1272.906815,0.938401
1273.838665,0.937601
1274.770515,0.937667
1275.702364,0.938583
1276.634214,0.938386
1277.566064,0.937746
1278.497914,0.937970
1279.429764,0.938429
1280.361613,0.938527
1281.293463,0.937436
1282.225313,0.937149
1283.157163,0.937560
1284.089013,0.937237
1285.020862,0.936771
1285.952712,0.936882
1286.884562,0.936813
1287.816412,0.936614
1288.748261,0.936189
1289.680111,0.935896
1290.611961,0.936318
1291.543811,0.937089
1292.475661,0.937366
1293.407510,0.937841
1294.339360,0.937906
1295.271210,0.937601
1296.203060,0.937800
1297.134910,0.938155
1298.066759,0.937858
1298.998609,0.937095
1299.930459,0.936542
1300.862309,0.936582
1301.794159,0.937433
1302.726008,0.938299
1303.657858,0.938616
1304.589708,0.938088
1305.521558,0.937678
1306.453408,0.938263
1307.385257,0.938910
1308.317107,0.938818
1309.248957,0.938903
1310.180807,0.938358
1311.112656,0.938132
1312.044506,0.939192
1312.976356,0.940319
1313.908206,0.940473
1314.840056,0.939734
1315.771905,0.939343
1316.703755,0.940053
1317.635605,0.941118
1318.567455,0.941516
1319.499305,0.941763
1320.431154,0.940802
1321.363004,0.939897
1322.294854,0.940223
1323.226704,0.940558
1324.158554,0.940802
1325.090403,0.941636
1326.022253,0.942330
1326.954103,0.942532
1327.885953,0.942059
1328.817803,0.941885
1329.749652,0.941722
1330.681502,0.942438
1331.613352,0.942131
1332.545202,0.941684
1333.477051,0.941050
1334.408901,0.941180
1335.340751,0.941171
1336.272601,0.943038
1337.204451,0.944427
1338.136300,0.945265
1339.068150,0.946184
1340.000000,0.947501
1340.931850,0.945349
1341.863700,0.941774
1342.795549,0.941809
1343.727399,0.943976
1344.659249,0.946161
1345.591099,0.946867
1346.522949,0.946793
1347.454798,0.946986
1348.386648,0.948001
1349.318498,0.948898
1350.250348,0.948494
1351.182197,0.948280
1352.114047,0.949662
1353.045897,0.950294
1353.977747,0.950089
1354.909597,0.949901
1355.841446,0.949370
1356.773296,0.949247
1357.705146,0.949583
1358.636996,0.950046
1359.568846,0.949815
1360.500695,0.950941
1361.432545,0.953097
1362.364395,0.953529
1363.296245,0.953125
1364.228095,0.947014
1365.159944,0.940601
1366.091794,0.942839
1367.023644,0.946652
1367.955494,0.947480
1368.887344,0.947543
1369.819193,0.945893
1370.751043,0.945039
1371.682893,0.946272
1372.614743,0.948704
1373.546592,0.951807
1374.478442,0.952840
1375.410292,0.947744
1376.342142,0.942492
1377.273992,0.944552
1378.205841,0.948727
1379.137691,0.950048
1380.069541,0.949371
1381.001391,0.949507
1381.933241,0.951591
1382.865090,0.954081
1383.796940,0.956619
1384.728790,0.959068
1385.660640,0.960625
1386.592490,0.961466
1387.524339,0.961663
1388.456189,0.953216
1389.388039,0.944322
1390.319889,0.945274
1391.251739,0.949219
1392.183588,0.950257
1393.115438,0.952454
1394.047288,0.957655
1394.979138,0.959187
1395.910987,0.951547
